Summary Statistic	LogProb	m[0][0]	m[0][1]	m[0][2]	m[0][3]	m[0][4]	m[0][5]	m[0][6]	m[0][7]	m[0][8]	m[0][9]	m[0][10]	m[0][11]	m[1][0]	m[1][1]	m[1][2]	m[1][3]	m[1][4]	m[1][5]	m[1][6]	m[1][7]	m[1][8]	m[1][9]	m[1][10]	m[1][11]	m[2][0]	m[2][1]	m[2][2]	m[2][3]	m[2][4]	m[2][5]	m[2][6]	m[2][7]	m[2][8]	m[2][9]	m[2][10]	m[2][11]	m[3][0]	m[3][1]	m[3][2]	m[3][3]	m[3][4]	m[3][5]	m[3][6]	m[3][7]	m[3][8]	m[3][9]	m[3][10]	m[3][11]	m[4][0]	m[4][1]	m[4][2]	m[4][3]	m[4][4]	m[4][5]	m[4][6]	m[4][7]	m[4][8]	m[4][9]	m[4][10]	m[4][11]	m[5][0]	m[5][1]	m[5][2]	m[5][3]	m[5][4]	m[5][5]	m[5][6]	m[5][7]	m[5][8]	m[5][9]	m[5][10]	m[5][11]	m[6][0]	m[6][1]	m[6][2]	m[6][3]	m[6][4]	m[6][5]	m[6][6]	m[6][7]	m[6][8]	m[6][9]	m[6][10]	m[6][11]	m[7][0]	m[7][1]	m[7][2]	m[7][3]	m[7][4]	m[7][5]	m[7][6]	m[7][7]	m[7][8]	m[7][9]	m[7][10]	m[7][11]	m[8][0]	m[8][1]	m[8][2]	m[8][3]	m[8][4]	m[8][5]	m[8][6]	m[8][7]	m[8][8]	m[8][9]	m[8][10]	m[8][11]	m[9][0]	m[9][1]	m[9][2]	m[9][3]	m[9][4]	m[9][5]	m[9][6]	m[9][7]	m[9][8]	m[9][9]	m[9][10]	m[9][11]	m[10][0]	m[10][1]	m[10][2]	m[10][3]	m[10][4]	m[10][5]	m[10][6]	m[10][7]	m[10][8]	m[10][9]	m[10][10]	m[10][11]	m[11][0]	m[11][1]	m[11][2]	m[11][3]	m[11][4]	m[11][5]	m[11][6]	m[11][7]	m[11][8]	m[11][9]	m[11][10]	m[11][11]
mean	-73921.4605	0.7048	0.0155	1.3234E-3	8.3205E-3	0.0796	1.4724E-3	1.4909E-3	1.2872E-3	9.9114E-3	0.0142	0.1608	1.3296E-3	6.1655E-3	0.7801	1.0615E-3	0.02	0.0759	1.2348E-3	1.2231E-3	1.0621E-3	2.2066E-3	0.0657	0.0444	1.0656E-3	0.0173	0.0732	0.6725	0.0783	0.0579	5.7678E-3	0.0118	5.6158E-3	0.0356	0.0171	0.0191	5.7614E-3	9.8397E-3	0.0506	1.6836E-3	0.6932	0.0157	1.7713E-3	1.9439E-3	1.6903E-3	0.0107	0.0377	0.1735	1.6785E-3	7.1403E-3	0.0699	1.12E-3	0.0433	0.7746	1.4345E-3	1.4462E-3	1.1271E-3	5.951E-3	5.1007E-3	0.0876	1.1828E-3	0.0157	0.0349	4.7288E-3	0.0313	0.1153	0.6714	4.8015E-3	4.7726E-3	0.0593	0.0136	0.0395	4.7719E-3	0.0127	0.088	4.8908E-3	0.1172	0.0208	5.1617E-3	0.6714	4.8E-3	0.0519	6.3889E-3	0.0121	4.6759E-3	0.0179	0.0706	6.3E-3	0.0745	0.0215	6.4835E-3	6.312E-3	0.6731	6.8901E-3	0.0474	0.0626	6.3522E-3	0.0186	0.1181	3.321E-3	0.0384	0.0629	3.4833E-3	3.6736E-3	3.2491E-3	0.6997	0.0242	0.0211	3.2708E-3	4.2163E-3	0.0901	2.0003E-3	0.08	0.0324	2.1205E-3	2.1262E-3	1.9473E-3	5.4695E-3	0.6771	0.1005	1.9868E-3	0.0371	0.0139	1.0983E-3	0.0902	0.0673	1.2082E-3	1.4095E-3	1.07E-3	9.1642E-3	0.0134	0.763	1.1029E-3	8.7802E-3	0.1744	3.9357E-3	0.054	0.0415	4.0111E-3	4.4483E-3	3.9721E-3	5.6301E-3	7.5616E-3	0.0212	0.6707
stderr of mean	104.8978	2.6482E-3	5.1178E-3	3.5333E-5	9.6571E-4	4.8382E-3	5.4904E-5	5.7004E-5	3.5518E-5	1.1658E-3	3.0382E-3	5.0678E-3	3.0674E-5	6.548E-4	0.0145	3.1021E-5	1.5845E-3	5.2669E-3	7.3407E-5	4.3212E-5	3.0215E-5	3.0697E-4	0.013	2.8648E-3	3.7452E-5	1.6501E-3	4.5354E-3	6.1775E-5	3.9704E-3	7.8534E-3	7.4967E-5	4.7152E-3	5.9931E-5	8.43E-3	3.6092E-3	1.9123E-3	6.6546E-5	7.3958E-4	7.0082E-3	3.5297E-5	9.0307E-4	1.7641E-3	3.8667E-5	7.1589E-5	3.5439E-5	1.2561E-3	2.803E-3	4.8883E-3	3.7751E-5	1.5963E-3	4.3902E-3	3.2648E-5	4.7141E-3	0.0181	9.4987E-5	1.5857E-4	3.1533E-5	1.1213E-3	6.3545E-4	0.017	3.5973E-5	3.4677E-3	8.4141E-3	5.5648E-5	6.3649E-3	5.6316E-3	5.5211E-5	5.7187E-5	5.7344E-5	9.2329E-3	2.5679E-3	4.2201E-3	5.559E-5	1.7069E-3	5.674E-3	2.4218E-4	6.5999E-3	4.0363E-3	3.0809E-4	7.2559E-5	1.5443E-4	7.6818E-3	2.0109E-4	2.5782E-3	9.4213E-5	1.5865E-3	7.2088E-3	7.0194E-5	4.1822E-3	1.795E-3	7.0606E-5	7.2241E-5	6.9951E-5	3.1795E-4	2.6549E-3	3.4192E-3	7.2702E-5	3.1085E-3	6.97E-3	5.6923E-5	7.7489E-3	6.7264E-3	6.6323E-5	1.2529E-4	5.485E-5	4.1925E-3	4.8087E-3	2.6494E-3	4.8312E-5	2.1038E-4	9.8E-3	2.863E-5	7.6153E-3	2.3947E-3	3.8515E-5	8.909E-5	2.5801E-5	5.6835E-4	1.223E-3	7.6264E-3	2.9831E-5	3.3437E-3	4.9595E-3	3.3599E-5	8.0673E-3	5.2133E-3	7.4573E-5	2.2577E-4	3.3062E-5	1.0072E-3	2.5471E-3	2.3634E-3	3.3475E-5	6.0402E-4	5.2786E-3	4.7097E-5	5.2191E-3	8.3379E-3	5.1511E-5	3.6871E-4	5.4136E-5	5.6419E-4	2.0153E-3	2.4792E-3	4.7217E-5
stdev	218.8115	0.0118	0.0116	1.2825E-3	6.4208E-3	0.0169	1.471E-3	1.5247E-3	1.2973E-3	5.5934E-3	9.7556E-3	0.0175	1.2832E-3	5.2241E-3	0.0311	1.1136E-3	8.6258E-3	0.0159	1.2342E-3	1.183E-3	1.0946E-3	2.1103E-3	0.0244	0.0142	1.0903E-3	0.0131	0.0253	5.6565E-3	0.0261	0.0265	5.7665E-3	0.0122	5.3975E-3	0.0232	0.0147	0.0141	5.5846E-3	7.4112E-3	0.0187	1.6865E-3	0.0102	9.8207E-3	1.7626E-3	1.949E-3	1.6694E-3	6.901E-3	0.0145	0.0192	1.6418E-3	6.3104E-3	0.0152	1.1077E-3	0.015	0.0353	1.4E-3	1.5127E-3	1.0671E-3	4.8665E-3	4.343E-3	0.0331	1.1694E-3	0.0147	0.0241	4.7077E-3	0.0212	0.0256	4.7602E-3	4.6958E-3	4.76E-3	0.0275	0.012	0.0193	4.7245E-3	0.0113	0.0248	4.8387E-3	0.0284	0.0168	5.1623E-3	4.6964E-3	4.7723E-3	0.0244	5.9944E-3	0.0111	4.5601E-3	0.0137	0.0299	6.2063E-3	0.0231	0.0168	6.3197E-3	6.1549E-3	6.3263E-3	6.8787E-3	0.0198	0.0229	6.292E-3	0.0148	0.0327	3.2875E-3	0.0232	0.0308	3.5252E-3	3.6833E-3	3.264E-3	0.0187	0.0188	0.0173	3.1939E-3	4.1572E-3	0.0291	1.9994E-3	0.0217	0.0142	2.11E-3	2.1278E-3	1.9255E-3	4.7025E-3	7.6926E-3	0.0261	1.9641E-3	0.0136	0.0116	1.1089E-3	0.0203	0.0184	1.2007E-3	1.5212E-3	1.1228E-3	5.0288E-3	7.7244E-3	0.0138	1.0835E-3	6.8827E-3	0.0256	3.9254E-3	0.0189	0.0222	3.9631E-3	4.4664E-3	3.8863E-3	5.1934E-3	7.2376E-3	0.0148	3.9323E-3
variance	47878.4809	1.3993E-4	1.3549E-4	1.6448E-6	4.1227E-5	2.8688E-4	2.164E-6	2.3247E-6	1.6829E-6	3.1286E-5	9.5171E-5	3.0574E-4	1.6466E-6	2.7292E-5	9.6858E-4	1.2402E-6	7.4405E-5	2.5323E-4	1.5233E-6	1.3995E-6	1.1981E-6	4.4532E-6	5.9421E-4	2.0063E-4	1.1888E-6	1.7196E-4	6.4027E-4	3.1996E-5	6.81E-4	6.9989E-4	3.3253E-5	1.4966E-4	2.9133E-5	5.3825E-4	2.1698E-4	1.9944E-4	3.1188E-5	5.4925E-5	3.5119E-4	2.8443E-6	1.0356E-4	9.6446E-5	3.1066E-6	3.7988E-6	2.7867E-6	4.7624E-5	2.0981E-4	3.6813E-4	2.6955E-6	3.9821E-5	2.296E-4	1.2271E-6	2.2471E-4	1.2427E-3	1.9601E-6	2.2883E-6	1.1388E-6	2.3683E-5	1.8862E-5	1.0973E-3	1.3676E-6	2.1736E-4	5.7991E-4	2.2163E-5	4.4899E-4	6.5774E-4	2.266E-5	2.2051E-5	2.2657E-5	7.5744E-4	1.431E-4	3.7279E-4	2.2321E-5	1.2756E-4	6.1266E-4	2.3413E-5	8.0434E-4	2.8091E-4	2.6649E-5	2.2056E-5	2.2775E-5	5.9358E-4	3.5932E-5	1.2395E-4	2.0795E-5	1.8689E-4	8.9144E-4	3.8518E-5	5.3497E-4	2.8386E-4	3.9939E-5	3.7883E-5	4.0022E-5	4.7316E-5	3.9141E-4	5.2374E-4	3.959E-5	2.2038E-4	1.067E-3	1.0808E-5	5.3973E-4	9.4688E-4	1.2427E-5	1.3567E-5	1.0654E-5	3.4947E-4	3.5518E-4	3.0035E-4	1.0201E-5	1.7282E-5	8.4756E-4	3.9978E-6	4.7191E-4	2.0033E-4	4.4521E-6	4.5276E-6	3.7077E-6	2.2113E-5	5.9177E-5	6.793E-4	3.8577E-6	1.8556E-4	1.3348E-4	1.2295E-6	4.1046E-4	3.3799E-4	1.4417E-6	2.3139E-6	1.2607E-6	2.5289E-5	5.9667E-5	1.911E-4	1.174E-6	4.7371E-5	6.5567E-4	1.5409E-5	3.5882E-4	4.9327E-4	1.5707E-5	1.9949E-5	1.5103E-5	2.6971E-5	5.2382E-5	2.1875E-4	1.5463E-5
median	-73888.4	0.7053	0.013	9.0498E-4	6.8106E-3	0.078	1.0306E-3	1.0368E-3	8.9804E-4	9.1383E-3	0.0126	0.162	9.2841E-4	4.7482E-3	0.7743	6.8479E-4	0.0193	0.0758	8.7947E-4	8.7435E-4	7.1108E-4	1.5804E-3	0.0668	0.0448	7.3218E-4	0.0144	0.0713	0.6708	0.077	0.0555	3.9202E-3	7.293E-3	4.023E-3	0.0316	0.013	0.0163	4.0558E-3	8.3316E-3	0.0511	1.1497E-3	0.6922	0.0144	1.2744E-3	1.317E-3	1.1901E-3	9.3475E-3	0.0361	0.1737	1.1986E-3	5.385E-3	0.0702	7.6452E-4	0.0425	0.7661	1.001E-3	9.6121E-4	8.064E-4	4.7726E-3	3.9555E-3	0.095	8.1115E-4	0.0113	0.031	3.3E-3	0.0295	0.1136	0.67	3.3773E-3	3.3379E-3	0.0549	0.0102	0.0369	3.3858E-3	9.6482E-3	0.0881	3.433E-3	0.1178	0.0168	3.5527E-3	0.67	3.3672E-3	0.0469	4.6022E-3	8.8195E-3	3.3155E-3	0.015	0.0691	4.427E-3	0.0731	0.0175	4.5777E-3	4.4956E-3	0.6712	4.8126E-3	0.0451	0.0604	4.4367E-3	0.0152	0.1157	2.3213E-3	0.036	0.0615	2.3946E-3	2.5167E-3	2.2181E-3	0.6983	0.0204	0.0165	2.2985E-3	2.9394E-3	0.0918	1.3777E-3	0.0786	0.0313	1.4581E-3	1.4463E-3	1.3735E-3	4.186E-3	0.6756	0.0992	1.3809E-3	0.0364	0.0106	7.4593E-4	0.0894	0.0669	8.205E-4	8.9927E-4	6.9543E-4	8.3273E-3	0.0124	0.7617	7.5535E-4	7.2091E-3	0.1741	2.7033E-3	0.052	0.037	2.8281E-3	3.0771E-3	2.7971E-3	4.1337E-3	5.2315E-3	0.0185	0.6694
value range	[-74587.8, -73479.6]	[0.6682, 0.7536]	[3.8814E-6, 0.0695]	[1.1615E-6, 0.0101]	[2.2387E-5, 0.0457]	[0.0359, 0.1357]	[2.4252E-7, 0.0115]	[8.6643E-7, 0.0143]	[5.9048E-7, 0.0143]	[2.1843E-6, 0.0391]	[2.0803E-6, 0.0571]	[0.0944, 0.2149]	[3.4407E-7, 0.0163]	[8.4023E-6, 0.04]	[0.7064, 0.89]	[3.5309E-7, 0.0124]	[7.9314E-5, 0.0532]	[0.0269, 0.1278]	[7.6687E-7, 0.0106]	[5.6973E-7, 0.0107]	[1.5788E-7, 9.0384E-3]	[7.9382E-7, 0.0151]	[0.0114, 0.1401]	[1.8822E-3, 0.0902]	[5.7069E-8, 0.0147]	[5.3601E-6, 0.0953]	[3.7192E-3, 0.1897]	[0.6667, 0.7136]	[0.0102, 0.187]	[1.1765E-3, 0.1661]	[2.6954E-7, 0.0515]	[1.0569E-6, 0.0787]	[4.9914E-7, 0.0399]	[6.9422E-6, 0.1322]	[1.6451E-6, 0.094]	[1.2757E-5, 0.1011]	[1.9092E-7, 0.0412]	[2.348E-6, 0.055]	[1.5772E-3, 0.1258]	[1.0759E-6, 0.0158]	[0.6681, 0.7339]	[8.5862E-6, 0.0572]	[5.9403E-7, 0.0215]	[9.1627E-8, 0.0217]	[1.7773E-6, 0.015]	[1.7876E-5, 0.0506]	[3.753E-3, 0.0916]	[0.0961, 0.2381]	[3.2441E-7, 0.0134]	[1.2525E-5, 0.0559]	[0.016, 0.1322]	[1.4529E-6, 0.0103]	[9.0121E-3, 0.1049]	[0.7028, 0.8879]	[1.381E-6, 0.0144]	[5.5263E-7, 0.014]	[4.6992E-7, 0.0117]	[4.0052E-6, 0.0346]	[1.5451E-5, 0.0305]	[9.1729E-3, 0.1599]	[3.0894E-6, 0.0103]	[5.9058E-6, 0.0949]	[1.1389E-6, 0.1335]	[1.1864E-7, 0.0546]	[2.1334E-6, 0.125]	[0.0462, 0.1971]	[0.6667, 0.7105]	[1.3712E-6, 0.0563]	[1.1715E-7, 0.0418]	[5.2123E-3, 0.1696]	[1.7341E-6, 0.0906]	[9.4041E-5, 0.1269]	[3.8475E-8, 0.0442]	[1.3038E-6, 0.0749]	[0.0196, 0.1664]	[1.9342E-8, 0.0447]	[0.0349, 0.218]	[2.0618E-7, 0.0966]	[1.5661E-7, 0.0676]	[0.6667, 0.7176]	[1.3238E-7, 0.0412]	[3.9448E-3, 0.1443]	[2.6388E-7, 0.0445]	[1.7904E-6, 0.0857]	[2.8285E-7, 0.0435]	[2.216E-6, 0.0914]	[3.0401E-4, 0.1917]	[4.2678E-8, 0.054]	[0.0133, 0.1604]	[4.1084E-6, 0.1132]	[9.8907E-8, 0.0553]	[1.2944E-6, 0.056]	[0.6667, 0.7285]	[3.5346E-7, 0.0589]	[2.8385E-3, 0.1992]	[8.7658E-3, 0.152]	[4.6465E-7, 0.0607]	[4.5929E-6, 0.0968]	[0.0307, 0.2546]	[7.8515E-9, 0.0293]	[2.5984E-5, 0.1425]	[5.3566E-5, 0.1783]	[2.3244E-7, 0.0352]	[1.2059E-7, 0.0367]	[1.0355E-7, 0.0349]	[0.6667, 0.7787]	[2.0623E-6, 0.111]	[3.8716E-6, 0.1073]	[9.8182E-7, 0.0339]	[2.3004E-7, 0.0384]	[0.0109, 0.1986]	[3.9396E-7, 0.0167]	[0.0175, 0.1439]	[2.8479E-4, 0.0957]	[2.9035E-8, 0.023]	[7.3897E-7, 0.0219]	[9.8968E-8, 0.0225]	[9.8047E-7, 0.0323]	[0.6667, 0.7166]	[0.0383, 0.1889]	[3.0741E-7, 0.0192]	[6.0475E-3, 0.0901]	[3.5464E-5, 0.079]	[6.7809E-7, 8.8306E-3]	[0.0287, 0.1566]	[0.0155, 0.1359]	[5.6755E-7, 0.0111]	[3.6488E-6, 0.0145]	[8.3149E-7, 0.0106]	[2.8463E-4, 0.0361]	[1.9331E-4, 0.057]	[0.7221, 0.8323]	[3.2699E-6, 0.0101]	[6.4761E-7, 0.0477]	[0.1003, 0.2462]	[1.4127E-6, 0.0314]	[8.0348E-3, 0.1306]	[2.8489E-3, 0.144]	[1.9679E-7, 0.0343]	[2.3811E-7, 0.0429]	[3.3429E-7, 0.0302]	[9.8538E-8, 0.0416]	[1.1662E-7, 0.0479]	[1.4285E-6, 0.0958]	[0.6667, 0.7065]
geometric mean	n/a	0.7047	0.0103	7.7552E-4	5.604E-3	0.0777	8.313E-4	8.0794E-4	7.2131E-4	8.0714E-3	0.0102	0.1599	7.5513E-4	3.9755E-3	0.7795	5.8659E-4	0.0177	0.0741	6.8341E-4	7.0889E-4	5.9089E-4	1.2345E-3	0.0605	0.0414	5.6266E-4	0.0117	0.0685	0.6725	0.0737	0.0512	3.2304E-3	5.918E-3	3.2028E-3	0.0271	0.0102	0.0131	3.2663E-3	6.6624E-3	0.0462	9.6282E-4	0.6931	0.012	1.0047E-3	1.1028E-3	9.5403E-4	8.4679E-3	0.0348	0.1724	9.6634E-4	4.6113E-3	0.0682	6.4564E-4	0.0406	0.7738	8.2573E-4	7.9235E-4	6.5853E-4	3.8457E-3	3.2478E-3	0.0794	6.7292E-4	9.186E-3	0.0243	2.6446E-3	0.021	0.1123	0.6714	2.7349E-3	2.6611E-3	0.0532	8.1659E-3	0.0342	2.6907E-3	7.7345E-3	0.0843	2.7587E-3	0.1134	0.0132	2.8897E-3	0.6714	2.6762E-3	0.0465	3.6634E-3	7.1138E-3	2.6618E-3	0.0121	0.0631	3.527E-3	0.0707	0.0144	3.7167E-3	3.593E-3	0.6731	3.8839E-3	0.0432	0.0583	3.6055E-3	0.0118	0.1135	1.8698E-3	0.0294	0.0526	1.9189E-3	2.0677E-3	1.7795E-3	0.6994	0.0151	0.0132	1.8992E-3	2.3805E-3	0.0845	1.1198E-3	0.0768	0.0289	1.1992E-3	1.2E-3	1.0892E-3	3.3593E-3	0.6771	0.0971	1.1224E-3	0.0345	8.9886E-3	6.0483E-4	0.0878	0.0646	7.0628E-4	7.4782E-4	5.765E-4	7.7494E-3	0.0109	0.7629	6.3759E-4	5.9395E-3	0.1725	2.2401E-3	0.0506	0.0358	2.2547E-3	2.512E-3	2.2669E-3	3.346E-3	4.2685E-3	0.015	0.6706
95% HPD interval	[-74340.9, -73561.3]	[0.6798, 0.7273]	[3.8814E-6, 0.0373]	[1.1615E-6, 3.962E-3]	[2.2387E-5, 0.0209]	[0.0492, 0.1126]	[2.4252E-7, 4.3576E-3]	[8.6643E-7, 4.3968E-3]	[5.9048E-7, 3.7967E-3]	[2.3862E-4, 0.0205]	[2.0803E-6, 0.0328]	[0.1253, 0.1931]	[9.1075E-7, 3.8608E-3]	[8.4023E-6, 0.0163]	[0.7228, 0.8433]	[3.5309E-7, 3.2973E-3]	[4.5719E-3, 0.0375]	[0.0453, 0.1055]	[7.6687E-7, 3.7503E-3]	[5.6973E-7, 3.5758E-3]	[1.5788E-7, 3.2214E-3]	[7.9382E-7, 6.4687E-3]	[0.0226, 0.1062]	[0.0158, 0.073]	[5.7069E-8, 3.2213E-3]	[1.1302E-5, 0.043]	[0.0249, 0.1214]	[0.6667, 0.6837]	[0.0304, 0.1289]	[0.01, 0.1092]	[2.6954E-7, 0.0171]	[1.0569E-6, 0.0376]	[1.5505E-6, 0.0167]	[1.0441E-3, 0.0792]	[1.6451E-6, 0.0461]	[1.2757E-5, 0.0463]	[1.9092E-7, 0.017]	[2.348E-6, 0.0237]	[0.013, 0.0855]	[1.0759E-6, 5.0902E-3]	[0.6744, 0.7129]	[8.5862E-6, 0.0338]	[5.9403E-7, 5.2038E-3]	[9.1627E-8, 5.9448E-3]	[1.7773E-6, 4.9051E-3]	[2.9272E-4, 0.0239]	[0.0124, 0.0673]	[0.1365, 0.21]	[3.2441E-7, 4.9715E-3]	[1.2525E-5, 0.0191]	[0.0395, 0.098]	[1.4529E-6, 3.3469E-3]	[0.0145, 0.0703]	[0.7186, 0.8421]	[1.9743E-6, 4.3196E-3]	[5.5263E-7, 4.445E-3]	[4.6992E-7, 3.1994E-3]	[4.0052E-6, 0.0157]	[1.5451E-5, 0.0139]	[0.0249, 0.1363]	[3.0894E-6, 3.4882E-3]	[5.9058E-6, 0.0466]	[9.0694E-5, 0.0796]	[1.1864E-7, 0.0143]	[9.7626E-6, 0.0686]	[0.0707, 0.1664]	[0.6667, 0.6811]	[1.3712E-6, 0.0143]	[1.1715E-7, 0.0143]	[0.0144, 0.1154]	[1.7341E-6, 0.0378]	[4.833E-3, 0.0759]	[3.8475E-8, 0.014]	[1.3038E-6, 0.0348]	[0.0419, 0.1369]	[1.9342E-8, 0.0144]	[0.0567, 0.1705]	[2.0618E-7, 0.0544]	[1.5661E-7, 0.0157]	[0.6667, 0.6806]	[1.3238E-7, 0.0142]	[0.0125, 0.1033]	[2.6388E-7, 0.0185]	[1.7904E-6, 0.0348]	[2.8285E-7, 0.0138]	[2.216E-6, 0.0449]	[0.0124, 0.1266]	[4.2678E-8, 0.0187]	[0.0299, 0.1185]	[1.1644E-5, 0.0556]	[9.8907E-8, 0.0189]	[1.2944E-6, 0.0184]	[0.6667, 0.6858]	[3.5346E-7, 0.0204]	[0.0125, 0.0859]	[0.0213, 0.107]	[4.6465E-7, 0.0191]	[4.5929E-6, 0.0475]	[0.0571, 0.1819]	[7.8515E-9, 9.9885E-3]	[1.0836E-4, 0.08]	[2.8413E-3, 0.1207]	[2.3244E-7, 0.0105]	[6.6335E-7, 0.011]	[1.0355E-7, 9.7785E-3]	[0.667, 0.733]	[2.0623E-6, 0.059]	[3.8716E-6, 0.0552]	[9.8182E-7, 9.7571E-3]	[2.3004E-7, 0.0125]	[0.0315, 0.1421]	[3.9396E-7, 6.0557E-3]	[0.0396, 0.125]	[6.1559E-3, 0.0586]	[2.9035E-8, 6.4444E-3]	[7.3897E-7, 6.4081E-3]	[9.8968E-8, 5.8989E-3]	[9.8047E-7, 0.0149]	[0.6667, 0.6917]	[0.0514, 0.1516]	[3.0741E-7, 6.0352E-3]	[0.0129, 0.0638]	[3.5464E-5, 0.0376]	[6.7809E-7, 3.2252E-3]	[0.0495, 0.1291]	[0.0288, 0.1016]	[5.6755E-7, 3.674E-3]	[3.6488E-6, 4.4161E-3]	[8.3149E-7, 3.2703E-3]	[1.0611E-3, 0.0188]	[1.9331E-4, 0.028]	[0.7367, 0.79]	[3.2699E-6, 3.3231E-3]	[6.4761E-7, 0.0222]	[0.1275, 0.2269]	[1.4127E-6, 0.0117]	[0.0198, 0.0901]	[6.8918E-3, 0.0842]	[1.9679E-7, 0.0118]	[2.3811E-7, 0.0135]	[3.3429E-7, 0.0115]	[9.8538E-8, 0.0162]	[1.1662E-7, 0.0225]	[1.4285E-6, 0.0493]	[0.6667, 0.6783]
auto-correlation time (ACT)	2.0686E6	4.511E5	1.74E6	6831.9885	2.0361E5	7.3445E5	12538.4103	12581.2637	6747.3776	3.9103E5	8.7302E5	7.561E5	5143.1503	1.4141E5	1.96E6	6984.1554	3.0374E5	9.8602E5	31839.6253	12009.9127	6859.1435	1.9046E5	2.5771E6	3.6819E5	10620.477	1.4252E5	2.8918E5	1073.5275	2.0836E5	7.9319E5	1521.2302	1.3372E6	1109.707	1.1884E6	5.4038E5	1.6504E5	1278.0695	89637.3089	1.2588E6	3942.5183	70883.396	2.9044E5	4331.9382	12143.324	4056.4786	2.9823E5	3.3706E5	5.8426E5	4759.0252	5.7596E5	7.5561E5	7818.5278	8.9016E5	2.3692E6	41432.7717	98899.3524	7859.0672	4.7786E5	1.927E5	2.3701E6	8517.0479	4.9797E5	1.0989E6	1257.6729	8.1217E5	4.3401E5	1210.8193	1334.9559	1306.3583	1.013E6	4.1478E5	4.3E5	1246.1811	2.0558E5	4.7299E5	22548.8464	4.8744E5	5.2202E5	32060.1972	2148.5587	9425.0151	8.9482E5	10129.4347	4.8269E5	3842.0031	1.2122E5	5.2472E5	1151.4079	2.9428E5	1.0216E5	1123.5341	1239.9825	1100.4729	19230.8593	1.6209E5	2.0092E5	1201.719	3.9465E5	4.0981E5	2698.561	1.0014E6	4.3009E5	3186.058	10415.0308	2541.7666	4.5272E5	5.8601E5	2.1036E5	2059.5829	23052.0761	1.0199E6	1845.5325	1.1061E6	2.5765E5	2999.0453	15779.2506	1616.0394	1.3148E5	2.2749E5	7.7068E5	2076.3627	5.4233E5	1.6586E6	8263.9977	1.4272E6	7.2379E5	34719.8609	1.9827E5	7804.5734	3.6111E5	9.7867E5	2.6309E5	8591.8122	69322.9746	3.825E5	1295.7582	6.8329E5	1.2686E6	1520.6041	61341.887	1746.6321	1.0623E5	6.979E5	2.529E5	1297.7879
effective sample size (ESS)	4.4	20	5.2	1317.3	44.2	12.3	717.8	715.3	1333.9	23	10.3	11.9	1749.9	63.6	4.6	1288.6	29.6	9.1	282.7	749.4	1312.1	47.3	3.5	24.4	847.4	63.1	31.1	8383.6	43.2	11.3	5916.3	6.7	8110.2	7.6	16.7	54.5	7041.9	100.4	7.1	2282.8	127	31	2077.6	741.1	2218.7	30.2	26.7	15.4	1891.1	15.6	11.9	1151.1	10.1	3.8	217.2	91	1145.2	18.8	46.7	3.8	1056.7	18.1	8.2	7156.1	11.1	20.7	7433	6741.8	6889.4	8.9	21.7	20.9	7222.1	43.8	19	399.1	18.5	17.2	280.7	4188.9	954.9	10.1	888.5	18.6	2342.5	74.2	17.2	7816.5	30.6	88.1	8010.4	7258.2	8178.3	468	55.5	44.8	7489.3	22.8	22	3335.1	9	20.9	2824.8	864.1	3540.8	19.9	15.4	42.8	4369.8	390.4	8.8	4876.6	8.1	34.9	3001	570.4	5569.2	68.5	39.6	11.7	4334.5	16.6	5.4	1089.1	6.3	12.4	259.2	45.4	1153.2	24.9	9.2	34.2	1047.5	129.8	23.5	6945.7	13.2	7.1	5918.7	146.7	5152.8	84.7	12.9	35.6	6934.9
