Summary Statistic	LogProb	m[0][0]	m[0][1]	m[0][2]	m[0][3]	m[0][4]	m[0][5]	m[0][6]	m[0][7]	m[0][8]	m[0][9]	m[0][10]	m[0][11]	m[1][0]	m[1][1]	m[1][2]	m[1][3]	m[1][4]	m[1][5]	m[1][6]	m[1][7]	m[1][8]	m[1][9]	m[1][10]	m[1][11]	m[2][0]	m[2][1]	m[2][2]	m[2][3]	m[2][4]	m[2][5]	m[2][6]	m[2][7]	m[2][8]	m[2][9]	m[2][10]	m[2][11]	m[3][0]	m[3][1]	m[3][2]	m[3][3]	m[3][4]	m[3][5]	m[3][6]	m[3][7]	m[3][8]	m[3][9]	m[3][10]	m[3][11]	m[4][0]	m[4][1]	m[4][2]	m[4][3]	m[4][4]	m[4][5]	m[4][6]	m[4][7]	m[4][8]	m[4][9]	m[4][10]	m[4][11]	m[5][0]	m[5][1]	m[5][2]	m[5][3]	m[5][4]	m[5][5]	m[5][6]	m[5][7]	m[5][8]	m[5][9]	m[5][10]	m[5][11]	m[6][0]	m[6][1]	m[6][2]	m[6][3]	m[6][4]	m[6][5]	m[6][6]	m[6][7]	m[6][8]	m[6][9]	m[6][10]	m[6][11]	m[7][0]	m[7][1]	m[7][2]	m[7][3]	m[7][4]	m[7][5]	m[7][6]	m[7][7]	m[7][8]	m[7][9]	m[7][10]	m[7][11]	m[8][0]	m[8][1]	m[8][2]	m[8][3]	m[8][4]	m[8][5]	m[8][6]	m[8][7]	m[8][8]	m[8][9]	m[8][10]	m[8][11]	m[9][0]	m[9][1]	m[9][2]	m[9][3]	m[9][4]	m[9][5]	m[9][6]	m[9][7]	m[9][8]	m[9][9]	m[9][10]	m[9][11]	m[10][0]	m[10][1]	m[10][2]	m[10][3]	m[10][4]	m[10][5]	m[10][6]	m[10][7]	m[10][8]	m[10][9]	m[10][10]	m[10][11]	m[11][0]	m[11][1]	m[11][2]	m[11][3]	m[11][4]	m[11][5]	m[11][6]	m[11][7]	m[11][8]	m[11][9]	m[11][10]	m[11][11]
mean	-67988.478	0.7005	0.0111	1.3143E-3	0.1194	0.1223	1.4341E-3	1.4665E-3	1.2664E-3	5.4785E-3	6.1665E-3	0.0275	2.1425E-3	9.01E-3	0.7673	1.0568E-3	0.0999	0.0846	1.168E-3	1.209E-3	1.1282E-3	3.8876E-3	4.0708E-3	0.0244	2.2439E-3	0.0192	0.031	0.6723	0.0777	0.0543	5.8384E-3	0.0101	5.7623E-3	0.0225	0.0186	0.0737	8.8642E-3	0.0118	0.0304	1.7136E-3	0.6875	0.0301	1.8047E-3	2.0269E-3	1.6349E-3	2.8549E-3	0.0159	0.2121	2.1519E-3	8.8034E-3	0.0328	1.1439E-3	0.0585	0.8513	1.5835E-3	1.777E-3	1.1257E-3	5.6567E-3	4.6266E-3	0.0309	1.738E-3	7.2415E-3	0.0119	4.6942E-3	0.0774	0.1377	0.6715	5.0557E-3	4.7439E-3	0.0348	7.2917E-3	0.0327	4.9655E-3	0.0148	0.0438	4.7965E-3	0.1373	0.035	5.3179E-3	0.6717	4.7831E-3	0.0191	0.0108	0.0474	5.2586E-3	0.0159	0.0412	6.3874E-3	0.0474	0.0521	6.3616E-3	6.5476E-3	0.6732	7.5948E-3	0.0175	0.1194	6.4699E-3	0.0108	0.0683	3.2852E-3	0.0926	0.085	3.5713E-3	4.236E-3	3.311E-3	0.6782	0.022	0.0224	6.2072E-3	6.5732E-3	0.1055	1.9769E-3	0.0787	0.0703	2.4021E-3	2.2318E-3	1.9876E-3	4.1125E-3	0.6753	0.048	2.8615E-3	0.0315	0.0166	1.1606E-3	0.0405	0.1095	1.4369E-3	1.4423E-3	1.1237E-3	3.4315E-3	0.0103	0.7809	2.0731E-3	0.0163	0.0589	3.9605E-3	0.0994	0.0647	4.0076E-3	4.1859E-3	3.9571E-3	5.4295E-3	9.1971E-3	0.0589	0.6711
stderr of mean	84.247	3.2511E-3	2.6263E-3	3.4337E-5	0.0136	7.9655E-3	4.2658E-5	4.4797E-5	3.145E-5	1.5063E-3	1.0264E-3	8.0148E-3	1.0518E-4	2.1122E-3	0.0184	3.6095E-5	7.1582E-3	0.0124	5.4392E-5	3.6735E-5	3.5801E-5	1.5975E-3	3.1988E-4	7.2674E-3	2.1665E-4	1.1879E-3	5.5179E-3	6.4029E-5	0.0253	3.2416E-3	7.1449E-5	3.0459E-3	6.3264E-5	3.5846E-3	2.9058E-3	0.0186	7.5294E-4	1.2503E-3	3.9947E-3	3.282E-5	9.6711E-3	3.236E-3	3.812E-5	4.7988E-5	2.5983E-5	1.4058E-4	3.8944E-3	0.0119	5.1713E-5	8.0089E-4	3.8396E-3	3.7716E-5	5.4296E-3	0.013	7.6156E-5	4.3392E-4	3.169E-5	6.5153E-4	7.6998E-4	9.611E-3	6.1453E-5	4.0492E-4	2.1521E-3	6.1034E-5	6.3673E-3	6.0022E-3	5.9252E-5	2.7657E-4	5.749E-5	2.5621E-3	2.3804E-4	5.0521E-3	6.8871E-5	1.0219E-3	5.5041E-3	1.5191E-4	0.0251	8.2013E-3	4.4347E-4	1.0416E-4	1.1497E-4	3.4895E-3	1.2073E-3	0.0168	2.3086E-4	1.0927E-3	4.2058E-3	7.3295E-5	7.7449E-3	8.2226E-3	7.2355E-5	7.1598E-5	7.5035E-5	4.0335E-4	3.3212E-3	2.9492E-3	7.6776E-5	8.0162E-4	0.0137	4.0691E-5	0.0236	0.0124	9.6293E-5	6.532E-4	4.1007E-5	2.3877E-3	3.0717E-3	2.1478E-3	4.8317E-4	5.218E-4	6.0933E-3	2.6607E-5	0.0265	0.0201	2.2863E-4	6.4575E-5	2.5332E-5	7.9684E-4	2.2463E-3	9.545E-3	1.6631E-4	3.4027E-3	3.2794E-3	3.6205E-5	4.1857E-3	0.0188	1.6938E-4	9.3402E-5	3.4862E-5	2.4764E-4	9.2579E-4	0.0157	1.6032E-4	7.3278E-4	0.0121	5.0977E-5	0.0278	0.0116	5.3072E-5	9.6524E-5	4.9733E-5	4.6184E-4	9.0468E-4	0.0115	7.1967E-5
stdev	201.2778	0.0151	9.2057E-3	1.33E-3	0.0386	0.027	1.4393E-3	1.4966E-3	1.2868E-3	4.9372E-3	5.0797E-3	0.0236	2.1636E-3	6.6533E-3	0.0445	1.1175E-3	0.0199	0.0295	1.1729E-3	1.1633E-3	1.0926E-3	5.1511E-3	3.5677E-3	0.0175	2.2947E-3	0.0134	0.0234	5.6115E-3	0.0536	0.0255	5.7187E-3	0.0109	5.5708E-3	0.0163	0.0156	0.0422	8.7059E-3	8.9878E-3	0.0158	1.7127E-3	0.0215	0.0158	1.7821E-3	2.0166E-3	1.6156E-3	2.7669E-3	0.0121	0.0315	2.111E-3	6.0312E-3	0.0139	1.135E-3	0.0176	0.0301	1.5957E-3	2.0298E-3	1.1176E-3	4.4877E-3	4.6394E-3	0.0237	1.7431E-3	7.1437E-3	0.0122	4.5841E-3	0.0309	0.0306	4.7547E-3	5.0452E-3	4.6149E-3	0.0163	6.7649E-3	0.0256	4.8983E-3	0.0107	0.0245	4.7583E-3	0.0507	0.0267	5.3038E-3	4.9478E-3	4.7192E-3	0.0135	9.5783E-3	0.0357	5.3914E-3	0.0129	0.0265	6.2451E-3	0.0261	0.0276	6.2672E-3	6.371E-3	6.5653E-3	7.2324E-3	0.0144	0.0298	6.3116E-3	9.8123E-3	0.0415	3.2756E-3	0.0527	0.0349	3.5287E-3	4.4302E-3	3.2276E-3	0.0109	0.0178	0.0186	5.5466E-3	5.8276E-3	0.0236	1.9744E-3	0.0484	0.0403	2.4007E-3	2.2104E-3	1.9566E-3	3.9772E-3	7.9289E-3	0.0286	2.7585E-3	0.0136	0.0111	1.142E-3	0.0133	0.0362	1.5734E-3	1.5634E-3	1.0919E-3	2.9872E-3	6.288E-3	0.0303	1.8776E-3	0.0105	0.0312	3.839E-3	0.0536	0.0331	4.0239E-3	4.2234E-3	3.9503E-3	5.3519E-3	8.426E-3	0.0344	4.3883E-3
variance	40512.7601	2.2805E-4	8.4745E-5	1.769E-6	1.4898E-3	7.2962E-4	2.0716E-6	2.2398E-6	1.6559E-6	2.4376E-5	2.5803E-5	5.5908E-4	4.6813E-6	4.4267E-5	1.9793E-3	1.2488E-6	3.9497E-4	8.7311E-4	1.3757E-6	1.3532E-6	1.1937E-6	2.6534E-5	1.2728E-5	3.0473E-4	5.2657E-6	1.8076E-4	5.4559E-4	3.1489E-5	2.8728E-3	6.5067E-4	3.2703E-5	1.1777E-4	3.1034E-5	2.6577E-4	2.4479E-4	1.7771E-3	7.5793E-5	8.0781E-5	2.4851E-4	2.9332E-6	4.6097E-4	2.4893E-4	3.1759E-6	4.0666E-6	2.6103E-6	7.6557E-6	1.4723E-4	9.9051E-4	4.4563E-6	3.6375E-5	1.9393E-4	1.2883E-6	3.1038E-4	9.0421E-4	2.5464E-6	4.1203E-6	1.2491E-6	2.014E-5	2.1524E-5	5.6162E-4	3.0385E-6	5.1033E-5	1.4764E-4	2.1014E-5	9.5387E-4	9.3688E-4	2.2607E-5	2.5454E-5	2.1297E-5	2.6574E-4	4.5763E-5	6.5415E-4	2.3993E-5	1.155E-4	5.9925E-4	2.2642E-5	2.569E-3	7.1323E-4	2.8131E-5	2.4481E-5	2.2271E-5	1.8271E-4	9.1744E-5	1.2716E-3	2.9067E-5	1.6678E-4	7.0428E-4	3.9001E-5	6.8136E-4	7.5957E-4	3.9278E-5	4.059E-5	4.3104E-5	5.2308E-5	2.0825E-4	8.8726E-4	3.9836E-5	9.6281E-5	1.7211E-3	1.073E-5	2.7789E-3	1.2194E-3	1.2451E-5	1.9627E-5	1.0417E-5	1.1984E-4	3.1832E-4	3.4762E-4	3.0764E-5	3.396E-5	5.5737E-4	3.8984E-6	2.3446E-3	1.6218E-3	5.7635E-6	4.886E-6	3.8284E-6	1.5818E-5	6.2868E-5	8.174E-4	7.6092E-6	1.8385E-4	1.2381E-4	1.3041E-6	1.7754E-4	1.3075E-3	2.4757E-6	2.4443E-6	1.1923E-6	8.9232E-6	3.9539E-5	9.1744E-4	3.5252E-6	1.1111E-4	9.7593E-4	1.4738E-5	2.8779E-3	1.0988E-3	1.6192E-5	1.7837E-5	1.5605E-5	2.8643E-5	7.0997E-5	1.1868E-3	1.9257E-5
median	-67959.8	0.6998	8.6E-3	9.2522E-4	0.1242	0.1191	9.7769E-4	1.042E-3	8.8437E-4	4.078E-3	4.8749E-3	0.0196	1.4484E-3	7.5764E-3	0.7528	6.7642E-4	0.103	0.0889	7.7937E-4	8.4215E-4	7.9768E-4	1.9043E-3	3.0826E-3	0.02	1.5521E-3	0.0166	0.0262	0.6706	0.0689	0.0528	4.1506E-3	6.3794E-3	4.0935E-3	0.0184	0.0146	0.0706	6.2163E-3	9.9764E-3	0.0281	1.175E-3	0.6788	0.0289	1.2691E-3	1.4233E-3	1.1495E-3	2.0084E-3	0.0132	0.2189	1.5347E-3	7.598E-3	0.0332	8.006E-4	0.0561	0.8544	1.1229E-3	1.1168E-3	8.1498E-4	4.6797E-3	3.2233E-3	0.0239	1.2186E-3	5.0344E-3	7.8354E-3	3.2695E-3	0.0765	0.1372	0.67	3.5333E-3	3.3707E-3	0.0333	5.3407E-3	0.0265	3.4613E-3	0.0126	0.0398	3.3476E-3	0.1317	0.0304	3.7099E-3	0.6702	3.3366E-3	0.0174	8.1E-3	0.0413	3.6019E-3	0.0129	0.0371	4.458E-3	0.0433	0.0509	4.4008E-3	4.5923E-3	0.6711	5.4984E-3	0.014	0.1185	4.5591E-3	7.9869E-3	0.0605	2.2867E-3	0.0875	0.0836	2.5107E-3	2.8425E-3	2.3199E-3	0.6749	0.0175	0.0176	4.71E-3	4.9284E-3	0.1048	1.3662E-3	0.0678	0.0731	1.6542E-3	1.5675E-3	1.3799E-3	2.8489E-3	0.673	0.046	2.0736E-3	0.0307	0.0147	8.1433E-4	0.039	0.1075	9.0683E-4	9.59E-4	8.05E-4	2.6603E-3	9.4448E-3	0.7805	1.5676E-3	0.0144	0.059	2.7934E-3	0.0853	0.0641	2.7685E-3	2.8678E-3	2.7675E-3	3.8073E-3	6.7635E-3	0.0568	0.6697
value range	[-68544.1, -67525.7]	[0.6671, 0.7654]	[2.5208E-6, 0.0586]	[3.7507E-7, 0.0111]	[0.0157, 0.2079]	[0.0534, 0.2256]	[1.4394E-6, 0.0152]	[1.1786E-6, 0.016]	[1.1734E-8, 0.0107]	[5.5888E-7, 0.0492]	[4.6513E-6, 0.039]	[1.0989E-5, 0.1232]	[8.2747E-7, 0.0195]	[1.2557E-5, 0.0385]	[0.7, 0.9112]	[1.5755E-6, 0.0113]	[0.0141, 0.1485]	[7.2473E-3, 0.1582]	[9.5155E-8, 9.8201E-3]	[9.5297E-7, 0.0104]	[1.6606E-6, 0.0104]	[1.0912E-6, 0.04]	[5.7194E-6, 0.0259]	[8.7934E-5, 0.091]	[7.3626E-7, 0.0245]	[1.933E-6, 0.0975]	[8.1937E-6, 0.1252]	[0.6667, 0.7187]	[1.6378E-5, 0.2501]	[3.1963E-5, 0.1577]	[7.7093E-7, 0.0665]	[6.2062E-7, 0.0762]	[1.202E-7, 0.0458]	[5.6709E-5, 0.1069]	[4.6624E-6, 0.1014]	[3.7669E-5, 0.2141]	[6.3549E-7, 0.0735]	[3.836E-6, 0.0656]	[7.6983E-6, 0.0984]	[2.3409E-7, 0.0158]	[0.6667, 0.7814]	[1.0307E-5, 0.096]	[6.9375E-7, 0.0181]	[8.5178E-7, 0.017]	[1.5284E-7, 0.0167]	[3.3342E-8, 0.0211]	[2.7914E-6, 0.0777]	[0.0943, 0.275]	[5.6414E-7, 0.0233]	[4.1447E-5, 0.0426]	[3.8292E-5, 0.0799]	[1.3818E-6, 0.0105]	[0.0128, 0.134]	[0.7568, 0.9235]	[3.6673E-7, 0.0154]	[9.3339E-9, 0.0251]	[6.7617E-8, 0.0103]	[1.3303E-6, 0.0372]	[4.5633E-6, 0.0397]	[1.6905E-5, 0.1101]	[1.0053E-6, 0.0141]	[2.4025E-6, 0.0569]	[2.8068E-6, 0.076]	[8.5824E-7, 0.0445]	[1.1182E-4, 0.1972]	[0.0451, 0.2513]	[0.6667, 0.7136]	[2.0327E-7, 0.0481]	[5.4772E-7, 0.0423]	[3.2167E-4, 0.113]	[1.4827E-7, 0.0518]	[1.9718E-6, 0.1624]	[9.4724E-7, 0.0433]	[2.086E-6, 0.0715]	[8.2157E-5, 0.1492]	[1.5857E-6, 0.0449]	[0.0243, 0.2703]	[2.6654E-7, 0.1484]	[4.903E-7, 0.045]	[0.6667, 0.7148]	[1.7896E-7, 0.0494]	[6.7826E-6, 0.0902]	[3.9371E-7, 0.0671]	[4.8841E-6, 0.1526]	[8.7789E-7, 0.054]	[1.0399E-5, 0.1193]	[9.8472E-6, 0.1609]	[1.8698E-7, 0.0679]	[7.1253E-5, 0.1577]	[1.5298E-5, 0.154]	[8.935E-7, 0.0531]	[2.8138E-6, 0.0489]	[0.6667, 0.7305]	[7.0444E-7, 0.0543]	[9.7524E-6, 0.116]	[0.0211, 0.2165]	[9.8793E-7, 0.052]	[4.5827E-6, 0.0733]	[1.982E-5, 0.212]	[7.8732E-8, 0.0354]	[8.6182E-6, 0.2388]	[2.6037E-3, 0.1937]	[2.1864E-7, 0.0282]	[3.3195E-7, 0.0557]	[2.026E-7, 0.0299]	[0.6667, 0.754]	[2.3166E-6, 0.1228]	[1.8274E-6, 0.1013]	[2.1647E-6, 0.0494]	[2.1993E-6, 0.041]	[0.0267, 0.1858]	[3.894E-7, 0.0168]	[3.1389E-3, 0.2058]	[7.5692E-6, 0.1555]	[1.6621E-7, 0.0185]	[4.6819E-7, 0.0229]	[3.2825E-7, 0.0183]	[1.7698E-7, 0.0346]	[0.6667, 0.7253]	[1.7741E-5, 0.146]	[1.7156E-8, 0.0271]	[1.1864E-3, 0.0884]	[3.2219E-6, 0.0689]	[1.284E-7, 0.0116]	[8.7425E-3, 0.1064]	[0.0249, 0.1987]	[1.7509E-6, 0.0144]	[1.6838E-7, 0.0155]	[2.8347E-6, 0.0135]	[6.3663E-6, 0.0213]	[8.0697E-6, 0.0394]	[0.7066, 0.8611]	[7.8397E-8, 0.0166]	[1.1597E-5, 0.0616]	[2.8956E-5, 0.1571]	[6.0004E-8, 0.0349]	[7.2505E-3, 0.24]	[8.1905E-5, 0.1727]	[2.288E-7, 0.0431]	[7.2014E-7, 0.0352]	[2.2383E-7, 0.0405]	[1.7414E-6, 0.0557]	[1.2835E-6, 0.0564]	[2.8889E-5, 0.189]	[0.6667, 0.7042]
geometric mean	n/a	0.7003	7.0033E-3	7.1761E-4	0.1114	0.1193	7.9641E-4	8.0189E-4	6.9161E-4	3.1353E-3	3.8744E-3	0.0172	1.1814E-3	6.2321E-3	0.7661	5.5292E-4	0.0974	0.0778	6.5124E-4	7.1874E-4	6.3419E-4	1.6816E-3	2.4889E-3	0.0172	1.2096E-3	0.0139	0.0206	0.6723	0.0522	0.0467	3.318E-3	5.2064E-3	3.2988E-3	0.0168	0.0118	0.0575	4.9591E-3	8.0518E-3	0.0259	9.541E-4	0.6872	0.0246	1.039E-3	1.1482E-3	9.1742E-4	1.6095E-3	0.0106	0.2094	1.2278E-3	6.4376E-3	0.0285	6.5283E-4	0.0559	0.8508	8.6218E-4	8.8486E-4	6.358E-4	3.7472E-3	2.5743E-3	0.0201	9.5956E-4	4.1092E-3	6.4725E-3	2.688E-3	0.0697	0.1342	0.6715	2.836E-3	2.7404E-3	0.0304	4.2337E-3	0.0221	2.8295E-3	0.0104	0.0356	2.7633E-3	0.1273	0.0224	3.0061E-3	0.6717	2.7094E-3	0.0127	6.4455E-3	0.0283	2.9178E-3	0.0104	0.0311	3.6036E-3	0.0396	0.0419	3.6422E-3	3.7587E-3	0.6731	4.3616E-3	0.0113	0.1154	3.6497E-3	6.4981E-3	0.0539	1.8552E-3	0.0714	0.0767	2.0173E-3	2.3395E-3	1.8614E-3	0.6781	0.0147	0.0138	3.7677E-3	4.0435E-3	0.1027	1.106E-3	0.0625	0.0508	1.3417E-3	1.2636E-3	1.1165E-3	2.3631E-3	0.6752	0.037	1.6429E-3	0.0282	0.0122	6.5777E-4	0.0383	0.1031	7.664E-4	7.1373E-4	6.5164E-4	2.1418E-3	7.9665E-3	0.7803	1.2505E-3	0.0125	0.0474	2.2593E-3	0.0845	0.0537	2.2515E-3	2.3323E-3	2.2313E-3	3.088E-3	5.3464E-3	0.0448	0.6711
95% HPD interval	[-68403.3, -67658.6]	[0.6712, 0.731]	[2.5208E-6, 0.0297]	[3.7507E-7, 3.9336E-3]	[0.0395, 0.182]	[0.071, 0.1744]	[1.4394E-6, 4.3676E-3]	[2.0733E-6, 4.5465E-3]	[1.1734E-8, 3.8389E-3]	[5.5888E-7, 0.0152]	[4.6513E-6, 0.0162]	[1.0989E-5, 0.0796]	[8.2747E-7, 6.5039E-3]	[1.2557E-5, 0.0223]	[0.7119, 0.8736]	[1.5755E-6, 3.3401E-3]	[0.0514, 0.1331]	[0.0232, 0.1343]	[2.7006E-6, 3.4781E-3]	[2.064E-6, 3.495E-3]	[1.6606E-6, 3.2676E-3]	[1.0912E-6, 0.0157]	[5.7194E-6, 0.0112]	[8.7934E-5, 0.0587]	[7.3626E-7, 6.9027E-3]	[1.933E-6, 0.0444]	[4.1583E-5, 0.0762]	[0.6667, 0.6835]	[1.6378E-5, 0.1747]	[3.841E-3, 0.0995]	[7.7093E-7, 0.0174]	[6.2062E-7, 0.033]	[1.202E-7, 0.0171]	[2.8186E-4, 0.0547]	[4.6624E-6, 0.0493]	[2.0282E-4, 0.1472]	[6.3549E-7, 0.0264]	[3.836E-6, 0.0292]	[9.1851E-4, 0.0619]	[2.3409E-7, 5.1394E-3]	[0.6667, 0.7344]	[2.1199E-4, 0.0571]	[6.9375E-7, 5.3795E-3]	[8.5178E-7, 5.9832E-3]	[1.5284E-7, 4.9775E-3]	[3.3342E-8, 8.4309E-3]	[3.2126E-6, 0.0391]	[0.1341, 0.2573]	[5.6414E-7, 6.4298E-3]	[4.1447E-5, 0.0207]	[5.0238E-3, 0.0586]	[1.3818E-6, 3.4335E-3]	[0.0295, 0.0989]	[0.7959, 0.9043]	[3.6673E-7, 4.825E-3]	[9.3339E-9, 5.8149E-3]	[2.4203E-6, 3.3068E-3]	[9.9061E-6, 0.0141]	[4.5633E-6, 0.0137]	[1.6905E-5, 0.0776]	[1.0053E-6, 5.2816E-3]	[3.1375E-6, 0.0215]	[2.8068E-6, 0.0377]	[8.5824E-7, 0.0139]	[0.023, 0.1401]	[0.0768, 0.1967]	[0.6667, 0.6811]	[2.0327E-7, 0.0152]	[5.4772E-7, 0.0142]	[3.9467E-3, 0.0656]	[1.4827E-7, 0.021]	[1.9718E-6, 0.0839]	[9.4724E-7, 0.0148]	[3.8685E-6, 0.0352]	[2.1707E-4, 0.0898]	[2.5301E-6, 0.0141]	[0.0499, 0.2335]	[2.6654E-7, 0.0862]	[4.903E-7, 0.0156]	[0.6667, 0.6817]	[1.7896E-7, 0.014]	[6.7826E-6, 0.0437]	[1.7096E-6, 0.0305]	[4.8841E-6, 0.1085]	[8.7789E-7, 0.0159]	[1.0399E-5, 0.0409]	[1.3606E-4, 0.0921]	[1.8698E-7, 0.0188]	[4.592E-3, 0.0996]	[3.2177E-5, 0.1001]	[8.935E-7, 0.0192]	[2.8138E-6, 0.0193]	[0.6667, 0.6861]	[7.0444E-7, 0.0223]	[1.3228E-5, 0.0458]	[0.0619, 0.1788]	[9.8793E-7, 0.0192]	[4.5827E-6, 0.0311]	[3.8674E-3, 0.1467]	[7.8732E-8, 9.8847E-3]	[2.1668E-3, 0.1831]	[0.023, 0.1517]	[2.1864E-7, 0.0106]	[3.3195E-7, 0.013]	[2.026E-7, 9.9417E-3]	[0.6667, 0.7004]	[2.3166E-6, 0.0579]	[1.8274E-6, 0.0598]	[2.1647E-6, 0.0174]	[2.1993E-6, 0.018]	[0.0613, 0.153]	[3.894E-7, 5.959E-3]	[0.0123, 0.1635]	[8.3137E-5, 0.1334]	[1.6621E-7, 7.2225E-3]	[4.6819E-7, 6.6978E-3]	[3.2825E-7, 5.9689E-3]	[1.7698E-7, 0.0122]	[0.6667, 0.6914]	[1.7741E-5, 0.1002]	[1.7156E-8, 8.2942E-3]	[6.4335E-3, 0.058]	[3.2219E-6, 0.038]	[1.284E-7, 3.4806E-3]	[0.0181, 0.0679]	[0.0506, 0.176]	[1.7509E-6, 4.6605E-3]	[1.6838E-7, 4.5639E-3]	[2.8347E-6, 3.285E-3]	[1.2525E-5, 9.4468E-3]	[8.0697E-6, 0.022]	[0.7291, 0.8306]	[7.8397E-8, 5.8893E-3]	[1.9083E-4, 0.0369]	[7.1068E-4, 0.1105]	[6.0004E-8, 0.0117]	[0.0193, 0.2018]	[4.508E-3, 0.1251]	[2.288E-7, 0.012]	[1.5245E-6, 0.0127]	[2.2383E-7, 0.0119]	[1.7414E-6, 0.0161]	[2.9012E-6, 0.0265]	[2.8889E-5, 0.1194]	[0.6667, 0.6798]
auto-correlation time (ACT)	1.5769E6	4.1718E5	7.326E5	5999.204	1.1155E6	7.8274E5	7906.6444	8064.2743	5376.5972	8.3779E5	3.675E5	1.0342E6	21272.1974	9.0713E5	1.5314E6	9390.592	1.1677E6	1.5848E6	19356.8574	8976.1633	9664.9072	8.6569E5	72361.0846	1.56E6	80235.1178	70264.3769	5.0231E5	1171.8616	2.0062E6	1.4536E5	1405.0352	7.0907E5	1160.8471	4.3518E5	3.1048E5	1.7517E6	67325.2923	1.7417E5	5.78E5	3305.4248	1.8263E6	3.7864E5	4118.4701	5097.2319	2327.9481	23237.149	9.2724E5	1.2839E6	5401.5528	1.5872E5	6.8425E5	9938.4422	8.5494E5	1.6915E6	20500.9148	4.1133E5	7236.389	1.8972E5	2.4793E5	1.4804E6	11186.9996	28919.268	2.8237E5	1595.5919	3.8257E5	3.4612E5	1397.8279	27048.737	1396.8535	2.2234E5	11145.2657	3.512E5	1779.416	81376.5387	4.5505E5	9174.1966	2.2003E6	8.4885E5	62926.4593	3988.9763	5341.9244	5.9988E5	1.43E5	2.0097E6	16503.1165	64434.8661	2.2607E5	1239.8376	7.924E5	8.0119E5	1199.726	1136.7755	1175.7161	27995.9239	4.7676E5	88235.5172	1331.8914	60074.4138	9.8505E5	1389.0089	1.8069E6	1.1303E6	6702.897	1.9567E5	1452.9216	4.282E5	2.668E5	1.1945E5	68303.5011	72164.6836	5.9959E5	1634.535	2.6954E6	2.2459E6	81635.0644	7681.9066	1508.7674	3.6131E5	7.2242E5	1.0033E6	32717.4624	5.6685E5	7.8187E5	9047.1865	8.8823E5	2.4244E6	1.0431E5	32125.2304	9175.2631	61858.4239	1.9511E5	2.4078E6	65629.1253	43497.8325	1.3504E6	1587.0957	2.4156E6	1.1102E6	1565.7395	4701.5794	1426.6237	67027.8394	1.0376E5	9.9572E5	2420.8298
effective sample size (ESS)	5.7	21.6	12.3	1500.2	8.1	11.5	1138.3	1116	1673.9	10.7	24.5	8.7	423.1	9.9	5.9	958.4	7.7	5.7	465	1002.7	931.2	10.4	124.4	5.8	112.2	128.1	17.9	7680.1	4.5	61.9	6405.5	12.7	7753	20.7	29	5.1	133.7	51.7	15.6	2722.8	4.9	23.8	2185.3	1765.7	3866.1	387.3	9.7	7	1666.2	56.7	13.2	905.6	10.5	5.3	439	21.9	1243.7	47.4	36.3	6.1	804.5	311.2	31.9	5640.5	23.5	26	6438.6	332.7	6443.1	40.5	807.5	25.6	5057.8	110.6	19.8	981	4.1	10.6	143	2256.2	1684.8	15	62.9	4.5	545.4	139.7	39.8	7259	11.4	11.2	7501.7	7917.1	7654.9	321.5	18.9	102	6757.3	149.8	9.1	6479.4	5	8	1342.7	46	6194.4	21	33.7	75.3	131.8	124.7	15	5506.2	3.3	4	110.2	1171.6	5965.1	24.9	12.5	9	275.1	15.9	11.5	994.8	10.1	3.7	86.3	280.2	980.9	145.5	46.1	3.7	137.1	206.9	6.7	5670.7	3.7	8.1	5748.1	1914.3	6308.6	134.3	86.7	9	3717.7
