Summary Statistic	LogProb	m[0][0]	m[0][1]	m[0][2]	m[0][3]	m[0][4]	m[0][5]	m[0][6]	m[0][7]	m[0][8]	m[0][9]	m[0][10]	m[0][11]	m[1][0]	m[1][1]	m[1][2]	m[1][3]	m[1][4]	m[1][5]	m[1][6]	m[1][7]	m[1][8]	m[1][9]	m[1][10]	m[1][11]	m[2][0]	m[2][1]	m[2][2]	m[2][3]	m[2][4]	m[2][5]	m[2][6]	m[2][7]	m[2][8]	m[2][9]	m[2][10]	m[2][11]	m[3][0]	m[3][1]	m[3][2]	m[3][3]	m[3][4]	m[3][5]	m[3][6]	m[3][7]	m[3][8]	m[3][9]	m[3][10]	m[3][11]	m[4][0]	m[4][1]	m[4][2]	m[4][3]	m[4][4]	m[4][5]	m[4][6]	m[4][7]	m[4][8]	m[4][9]	m[4][10]	m[4][11]	m[5][0]	m[5][1]	m[5][2]	m[5][3]	m[5][4]	m[5][5]	m[5][6]	m[5][7]	m[5][8]	m[5][9]	m[5][10]	m[5][11]	m[6][0]	m[6][1]	m[6][2]	m[6][3]	m[6][4]	m[6][5]	m[6][6]	m[6][7]	m[6][8]	m[6][9]	m[6][10]	m[6][11]	m[7][0]	m[7][1]	m[7][2]	m[7][3]	m[7][4]	m[7][5]	m[7][6]	m[7][7]	m[7][8]	m[7][9]	m[7][10]	m[7][11]	m[8][0]	m[8][1]	m[8][2]	m[8][3]	m[8][4]	m[8][5]	m[8][6]	m[8][7]	m[8][8]	m[8][9]	m[8][10]	m[8][11]	m[9][0]	m[9][1]	m[9][2]	m[9][3]	m[9][4]	m[9][5]	m[9][6]	m[9][7]	m[9][8]	m[9][9]	m[9][10]	m[9][11]	m[10][0]	m[10][1]	m[10][2]	m[10][3]	m[10][4]	m[10][5]	m[10][6]	m[10][7]	m[10][8]	m[10][9]	m[10][10]	m[10][11]	m[11][0]	m[11][1]	m[11][2]	m[11][3]	m[11][4]	m[11][5]	m[11][6]	m[11][7]	m[11][8]	m[11][9]	m[11][10]	m[11][11]
mean	-37752.3747	0.698	5.9328E-3	3.0965E-3	0.0372	0.2007	3.2423E-3	3.1385E-3	2.9966E-3	5.6237E-3	5.7789E-3	0.0314	2.9921E-3	6.9746E-3	0.6809	2.2694E-3	0.011	0.2573	2.1943E-3	2.3024E-3	2.182E-3	3.5968E-3	4.9112E-3	0.0241	2.2267E-3	9.2876E-3	9.638E-3	0.6735	0.1136	0.1063	6.6987E-3	7.1674E-3	6.6882E-3	0.0142	0.0215	0.0246	6.7848E-3	4.3076E-3	9.2923E-3	2.9234E-3	0.6818	0.1048	2.967E-3	3.0363E-3	2.8187E-3	3.7883E-3	0.017	0.1643	2.8817E-3	4.2231E-3	9.7634E-3	2.4149E-3	0.0242	0.9242	2.2945E-3	2.2195E-3	1.9633E-3	8.4851E-3	5.1418E-3	0.0131	1.9832E-3	0.0127	0.0136	6.9605E-3	0.0243	0.1742	0.6736	6.9441E-3	6.9641E-3	0.0387	9.7765E-3	0.0255	6.8248E-3	9.0049E-3	0.0189	5.3947E-3	0.1196	0.1249	5.4733E-3	0.6721	5.2755E-3	8.5261E-3	6.5168E-3	0.019	5.2503E-3	0.0111	0.0121	0.0103	0.0631	0.0598	0.0105	0.0105	0.6771	0.0106	0.0229	0.1016	0.0104	6.6091E-3	0.0376	4.5225E-3	0.0834	0.1372	4.4055E-3	4.6021E-3	3.9693E-3	0.6793	9.9402E-3	0.0247	3.8811E-3	5.5761E-3	0.0158	3.2824E-3	0.0467	0.1932	3.3811E-3	3.4199E-3	3.1074E-3	4.4927E-3	0.6759	0.0418	3.2917E-3	0.0102	4.9682E-3	2.0443E-3	0.0389	0.1855	1.9438E-3	2.1037E-3	1.8229E-3	3.8768E-3	5.8188E-3	0.7408	1.977E-3	7.0617E-3	0.012	5.9195E-3	0.069	0.1704	5.9391E-3	5.9662E-3	5.8994E-3	5.9379E-3	0.0118	0.0276	0.6726
stderr of mean	20.6651	3.9124E-3	4.3977E-4	5.9446E-5	9.232E-3	0.0149	7.1574E-5	6.548E-5	4.9239E-5	3.1146E-4	3.5166E-4	0.0161	6.0041E-5	7.3042E-4	1.2519E-3	4.247E-5	1.2964E-3	0.0133	3.5464E-5	4.0132E-5	3.1974E-5	1.2968E-4	4.2797E-4	0.0141	3.3368E-5	3.3456E-4	5.2192E-4	8.976E-5	0.0227	0.0191	7.4208E-5	1.1632E-4	7.9066E-5	1.4173E-3	2.9104E-3	8.3873E-3	7.942E-5	9.8779E-5	1.079E-3	4.6142E-5	2.4694E-3	0.0236	5.25E-5	4.6836E-5	4.0045E-5	1.219E-4	3.7869E-3	0.0241	3.8571E-5	4.0263E-4	1.5904E-3	8.2179E-5	3.2511E-3	8.535E-3	7.1892E-5	5.4369E-5	4.2415E-5	9.6913E-4	9.0782E-4	6.4029E-3	5.4872E-5	5.9532E-4	9.8419E-4	7.9311E-5	4.3703E-3	0.0111	7.6649E-5	8.5003E-5	8.3668E-5	1.826E-3	5.6485E-4	7.5208E-3	8.2267E-5	4.9443E-4	3.2178E-3	7.8109E-5	0.0186	0.0182	1.2796E-4	7.1239E-5	8.5796E-5	7.0768E-4	2.1748E-4	4.832E-3	6.7977E-5	1.6256E-4	4.4196E-4	1.1811E-4	6.6964E-3	0.0147	1.1954E-4	1.1652E-4	1.1343E-4	1.1596E-4	2.3923E-3	0.0186	1.1896E-4	3.8555E-4	3.155E-3	1.4792E-4	0.0144	0.0106	8.8087E-5	1.213E-4	5.0796E-5	1.2867E-3	1.0407E-3	5.7989E-3	5.4812E-5	3.1238E-4	2.3982E-3	5.4271E-5	0.012	0.0388	5.6519E-5	5.5335E-5	4.3595E-5	2.7281E-4	2.5964E-3	0.0215	5.0666E-5	1.2411E-3	4.6636E-4	5.2357E-5	0.0109	0.0386	3.7379E-5	7.0041E-5	3.7187E-5	1.5865E-4	2.7542E-4	0.0385	3.689E-5	2.0617E-4	8.8356E-4	7.2508E-5	0.01	9.7247E-3	6.7948E-5	7.8249E-5	6.7643E-5	8.2875E-5	1.6813E-3	7.4637E-3	6.963E-5
stdev	87.7192	0.0183	6.0805E-3	3.0219E-3	0.0277	0.0508	3.2343E-3	3.1778E-3	2.9469E-3	4.6518E-3	5.6269E-3	0.0412	2.9989E-3	6.4812E-3	0.0111	2.2934E-3	8.9556E-3	0.0376	2.2088E-3	2.2427E-3	2.1537E-3	3.4906E-3	4.9432E-3	0.0357	2.2112E-3	8.6513E-3	9.5483E-3	6.7548E-3	0.0486	0.0474	6.562E-3	7.1584E-3	6.6186E-3	0.0124	0.017	0.024	6.6148E-3	4.2935E-3	8.0121E-3	2.9129E-3	0.0157	0.0485	2.9625E-3	2.9762E-3	2.7762E-3	3.7358E-3	0.0135	0.0494	2.8769E-3	4.4475E-3	7.6094E-3	2.319E-3	0.0148	0.027	2.3509E-3	2.1674E-3	1.9229E-3	6.3808E-3	5.5377E-3	0.0171	1.9875E-3	0.0109	0.0126	6.6942E-3	0.0206	0.0386	6.767E-3	6.6985E-3	6.7201E-3	0.0192	9.3812E-3	0.0247	6.7843E-3	8.2344E-3	0.0156	5.2814E-3	0.0492	0.0508	5.2919E-3	5.3667E-3	5.2963E-3	8.1939E-3	6.4572E-3	0.0165	5.1077E-3	0.0109	0.0117	0.01	0.0322	0.0404	0.0103	0.0102	0.0101	0.0103	0.0186	0.0459	0.0102	6.7819E-3	0.0215	4.4119E-3	0.0436	0.0391	4.3279E-3	4.5825E-3	3.9218E-3	0.0107	9.3482E-3	0.0198	3.8497E-3	5.6398E-3	0.0125	3.236E-3	0.0317	0.0791	3.314E-3	3.34E-3	3.0729E-3	4.352E-3	8.8737E-3	0.0467	3.2883E-3	7.9506E-3	4.3114E-3	2.0346E-3	0.025	0.0727	1.9396E-3	2.1338E-3	1.7829E-3	3.5581E-3	4.5169E-3	0.0683	1.9208E-3	6.8129E-3	9.8444E-3	5.7948E-3	0.0296	0.0349	5.7728E-3	5.8609E-3	5.7756E-3	5.893E-3	0.0104	0.0236	5.8416E-3
variance	7694.6581	3.3648E-4	3.6972E-5	9.1317E-6	7.6665E-4	2.5848E-3	1.046E-5	1.0098E-5	8.684E-6	2.164E-5	3.1662E-5	1.6966E-3	8.9937E-6	4.2006E-5	1.227E-4	5.2595E-6	8.0203E-5	1.4125E-3	4.8786E-6	5.0296E-6	4.6384E-6	1.2184E-5	2.4436E-5	1.2766E-3	4.8895E-6	7.4844E-5	9.117E-5	4.5627E-5	2.3667E-3	2.2503E-3	4.3059E-5	5.1243E-5	4.3806E-5	1.5302E-4	2.8987E-4	5.7692E-4	4.3755E-5	1.8434E-5	6.4193E-5	8.4848E-6	2.4521E-4	2.355E-3	8.7765E-6	8.858E-6	7.7072E-6	1.3956E-5	1.8182E-4	2.4448E-3	8.2767E-6	1.978E-5	5.7903E-5	5.3776E-6	2.182E-4	7.3115E-4	5.5266E-6	4.6975E-6	3.6974E-6	4.0715E-5	3.0666E-5	2.9345E-4	3.9501E-6	1.1857E-4	1.5876E-4	4.4813E-5	4.2484E-4	1.4928E-3	4.5792E-5	4.4869E-5	4.516E-5	3.6951E-4	8.8008E-5	6.1118E-4	4.6027E-5	6.7805E-5	2.4428E-4	2.7893E-5	2.4184E-3	2.5802E-3	2.8004E-5	2.8802E-5	2.8051E-5	6.7139E-5	4.1696E-5	2.7281E-4	2.6089E-5	1.1842E-4	1.362E-4	1.0013E-4	1.0366E-3	1.6347E-3	1.0517E-4	1.0362E-4	1.0179E-4	1.0527E-4	3.4618E-4	2.1055E-3	1.0342E-4	4.5995E-5	4.627E-4	1.9465E-5	1.9008E-3	1.5315E-3	1.8731E-5	2.1E-5	1.538E-5	1.1499E-4	8.7388E-5	3.9363E-4	1.4821E-5	3.1808E-5	1.5593E-4	1.0472E-5	1.0019E-3	6.2524E-3	1.0983E-5	1.1155E-5	9.4427E-6	1.894E-5	7.8743E-5	2.1763E-3	1.0813E-5	6.3212E-5	1.8588E-5	4.1396E-6	6.2462E-4	5.2919E-3	3.762E-6	4.5529E-6	3.1788E-6	1.266E-5	2.0402E-5	4.6639E-3	3.6896E-6	4.6415E-5	9.6913E-5	3.358E-5	8.7701E-4	1.2173E-3	3.3325E-5	3.4351E-5	3.3357E-5	3.4727E-5	1.0717E-4	5.5527E-4	3.4124E-5
median	-37746.3	0.6971	3.9799E-3	2.1903E-3	0.0315	0.2125	2.227E-3	2.2062E-3	2.1251E-3	4.4299E-3	4.0282E-3	0.0142	2.0737E-3	4.9839E-3	0.6783	1.5548E-3	8.8451E-3	0.2682	1.5063E-3	1.6298E-3	1.5221E-3	2.5171E-3	3.3459E-3	8.5931E-3	1.5446E-3	6.7561E-3	6.7869E-3	0.6714	0.1101	0.1025	4.6901E-3	4.9574E-3	4.64E-3	0.0111	0.0179	0.017	4.7613E-3	2.9475E-3	7.2431E-3	1.9796E-3	0.6774	0.112	2.0578E-3	2.1252E-3	1.9843E-3	2.6105E-3	0.0139	0.1571	2.0041E-3	2.7187E-3	8.0475E-3	1.745E-3	0.0223	0.9303	1.6167E-3	1.5821E-3	1.3872E-3	7.0111E-3	3.3289E-3	6.1997E-3	1.3655E-3	9.7883E-3	9.8576E-3	4.9392E-3	0.0186	0.1787	0.6716	5.0126E-3	4.9217E-3	0.0358	6.9649E-3	0.0181	4.8009E-3	6.716E-3	0.015	3.7663E-3	0.1172	0.1291	3.9031E-3	0.6704	3.7024E-3	6.0002E-3	4.5204E-3	0.0144	3.7083E-3	7.7597E-3	8.5127E-3	7.2444E-3	0.0589	0.0557	7.2473E-3	7.3246E-3	0.6742	7.4212E-3	0.0184	0.0954	7.2594E-3	4.4447E-3	0.0356	3.2011E-3	0.0749	0.1372	3.0693E-3	3.2193E-3	2.7537E-3	0.6764	7.1619E-3	0.0199	2.6895E-3	3.7711E-3	0.0127	2.2972E-3	0.039	0.2256	2.3619E-3	2.3722E-3	2.1447E-3	3.1874E-3	0.6732	0.0209	2.2412E-3	8.5392E-3	3.8093E-3	1.4368E-3	0.0375	0.21	1.3368E-3	1.4515E-3	1.2424E-3	2.8461E-3	4.798E-3	0.7021	1.422E-3	4.9831E-3	9.718E-3	4.1049E-3	0.066	0.1718	4.2293E-3	4.1609E-3	4.1072E-3	4.1958E-3	8.9165E-3	0.0206	0.6708
value range	[-38090.8, -37486.4]	[0.6667, 0.7695]	[3.2617E-6, 0.0516]	[9.6492E-7, 0.0335]	[8.0653E-6, 0.147]	[0.0172, 0.3106]	[1.0714E-6, 0.0289]	[7.8187E-8, 0.0383]	[1.9095E-7, 0.0312]	[3.3515E-6, 0.0389]	[3.0625E-6, 0.0469]	[2.0139E-6, 0.2505]	[1.5034E-7, 0.0301]	[3.2063E-6, 0.0491]	[0.6667, 0.7388]	[9.0553E-8, 0.0233]	[5.6642E-7, 0.0614]	[0.1021, 0.3191]	[1.3248E-7, 0.0209]	[2.3299E-6, 0.0211]	[1.8616E-7, 0.0201]	[7.0084E-8, 0.0269]	[1.9789E-6, 0.0375]	[2.2966E-6, 0.1647]	[2.7723E-7, 0.0189]	[3.0428E-7, 0.0656]	[3.5111E-6, 0.0839]	[0.6667, 0.7329]	[4.7124E-3, 0.2487]	[8.6905E-3, 0.2439]	[2.1702E-6, 0.0568]	[2.9066E-7, 0.0571]	[1.592E-6, 0.0573]	[5.5631E-7, 0.0903]	[6.4909E-7, 0.1139]	[4.5438E-6, 0.1598]	[7.2144E-9, 0.0559]	[1.153E-6, 0.0451]	[9.4669E-6, 0.067]	[3.979E-7, 0.0291]	[0.6667, 0.8075]	[1.28E-4, 0.2133]	[1.0455E-6, 0.0244]	[7.6156E-8, 0.0278]	[1.5345E-7, 0.0274]	[9.0146E-7, 0.0326]	[4.1175E-6, 0.0811]	[0.0569, 0.3026]	[3.2213E-7, 0.0248]	[2.8579E-6, 0.0359]	[2.6991E-6, 0.0542]	[4.7011E-7, 0.0219]	[1.2854E-4, 0.1096]	[0.7997, 0.9811]	[1.1988E-6, 0.0217]	[7.9631E-8, 0.0198]	[1.323E-6, 0.0188]	[2.4058E-6, 0.0434]	[1.6524E-6, 0.052]	[2.5607E-6, 0.104]	[9.5311E-7, 0.0183]	[3.4105E-7, 0.0848]	[2.2633E-7, 0.089]	[1.0941E-6, 0.0562]	[2.9641E-6, 0.156]	[0.0255, 0.2765]	[0.6667, 0.7265]	[1.729E-6, 0.0632]	[3.5399E-7, 0.0548]	[1.1378E-3, 0.1304]	[1.9918E-6, 0.0843]	[1.4048E-5, 0.1567]	[8.7827E-7, 0.0672]	[1.5703E-6, 0.0653]	[1.8096E-6, 0.12]	[5.085E-7, 0.0446]	[7.6142E-3, 0.2557]	[8.7865E-3, 0.2532]	[4.5625E-6, 0.0455]	[0.6667, 0.7244]	[7.3454E-7, 0.0468]	[1.4162E-7, 0.076]	[3.7439E-7, 0.0586]	[2.925E-7, 0.105]	[1.2671E-6, 0.0445]	[1.3508E-7, 0.1114]	[8.993E-7, 0.0967]	[5.1694E-6, 0.0959]	[2.9701E-4, 0.1908]	[2.0445E-6, 0.2154]	[9.0585E-8, 0.0907]	[2.1304E-6, 0.089]	[0.6667, 0.761]	[8.8389E-7, 0.0899]	[2.4481E-6, 0.1208]	[3.5104E-3, 0.2698]	[9.9209E-8, 0.0921]	[3.8794E-7, 0.0559]	[4.7346E-5, 0.1424]	[5.1352E-8, 0.0429]	[2.4422E-3, 0.2277]	[0.0274, 0.2623]	[3.8422E-8, 0.0374]	[2.9302E-9, 0.0452]	[8.7037E-7, 0.0324]	[0.6667, 0.7422]	[1.4654E-6, 0.0717]	[5.1245E-6, 0.1261]	[1.3282E-7, 0.0383]	[6.1207E-8, 0.0376]	[4.8545E-6, 0.0814]	[7.9709E-8, 0.0312]	[1.3213E-5, 0.1728]	[1.8744E-5, 0.3001]	[1.273E-7, 0.027]	[5.2607E-7, 0.0294]	[1.0323E-6, 0.0328]	[2.768E-8, 0.036]	[0.6667, 0.745]	[2.8042E-6, 0.233]	[7.2027E-8, 0.0326]	[1.3186E-5, 0.0573]	[1.4783E-6, 0.038]	[4.8391E-7, 0.0184]	[9.7469E-5, 0.1242]	[0.0117, 0.3037]	[9.7452E-8, 0.0186]	[1.1186E-6, 0.019]	[1.0365E-6, 0.0149]	[9.0998E-8, 0.0274]	[1.4261E-5, 0.0372]	[0.6667, 0.9069]	[4.4165E-7, 0.0168]	[1.7715E-7, 0.0607]	[2.155E-6, 0.0826]	[1.789E-7, 0.0474]	[3.9717E-3, 0.2179]	[0.0461, 0.2805]	[6.474E-7, 0.0507]	[4.4684E-7, 0.0419]	[2.8789E-6, 0.0537]	[1.0909E-7, 0.05]	[3.8943E-7, 0.0718]	[3.8765E-6, 0.1323]	[0.6667, 0.7239]
geometric mean	n/a	0.6977	3.3084E-3	1.7737E-3	0.0248	0.1919	1.8072E-3	1.7848E-3	1.6799E-3	3.6685E-3	3.2902E-3	0.0138	1.6768E-3	4.0978E-3	0.6808	1.2571E-3	6.8968E-3	0.254	1.2222E-3	1.3171E-3	1.2072E-3	2.0467E-3	2.7475E-3	8.5513E-3	1.2471E-3	5.4577E-3	5.4861E-3	0.6735	0.1019	0.0943	3.8208E-3	4.0062E-3	3.7945E-3	8.615E-3	0.0139	0.0142	3.8477E-3	2.4114E-3	5.8261E-3	1.6481E-3	0.6817	0.087	1.6484E-3	1.7243E-3	1.5878E-3	2.1323E-3	0.0111	0.1569	1.6075E-3	2.2203E-3	6.5107E-3	1.358E-3	0.0193	0.9238	1.2317E-3	1.2382E-3	1.1339E-3	5.9575E-3	2.7427E-3	5.832E-3	1.0995E-3	7.8797E-3	7.9825E-3	3.9864E-3	0.0151	0.169	0.6736	3.974E-3	4.0026E-3	0.0339	5.6088E-3	0.0148	3.8284E-3	5.3928E-3	0.0122	3.0591E-3	0.108	0.1126	3.1479E-3	0.6721	2.9477E-3	4.8378E-3	3.6672E-3	0.0118	2.9848E-3	6.3281E-3	6.8334E-3	5.9137E-3	0.0539	0.0404	5.9893E-3	5.8314E-3	0.677	6.0249E-3	0.0146	0.0905	5.8785E-3	3.7095E-3	0.0299	2.5578E-3	0.0716	0.1311	2.538E-3	2.6044E-3	2.2313E-3	0.6792	5.7116E-3	0.0164	2.1517E-3	3.0992E-3	0.0103	1.8518E-3	0.0359	0.1551	1.9097E-3	1.9486E-3	1.7861E-3	2.565E-3	0.6759	0.0203	1.823E-3	6.9233E-3	3.0226E-3	1.1295E-3	0.0278	0.1633	1.09E-3	1.175E-3	1.0528E-3	2.2948E-3	3.9953E-3	0.7377	1.1307E-3	4.075E-3	7.7746E-3	3.3524E-3	0.0626	0.1665	3.418E-3	3.3874E-3	3.3525E-3	3.3312E-3	7.0818E-3	0.0166	0.6725
95% HPD interval	[-37925.4, -37590.4]	[0.6667, 0.73]	[3.2617E-6, 0.0182]	[9.6492E-7, 9.0956E-3]	[8.0653E-6, 0.0897]	[0.0879, 0.2771]	[1.0714E-6, 9.6193E-3]	[7.8187E-8, 9.3786E-3]	[7.787E-7, 8.8812E-3]	[3.3515E-6, 0.0148]	[3.0625E-6, 0.0175]	[2.0139E-6, 0.1347]	[1.5034E-7, 9.0776E-3]	[3.2063E-6, 0.02]	[0.6667, 0.7026]	[9.0553E-8, 6.8131E-3]	[5.6642E-7, 0.0286]	[0.1607, 0.3077]	[4.7902E-7, 6.5213E-3]	[2.3299E-6, 6.9156E-3]	[1.8616E-7, 6.4084E-3]	[7.0084E-8, 0.0106]	[1.9789E-6, 0.0154]	[3.7916E-6, 0.1132]	[4.4494E-7, 6.6276E-3]	[3.522E-7, 0.0266]	[5.2413E-6, 0.0288]	[0.6667, 0.6873]	[0.0321, 0.2029]	[0.0273, 0.1972]	[2.1702E-6, 0.0201]	[2.9066E-7, 0.0213]	[1.592E-6, 0.0197]	[5.5631E-7, 0.0385]	[4.4484E-6, 0.0541]	[9.6409E-6, 0.0722]	[7.2144E-9, 0.02]	[1.153E-6, 0.013]	[9.4669E-6, 0.0252]	[3.979E-7, 8.8228E-3]	[0.6667, 0.7103]	[7.8289E-3, 0.1781]	[1.0455E-6, 8.9983E-3]	[7.6156E-8, 8.9389E-3]	[1.5345E-7, 8.3386E-3]	[9.0146E-7, 0.0113]	[9.7291E-6, 0.0443]	[0.0848, 0.2619]	[3.2213E-7, 8.6742E-3]	[2.8579E-6, 0.0134]	[2.6991E-6, 0.0244]	[4.7011E-7, 7.0208E-3]	[6.6197E-4, 0.0529]	[0.8598, 0.966]	[1.1988E-6, 7.1579E-3]	[3.1753E-7, 6.4327E-3]	[1.323E-6, 5.8238E-3]	[2.4058E-6, 0.0212]	[1.6524E-6, 0.0162]	[2.5607E-6, 0.053]	[9.5311E-7, 6.0207E-3]	[3.4105E-7, 0.0337]	[2.2633E-7, 0.0394]	[1.0941E-6, 0.0203]	[2.9641E-6, 0.0656]	[0.0855, 0.2384]	[0.6667, 0.6875]	[1.729E-6, 0.0203]	[3.5399E-7, 0.0203]	[6.876E-3, 0.0769]	[1.9918E-6, 0.0284]	[1.4706E-5, 0.0763]	[8.7827E-7, 0.0203]	[1.5703E-6, 0.0252]	[1.8096E-6, 0.0491]	[5.085E-7, 0.0159]	[0.0304, 0.2167]	[0.032, 0.2146]	[4.5625E-6, 0.0161]	[0.6667, 0.6828]	[7.3454E-7, 0.0162]	[1.4162E-7, 0.025]	[4.5381E-7, 0.0195]	[1.0206E-5, 0.0536]	[1.2671E-6, 0.0154]	[1.3508E-7, 0.0328]	[4.9057E-6, 0.0356]	[5.1694E-6, 0.0305]	[9.6181E-3, 0.1265]	[2.0445E-6, 0.1301]	[9.0585E-8, 0.0309]	[2.1304E-6, 0.0308]	[0.6667, 0.6979]	[8.8389E-7, 0.0312]	[2.4481E-6, 0.0592]	[0.0248, 0.1929]	[9.9209E-8, 0.0307]	[3.8794E-7, 0.0203]	[2.2784E-4, 0.077]	[5.1352E-8, 0.0134]	[9.2651E-3, 0.1681]	[0.0639, 0.2099]	[3.8422E-8, 0.0132]	[2.9302E-9, 0.0136]	[8.7037E-7, 0.0117]	[0.6667, 0.7011]	[1.4654E-6, 0.0284]	[5.1245E-6, 0.0649]	[1.3282E-7, 0.0117]	[6.1207E-8, 0.017]	[4.8545E-6, 0.0404]	[7.9709E-8, 9.6893E-3]	[3.5217E-4, 0.1128]	[0.0119, 0.2815]	[1.273E-7, 0.01]	[5.2607E-7, 0.0101]	[1.0323E-6, 9.3328E-3]	[2.768E-8, 0.0133]	[0.6667, 0.6939]	[2.8042E-6, 0.1441]	[7.2027E-8, 9.8665E-3]	[3.2162E-5, 0.0252]	[1.4783E-6, 0.0136]	[4.8391E-7, 6.1026E-3]	[9.7469E-5, 0.0819]	[0.035, 0.2766]	[9.7452E-8, 5.7982E-3]	[1.131E-6, 6.398E-3]	[1.0365E-6, 5.401E-3]	[4.4256E-7, 0.0111]	[1.4261E-5, 0.0147]	[0.6667, 0.858]	[4.4165E-7, 5.8738E-3]	[1.7715E-7, 0.0208]	[7.5653E-6, 0.0314]	[1.789E-7, 0.0176]	[0.0207, 0.1238]	[0.1, 0.2379]	[6.474E-7, 0.0176]	[4.4684E-7, 0.0178]	[2.8789E-6, 0.0174]	[1.0909E-7, 0.0177]	[1.3348E-6, 0.0327]	[3.8765E-6, 0.0744]	[0.6667, 0.6843]
auto-correlation time (ACT)	4.9955E5	4.0945E5	47083.4684	3483.1917	1.0006E6	7.6967E5	4408.0653	3821.7577	2513.0197	40350.745	35154.406	1.3789E6	3607.8923	1.1432E5	1.1496E5	3086.8239	1.8861E5	1.1209E6	2320.378	2882.3501	1983.8475	12422.2813	67466.5884	1.4068E6	2049.7	13461.2525	26893.3131	1589.4046	1.9531E6	1.4662E6	1151.1184	2376.7145	1284.5016	1.1816E5	2.6302E5	1.0975E6	1297.5473	4764.3045	1.6324E5	2258.641	2.2384E5	2.1239E6	2826.7194	2229.0134	1872.8468	9584.0682	7.0993E5	2.1449E6	1617.9372	73768.6113	3.9319E5	11303.7872	4.3601E5	8.9679E5	8417.7265	5664.0366	4379.6917	2.0764E5	2.419E5	1.2575E6	6860.9287	26903.4429	54917.484	1263.4379	4.0466E5	7.4526E5	1154.8107	1449.4822	1395.2662	81219.5426	32631.6485	8.3301E5	1323.5196	32452.3774	3.8152E5	1968.7938	1.2889E6	1.16E6	5263.2525	1586.0153	2362.0299	67140.1174	10210.3122	7.7034E5	1594.267	2008.6475	12908.7334	1254.1178	3.8937E5	1.1935E6	1222.9818	1179.4772	1137.6402	1149.6866	1.4881E5	1.4833E6	1231.6492	29090.5962	1.9364E5	10118.3068	9.8316E5	6.6609E5	3728.6687	6306.2092	1510.0123	1.296E5	1.1156E5	7.6894E5	1824.6706	27614.3587	3.32E5	2531.6419	1.3002E6	2.1642E6	2618.0256	2470.6348	1811.63	35370.9446	7.7057E5	1.9089E6	2136.8626	2.1935E5	1.0532E5	5960.4663	1.699E6	2.5343E6	3342.8775	9698.4647	3915.7874	17895.5705	33466.6846	2.8658E6	3320.013	8243.2547	72507.5345	1409.2582	1.03E6	6.9925E5	1247.0073	1604.3935	1234.6617	1780.1775	2.374E5	9.0302E5	1278.8686
effective sample size (ESS)	18	22	191.1	2583.8	9	11.7	2041.7	2354.9	3581.3	223	256	6.5	2494.5	78.7	78.3	2915.6	47.7	8	3878.7	3122.5	4536.6	724.5	133.4	6.4	4390.9	668.6	334.7	5662.5	4.6	6.1	7818.5	3786.7	7006.6	76.2	34.2	8.2	6936.2	1889	55.1	3984.7	40.2	4.2	3183.9	4037.7	4805.5	939.1	12.7	4.2	5562.6	122	22.9	796.2	20.6	10	1069.2	1589	2054.9	43.3	37.2	7.2	1311.8	334.5	163.9	7123.4	22.2	12.1	7793.5	6209.1	6450.4	110.8	275.8	10.8	6800.1	277.3	23.6	4571.3	7	7.8	1710	5674.6	3810.3	134	881.5	11.7	5645.2	4480.6	697.2	7176.4	23.1	7.5	7359.1	7630.5	7911.1	7828.2	60.5	6.1	7307.3	309.4	46.5	889.5	9.2	13.5	2413.7	1427.2	5960.2	69.4	80.7	11.7	4932.4	325.9	27.1	3555	6.9	4.2	3437.7	3642.8	4967.9	254.4	11.7	4.7	4211.8	41	85.5	1509.9	5.3	3.6	2692.3	928	2298.4	502.9	268.9	3.1	2710.8	1091.8	124.1	6386.3	8.7	12.9	7217.3	5609.6	7289.4	5055.7	37.9	10	7037.5
