31/10/2022 16:02:54 :
        Data file: C:\Users\rchen2\Documents\Black Grouse PhD\GitHub\blackgrouse-hunting\data\cleandata\Microsat.females.noLOCUS1+13.fstat.dat
        Used loci:  Loc_1 Loc_2 Loc_3 Loc_4 Loc_5 Loc_7 Loc_8 Loc_9 Loc_10 Loc_11
        Detection of first generation migrants
        Likelihood ratio L_home / L_max
        Criterion: Rannala & Mountain (1997)
        Number of simulated individuals: 1000
        Simulation algorithm: Paetkau et al. (2004)
        Threshold (p-value): 0.01
        Starting computation
31/10/2022 16:02:54 - 13 individuals with a probability below 0.01
31/10/2022 16:02:55 - Computation terminated. Duration: 13341.390 s
;;;;1;2;3;4;5;6;7;8;9;10;11;12;Nb. of loci;Used loci;Missing loci
Assigned sample;home;-log(L_home / L_max);probability;'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);;;
1/;1;0.000;0.824;11.442;12.759;12.763;11.474;11.574;12.189;13.225;14.394;12.267;12.084;11.482;12.374;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.827;0.234;13.278;13.302;14.612;13.166;12.549;12.451;14.614;14.186;16.092;14.205;12.461;13.980;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.406;0.428;11.128;11.260;12.055;10.998;11.585;12.159;13.199;11.341;10.734;10.722;11.071;12.338;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.469;0.393;10.427;10.294;14.244;10.899;11.197;11.629;11.619;9.958;11.423;10.792;11.185;10.223;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.652;0.305;11.306;11.431;14.947;10.654;12.059;11.231;13.828;12.132;13.663;11.453;11.942;12.504;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.684;0.289;10.733;10.834;12.826;10.416;10.596;11.255;14.186;10.699;11.073;10.288;10.049;11.700;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.826;10.672;10.982;12.089;11.330;11.462;12.206;12.860;11.645;11.484;11.089;11.427;11.550;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.826;9.982;10.639;12.565;10.819;10.637;11.312;13.139;11.774;11.176;10.389;10.531;10.132;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.491;0.388;9.913;10.037;12.629;9.958;10.251;10.706;13.111;10.450;10.529;9.908;9.422;11.436;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.211;0.535;12.942;13.766;15.388;13.320;12.949;14.235;17.944;15.840;14.088;13.718;12.731;13.164;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.829;12.063;14.950;16.127;15.793;15.079;14.352;17.276;13.726;16.256;15.059;14.502;14.320;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.464;0.393;15.422;15.206;16.606;16.823;14.958;15.164;16.195;18.624;15.745;17.131;15.200;16.828;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.827;11.612;12.186;16.639;11.989;12.045;11.873;12.494;14.014;14.217;11.850;12.017;11.722;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.078;0.150;13.269;13.168;12.908;12.976;13.205;12.887;12.849;12.191;12.999;12.647;13.405;12.744;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.825;10.807;11.636;13.798;11.271;11.005;11.912;16.120;11.367;14.945;11.128;11.012;11.511;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.050;0.626;10.892;11.607;14.023;11.355;10.942;11.703;14.143;13.019;12.954;11.220;10.842;13.330;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.221;0.532;12.627;13.601;18.000;14.473;12.407;13.787;15.879;16.223;17.307;15.307;13.381;14.438;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.654;0.311;11.438;11.677;12.280;11.108;10.785;11.505;13.755;13.021;11.077;12.838;11.306;12.491;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.612;0.331;12.450;11.839;15.711;13.089;12.860;13.441;17.044;16.034;13.330;12.798;12.476;15.629;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.823;12.960;14.917;15.811;14.965;14.762;14.261;16.293;15.686;14.245;13.844;13.583;16.117;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.933;0.197;12.440;12.463;16.968;11.912;11.902;11.755;14.865;14.734;15.267;11.543;11.508;12.313;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;2.214;0.020;12.969;11.987;16.307;12.458;12.074;12.894;16.196;10.754;12.924;12.336;11.976;15.031;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.482;0.393;11.884;12.944;14.485;11.755;11.812;11.403;16.022;13.661;15.529;12.661;12.703;12.460;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.895;0.208;12.459;13.135;14.983;12.799;11.563;14.163;13.231;13.555;14.273;12.777;13.343;12.116;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.068;0.159;16.416;15.348;17.328;16.361;17.778;18.870;19.535;17.743;17.187;17.167;16.517;18.768;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.357;0.454;10.755;11.097;12.509;10.893;10.398;12.450;11.697;11.821;12.939;11.290;11.355;11.445;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.406;0.428;10.257;10.221;11.107;9.850;10.039;10.563;10.743;11.932;11.661;10.179;10.254;9.993;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
