20/10/2022 17:11:11 :
        Data file: C:\Users\rchen2\Documents\Black Grouse PhD\GitHub\blackgrouse-hunting\data\cleandata\Microsat.adults.noLOCUS1+13.fstat.dat
        Used loci:  Loc_1 Loc_2 Loc_3 Loc_4 Loc_5 Loc_6 Loc_8 Loc_9 Loc_10 Loc_11 Loc_12
        Detection of first generation migrants
        Likelihood ratio L_home / L_max
        Criterion: Rannala & Mountain (1997)
        Number of simulated individuals: 1000
        Simulation algorithm: Paetkau et al. (2004)
        Threshold (p-value): 0.01
        Starting computation
20/10/2022 17:11:11 - 27 individuals with a probability below 0.01
20/10/2022 17:11:13 - Computation terminated. Duration: 20804.360 s
;;;;1;2;3;4;5;6;7;8;9;10;11;12;Nb. of loci;Used loci;Missing loci
Assigned sample;home;-log(L_home / L_max);probability;'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);;;
1/;1;0.118;0.544;13.293;13.710;13.176;14.754;14.093;15.843;14.712;13.808;14.408;13.198;13.730;15.076;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.801;13.497;13.855;15.098;14.801;14.404;13.604;16.094;14.648;14.751;14.520;13.532;14.525;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.116;0.554;11.869;11.753;12.430;11.769;13.267;14.206;12.706;11.838;13.017;12.408;12.553;13.028;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.118;0.559;10.705;11.299;11.806;11.070;11.524;12.214;12.397;10.604;12.210;11.028;10.588;11.864;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.922;0.184;13.682;13.754;14.634;12.760;13.815;14.156;14.307;13.246;15.289;13.180;13.159;14.037;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.778;0.233;13.889;13.322;13.426;14.694;13.688;13.551;14.080;15.831;13.810;14.479;13.111;13.212;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.807;15.098;15.596;16.825;16.963;16.574;17.120;16.627;16.131;15.916;16.385;16.833;16.140;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.378;0.414;13.554;13.175;14.352;13.720;13.276;15.837;15.677;16.032;14.373;13.642;14.231;14.295;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.524;0.338;11.040;11.077;12.475;10.734;10.868;10.779;11.370;10.575;10.985;11.636;10.516;11.484;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.806;12.705;13.602;14.598;13.112;13.744;13.350;15.582;13.527;14.220;13.847;13.591;14.695;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.000;0.819;9.681;10.848;10.443;10.813;10.689;10.498;11.107;11.349;10.560;10.811;10.828;10.033;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_9  Loc_10  Loc_11  Loc_12  ; Loc_8  
1/;1;0.179;0.516;15.364;17.489;16.035;15.185;18.244;19.923;15.850;17.123;17.430;16.579;15.987;16.269;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.118;0.537;13.483;13.780;14.725;14.371;13.443;13.365;14.261;13.869;14.296;13.374;14.187;13.903;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.895;0.190;16.410;15.515;15.828;16.851;16.778;18.031;18.067;19.817;16.472;16.879;16.421;17.023;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.038;0.583;12.992;13.739;13.708;14.102;12.953;15.639;13.655;14.322;14.316;13.624;13.761;14.559;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.578;0.314;14.039;13.661;15.449;14.687;13.952;15.198;14.951;14.376;14.371;13.461;14.065;14.906;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
1/;1;0.243;0.495;14.550;15.145;16.806;14.307;16.850;16.663;14.786;15.309;16.203;16.319;14.371;14.838;11 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_6  Loc_8  Loc_9  Loc_10  Loc_11  Loc_12  ; 
