31/10/2022 11:55:57 :
        Data file: C:\Users\rchen2\Documents\Black Grouse PhD\GitHub\blackgrouse-hunting\data\cleandata\Microsat.males.noLOCUS1+13.fstat.dat
        Used loci:  Loc_1 Loc_2 Loc_3 Loc_4 Loc_5 Loc_7 Loc_8 Loc_9 Loc_10 Loc_11
        Detection of first generation migrants
        Likelihood ratio L_home / L_max
        Criterion: Rannala & Mountain (1997)
        Number of simulated individuals: 1000
        Simulation algorithm: Paetkau et al. (2004)
        Threshold (p-value): 0.01
        Starting computation
31/10/2022 11:55:57 - 19 individuals with a probability below 0.01
31/10/2022 11:55:59 - Computation terminated. Duration: 7459.875 s
;;;;1;2;3;4;5;6;7;8;9;10;11;12;Nb. of loci;Used loci;Missing loci
Assigned sample;home;-log(L_home / L_max);probability;'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);'-log(L);;;
1/;1;0.277;0.306;11.757;12.102;11.480;12.788;13.120;15.196;12.928;12.846;12.886;11.546;12.466;13.305;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.287;0.321;12.156;12.414;13.662;13.261;13.164;11.869;14.573;14.195;13.448;13.011;12.375;13.296;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.407;0.269;10.914;10.539;11.526;10.506;12.297;15.406;11.643;11.505;12.250;11.855;11.782;11.951;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.706;9.054;10.075;10.221;9.998;10.165;12.193;10.668;10.984;10.894;9.891;9.546;10.182;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.296;0.082;13.129;12.647;13.821;11.833;12.930;13.233;13.247;11.945;14.642;12.494;11.932;13.178;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.307;0.080;12.035;11.921;11.041;11.016;11.320;12.108;11.573;12.696;12.003;11.573;10.728;10.876;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.000;0.712;12.947;14.258;16.011;15.508;15.125;16.692;14.602;14.615;14.823;14.962;15.692;14.252;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;1.574;0.059;12.765;11.626;12.995;11.806;11.191;11.892;13.903;14.357;12.834;11.340;12.806;13.207;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
1/;1;0.764;0.175;10.047;10.169;11.700;9.894;9.483;10.336;10.280;10.178;10.129;10.760;9.284;10.651;10 ; Loc_1  Loc_2  Loc_3  Loc_4  Loc_5  Loc_7  Loc_8  Loc_9  Loc_10  Loc_11  ; 
