"pop_in","Koskenpää","Kummunsuo","Lauttasuo","Lehtusuo","Nyrölä","Palosuo","Pihtissuo","Pirttilampi","Pirttisuo","Saarisuo","Teerisuo","Utusuo"
"Koskenpää",0.7005,0.0111,0.0013,0.1194,0.1223,0.0014,0.0015,0.0013,0.0055,0.0062,0.0275,0.0021
"Kummunsuo",0.009,0.7673,0.0011,0.0999,0.0846,0.0012,0.0012,0.0011,0.0039,0.0041,0.0244,0.0022
"Lauttasuo",0.0192,0.031,0.6723,0.0777,0.0543,0.0058,0.0101,0.0058,0.0225,0.0186,0.0737,0.0089
"Lehtusuo",0.0118,0.0304,0.0017,0.6875,0.0301,0.0018,0.002,0.0016,0.0029,0.0159,0.2121,0.0022
"Nyrölä",0.0088,0.0328,0.0011,0.0585,0.8513,0.0016,0.0018,0.0011,0.0057,0.0046,0.0309,0.0017
"Palosuo",0.0072,0.0119,0.0047,0.0774,0.1377,0.6715,0.0051,0.0047,0.0348,0.0073,0.0327,0.005
"Pihtissuo",0.0148,0.0438,0.0048,0.1373,0.035,0.0053,0.6717,0.0048,0.0191,0.0108,0.0474,0.0053
"Pirttilampi",0.0159,0.0412,0.0064,0.0474,0.0521,0.0064,0.0065,0.6732,0.0076,0.0175,0.1194,0.0065
"Pirttisuo",0.0108,0.0683,0.0033,0.0926,0.085,0.0036,0.0042,0.0033,0.6782,0.022,0.0224,0.0062
"Saarisuo",0.0066,0.1055,0.002,0.0787,0.0703,0.0024,0.0022,0.002,0.0041,0.6753,0.048,0.0029
"Teerisuo",0.0315,0.0166,0.0012,0.0405,0.1095,0.0014,0.0014,0.0011,0.0034,0.0103,0.7809,0.0021
"Utusuo",0.0163,0.0589,0.004,0.0994,0.0647,0.004,0.0042,0.004,0.0054,0.0092,0.0589,0.6711
