"pop_in","Koskenpää","Kummunsuo","Lauttasuo","Lehtusuo","Nyrölä","Palosuo","Pihtissuo","Pirttilampi","Pirttisuo","Saarisuo","Teerisuo","Utusuo"
"Koskenpää",0.0122,0.008,0.0013,0.0152,0.0457,0.0025,0.0013,0.0013,0.0068,0.0042,0.0351,0.0013
"Kummunsuo",0.0041,0.0471,0.0011,0.011,0.0359,0.0016,0.0011,0.0011,0.003,0.0106,0.0132,0.0011
"Lauttasuo",0.0149,0.0218,0.0056,0.0264,0.0275,0.0059,0.006,0.0057,0.0318,0.0197,0.0149,0.0056
"Lehtusuo",0.0078,0.0202,0.0017,0.0177,0.0202,0.0019,0.0017,0.0017,0.0084,0.0124,0.0252,0.0017
"Nyrölä",0.0053,0.0147,0.0011,0.0125,0.027,0.0046,0.0012,0.0011,0.0055,0.003,0.0278,0.0012
"Palosuo",0.0085,0.0252,0.0047,0.0165,0.0268,0.0059,0.0047,0.0047,0.0279,0.0091,0.0135,0.0046
"Pihtissuo",0.0118,0.022,0.0045,0.0274,0.0223,0.0047,0.0045,0.0045,0.0272,0.008,0.007,0.0043
"Pirttilampi",0.0119,0.0305,0.0063,0.0271,0.0326,0.0061,0.0062,0.0062,0.0081,0.0169,0.0213,0.0062
"Pirttisuo",0.0121,0.0263,0.0032,0.0246,0.0275,0.0076,0.0034,0.0032,0.0183,0.0198,0.0111,0.0033
"Saarisuo",0.005,0.0248,0.002,0.018,0.0181,0.0026,0.002,0.0019,0.0045,0.0067,0.0215,0.002
"Teerisuo",0.0107,0.0081,0.0011,0.0117,0.0293,0.0019,0.0011,0.001,0.0049,0.0092,0.0233,0.0011
"Utusuo",0.0095,0.0275,0.004,0.016,0.022,0.0041,0.004,0.0039,0.0065,0.0066,0.0128,0.0039
