Summary Statistic	LogProb	m[0][0]	m[0][1]	m[0][2]	m[0][3]	m[0][4]	m[0][5]	m[0][6]	m[0][7]	m[0][8]	m[0][9]	m[0][10]	m[0][11]	m[1][0]	m[1][1]	m[1][2]	m[1][3]	m[1][4]	m[1][5]	m[1][6]	m[1][7]	m[1][8]	m[1][9]	m[1][10]	m[1][11]	m[2][0]	m[2][1]	m[2][2]	m[2][3]	m[2][4]	m[2][5]	m[2][6]	m[2][7]	m[2][8]	m[2][9]	m[2][10]	m[2][11]	m[3][0]	m[3][1]	m[3][2]	m[3][3]	m[3][4]	m[3][5]	m[3][6]	m[3][7]	m[3][8]	m[3][9]	m[3][10]	m[3][11]	m[4][0]	m[4][1]	m[4][2]	m[4][3]	m[4][4]	m[4][5]	m[4][6]	m[4][7]	m[4][8]	m[4][9]	m[4][10]	m[4][11]	m[5][0]	m[5][1]	m[5][2]	m[5][3]	m[5][4]	m[5][5]	m[5][6]	m[5][7]	m[5][8]	m[5][9]	m[5][10]	m[5][11]	m[6][0]	m[6][1]	m[6][2]	m[6][3]	m[6][4]	m[6][5]	m[6][6]	m[6][7]	m[6][8]	m[6][9]	m[6][10]	m[6][11]	m[7][0]	m[7][1]	m[7][2]	m[7][3]	m[7][4]	m[7][5]	m[7][6]	m[7][7]	m[7][8]	m[7][9]	m[7][10]	m[7][11]	m[8][0]	m[8][1]	m[8][2]	m[8][3]	m[8][4]	m[8][5]	m[8][6]	m[8][7]	m[8][8]	m[8][9]	m[8][10]	m[8][11]	m[9][0]	m[9][1]	m[9][2]	m[9][3]	m[9][4]	m[9][5]	m[9][6]	m[9][7]	m[9][8]	m[9][9]	m[9][10]	m[9][11]	m[10][0]	m[10][1]	m[10][2]	m[10][3]	m[10][4]	m[10][5]	m[10][6]	m[10][7]	m[10][8]	m[10][9]	m[10][10]	m[10][11]	m[11][0]	m[11][1]	m[11][2]	m[11][3]	m[11][4]	m[11][5]	m[11][6]	m[11][7]	m[11][8]	m[11][9]	m[11][10]	m[11][11]
mean	-29282.8608	0.672	0.0262	2.251E-3	0.0126	0.0148	2.2468E-3	2.2672E-3	2.2937E-3	2.2565E-3	3.7356E-3	0.257	2.455E-3	5.4324E-3	0.6803	2.0067E-3	0.0332	8.6672E-3	2.0348E-3	1.9403E-3	2.0069E-3	1.9792E-3	0.0187	0.2414	2.3078E-3	0.0215	0.0435	0.6836	0.023	0.0356	0.0167	0.017	0.0166	0.0165	0.023	0.0866	0.0165	8.2078E-3	0.0213	3.2989E-3	0.6723	0.0103	3.3713E-3	3.3537E-3	3.3047E-3	3.3837E-3	9.326E-3	0.2584	3.5554E-3	0.0202	9.5436E-3	2.5154E-3	7.1005E-3	0.6724	2.6176E-3	2.5539E-3	2.5097E-3	2.5584E-3	5.4785E-3	0.2696	2.8826E-3	0.0142	0.0386	9.7443E-3	0.0238	0.0275	0.6766	9.6736E-3	9.6935E-3	9.7182E-3	0.0109	0.1599	9.7107E-3	0.0173	0.0271	0.0156	0.0435	0.0564	0.0155	0.6826	0.0158	0.0156	0.0211	0.0735	0.0159	0.0242	0.0366	0.0106	0.0192	0.0255	0.0106	0.0104	0.6773	0.0104	0.0154	0.1495	0.0104	0.0141	0.0693	0.012	0.0195	0.0183	0.0122	0.0121	0.0119	0.6786	0.0149	0.125	0.0121	0.0127	0.0264	4.3786E-3	0.0252	0.0115	4.4341E-3	4.4546E-3	4.4803E-3	4.4161E-3	0.6728	0.2239	5.334E-3	0.0273	0.0363	2.4982E-3	0.026	0.0164	2.5483E-3	2.5805E-3	2.4403E-3	2.5265E-3	9.09E-3	0.8696	2.6841E-3	0.0185	0.0395	8.9841E-3	0.0202	0.0463	8.836E-3	8.6647E-3	8.7357E-3	8.9454E-3	0.0121	0.1436	0.6756
stderr of mean	45.0478	5.151E-4	0.0131	3.4731E-5	5.1888E-3	3.4743E-3	3.36E-5	3.5286E-5	3.9749E-5	3.5749E-5	2.9412E-4	0.0224	7.37E-5	7.1661E-4	8.4003E-3	5.0897E-5	0.017	1.556E-3	5.5343E-5	3.2559E-5	4.0769E-5	3.9235E-5	8.2542E-3	0.035	1.7652E-4	7.2768E-4	5.5111E-3	1.7072E-4	2.456E-3	7.4549E-4	1.8087E-4	1.8584E-4	1.7202E-4	1.8372E-4	3.0258E-3	0.0115	1.7655E-4	1.3122E-3	7.7822E-3	5.6538E-5	1.0556E-3	9.9111E-4	6.4922E-5	5.9553E-5	6.1862E-5	6.4709E-5	2.352E-3	0.0125	7.2316E-5	6.2776E-3	2.0725E-3	3.8157E-5	1.8696E-3	3.5506E-4	4.4952E-5	4.8295E-5	3.9927E-5	4.5341E-5	6.8685E-4	0.0109	6.7464E-5	6.8912E-4	8.9891E-3	1.3728E-4	3.714E-3	2.513E-3	1.283E-4	1.1184E-4	1.2008E-4	1.2199E-4	6.4996E-4	0.0134	1.326E-4	2.1267E-4	1.3363E-3	1.7561E-4	6.7426E-3	2.9001E-3	1.6141E-4	1.7076E-4	1.7082E-4	1.6866E-4	2.3609E-3	0.0125	1.7522E-4	2.802E-3	0.0102	1.3087E-4	5.2549E-3	3.2719E-3	1.4843E-4	1.341E-4	1.2884E-4	1.3581E-4	2.0647E-3	0.018	1.2293E-4	5.6909E-4	0.0124	1.5369E-4	3.6409E-3	1.1832E-3	1.514E-4	1.4753E-4	1.3938E-4	1.2801E-4	1.4302E-3	0.0194	1.4089E-4	1.1648E-3	6.4354E-3	6.0245E-5	8.7113E-3	1.0018E-3	8.5181E-5	7.4221E-5	7.7145E-5	7.446E-5	4.5381E-4	0.0167	2.4274E-4	4.732E-3	0.0113	1.1371E-4	3.3457E-3	1.8511E-3	1.3083E-4	1.1343E-4	1.3809E-4	1.3537E-4	2.4419E-3	0.0154	1.191E-4	3.3509E-3	8.321E-3	1.048E-4	4.052E-3	8.021E-3	1.1976E-4	1.2144E-4	1.0703E-4	1.225E-4	6.0762E-4	0.0204	1.3472E-4
stdev	113.2421	5.1248E-3	0.0274	2.2339E-3	0.0138	0.0145	2.2229E-3	2.2586E-3	2.2948E-3	2.2983E-3	3.6521E-3	0.0461	2.4814E-3	6.178E-3	0.0253	1.9935E-3	0.0345	8.3002E-3	2.0931E-3	1.9163E-3	1.9808E-3	1.9931E-3	0.0168	0.0698	2.5473E-3	0.0196	0.0338	0.0158	0.0218	0.025	0.0158	0.0161	0.0157	0.0159	0.0225	0.0438	0.0158	9.1166E-3	0.022	3.2321E-3	6.1729E-3	0.01	3.3677E-3	3.3064E-3	3.2577E-3	3.4124E-3	8.5369E-3	0.0339	3.5227E-3	0.0199	9.5551E-3	2.5442E-3	7.7526E-3	5.5705E-3	2.606E-3	2.5142E-3	2.5164E-3	2.5335E-3	5.2018E-3	0.029	2.8801E-3	0.0132	0.0292	9.4352E-3	0.0192	0.0211	9.667E-3	9.327E-3	9.3737E-3	9.3118E-3	0.0114	0.0441	9.3565E-3	0.0166	0.0228	0.0148	0.0313	0.0311	0.0147	0.0152	0.015	0.015	0.0195	0.0433	0.0153	0.018	0.0355	0.0102	0.0203	0.022	0.0101	0.0102	0.0103	0.0101	0.0139	0.0528	0.0102	0.0134	0.0415	0.0115	0.0185	0.0163	0.0118	0.0116	0.0115	0.0115	0.0151	0.0506	0.0115	9.5026E-3	0.0238	4.3007E-3	0.0222	0.0104	4.345E-3	4.4356E-3	4.3694E-3	4.3906E-3	6.242E-3	0.0402	5.2201E-3	0.0179	0.0315	2.5886E-3	0.0151	0.0124	2.6192E-3	2.4746E-3	2.5068E-3	2.5141E-3	8.2714E-3	0.0403	2.7562E-3	0.0173	0.0308	8.7087E-3	0.0187	0.0335	8.673E-3	8.5452E-3	8.4743E-3	8.8461E-3	0.0116	0.0527	8.6192E-3
variance	12823.7738	2.6263E-5	7.5167E-4	4.9904E-6	1.8953E-4	2.1156E-4	4.9413E-6	5.1013E-6	5.2661E-6	5.282E-6	1.3338E-5	2.126E-3	6.1573E-6	3.8167E-5	6.4064E-4	3.9739E-6	1.1919E-3	6.8894E-5	4.3809E-6	3.672E-6	3.9235E-6	3.9726E-6	2.8222E-4	4.8713E-3	6.4889E-6	3.8512E-4	1.1402E-3	2.4827E-4	4.7402E-4	6.2415E-4	2.481E-4	2.5852E-4	2.472E-4	2.5234E-4	5.0472E-4	1.9186E-3	2.4907E-4	8.3112E-5	4.8396E-4	1.0447E-5	3.8104E-5	1.0023E-4	1.1341E-5	1.0932E-5	1.0613E-5	1.1645E-5	7.2878E-5	1.1508E-3	1.2409E-5	3.9745E-4	9.1301E-5	6.4731E-6	6.0102E-5	3.1031E-5	6.7911E-6	6.3211E-6	6.3322E-6	6.4185E-6	2.7058E-5	8.437E-4	8.295E-6	1.7348E-4	8.5222E-4	8.9023E-5	3.685E-4	4.4604E-4	9.3451E-5	8.6992E-5	8.7866E-5	8.6709E-5	1.2944E-4	1.9479E-3	8.7544E-5	2.7422E-4	5.1844E-4	2.198E-4	9.8071E-4	9.6543E-4	2.1741E-4	2.3223E-4	2.2444E-4	2.2429E-4	3.7871E-4	1.8712E-3	2.3514E-4	3.2522E-4	1.2635E-3	1.0468E-4	4.1283E-4	4.8533E-4	1.0189E-4	1.0444E-4	1.0528E-4	1.0174E-4	1.9394E-4	2.7855E-3	1.0372E-4	1.8008E-4	1.7193E-3	1.3197E-4	3.4048E-4	2.6683E-4	1.3886E-4	1.3348E-4	1.3128E-4	1.3176E-4	2.2811E-4	2.5569E-3	1.3233E-4	9.03E-5	5.6789E-4	1.8496E-5	4.9157E-4	1.0755E-4	1.8879E-5	1.9675E-5	1.9092E-5	1.9278E-5	3.8963E-5	1.6181E-3	2.725E-5	3.1931E-4	9.9051E-4	6.7006E-6	2.2831E-4	1.5302E-4	6.8603E-6	6.1237E-6	6.2842E-6	6.3206E-6	6.8416E-5	1.626E-3	7.5968E-6	2.9775E-4	9.513E-4	7.5842E-5	3.4941E-4	1.1199E-3	7.522E-5	7.3021E-5	7.1815E-5	7.8253E-5	1.3475E-4	2.774E-3	7.4291E-5
median	-29288.8	0.6704	0.0158	1.5612E-3	6.7508E-3	0.0109	1.5583E-3	1.5745E-3	1.5893E-3	1.5407E-3	2.6601E-3	0.2752	1.6597E-3	3.748E-3	0.6711	1.3953E-3	0.0173	5.9853E-3	1.3932E-3	1.3374E-3	1.4032E-3	1.3432E-3	0.0138	0.2734	1.528E-3	0.0157	0.0362	0.6789	0.0163	0.0304	0.012	0.0124	0.012	0.0115	0.016	0.0849	0.0118	5.4767E-3	0.0144	2.3222E-3	0.6703	7.2703E-3	2.3119E-3	2.3257E-3	2.3153E-3	2.3455E-3	6.6431E-3	0.2669	2.4861E-3	0.0136	6.8712E-3	1.7457E-3	4.5629E-3	0.6707	1.787E-3	1.7905E-3	1.747E-3	1.7884E-3	3.9011E-3	0.275	2.0046E-3	0.0105	0.0322	7.0818E-3	0.0193	0.023	0.6736	6.8738E-3	6.9583E-3	6.946E-3	7.4907E-3	0.1617	6.9495E-3	0.0122	0.0216	0.0113	0.0369	0.0524	0.0113	0.678	0.0112	0.0112	0.0154	0.0702	0.0114	0.0206	0.0265	7.6418E-3	0.0123	0.0195	7.5569E-3	7.3787E-3	0.6743	7.3975E-3	0.0116	0.1602	7.2599E-3	9.9574E-3	0.0657	8.5997E-3	0.0143	0.0138	8.5806E-3	8.5971E-3	8.4975E-3	0.6752	0.0103	0.1266	8.6622E-3	0.0105	0.0191	3.0607E-3	0.0183	8.6093E-3	3.1292E-3	3.1028E-3	3.1233E-3	3.0454E-3	0.6709	0.2337	3.751E-3	0.0252	0.0273	1.7287E-3	0.024	0.0137	1.7335E-3	1.9376E-3	1.6038E-3	1.7373E-3	6.4681E-3	0.8781	1.8578E-3	0.0131	0.0314	6.3169E-3	0.0147	0.0385	6.165E-3	6.0067E-3	6.1017E-3	6.2244E-3	8.6108E-3	0.1537	0.6729
value range	[-29643.9, -28933.5]	[0.6667, 0.7052]	[2.2331E-6, 0.1434]	[8.7951E-8, 0.0182]	[1.9995E-7, 0.0818]	[7.949E-7, 0.1079]	[8.444E-7, 0.0222]	[4.5396E-8, 0.0212]	[8.9425E-7, 0.0264]	[3.6033E-7, 0.0233]	[2.5727E-7, 0.0291]	[0.1, 0.3165]	[4.0749E-7, 0.0237]	[1.0518E-6, 0.0789]	[0.6667, 0.8095]	[9.8308E-8, 0.019]	[1.7973E-5, 0.1589]	[3.071E-7, 0.064]	[2.5944E-8, 0.0194]	[2.3805E-7, 0.016]	[5.5403E-8, 0.0217]	[3.895E-7, 0.0176]	[1.2537E-6, 0.0969]	[0.0115, 0.3105]	[1.4216E-8, 0.0289]	[1.6867E-6, 0.1451]	[4.8478E-6, 0.2144]	[0.6667, 0.7894]	[8.2482E-6, 0.1702]	[3.6086E-5, 0.1625]	[1.2618E-5, 0.1492]	[1.5315E-6, 0.1242]	[9.1583E-7, 0.1231]	[5.2143E-7, 0.1161]	[2.6267E-8, 0.2023]	[3.1031E-5, 0.2539]	[2.7809E-6, 0.1262]	[1.5308E-6, 0.1067]	[1.1857E-5, 0.1417]	[7.4348E-8, 0.0249]	[0.6667, 0.7266]	[1.6208E-6, 0.0773]	[4.7464E-7, 0.0302]	[9.9264E-7, 0.0322]	[6.6022E-7, 0.0262]	[9.5182E-7, 0.046]	[3.5901E-6, 0.0546]	[0.0727, 0.3071]	[1.2158E-7, 0.0322]	[1.7338E-6, 0.1149]	[1.4118E-6, 0.0784]	[2.287E-7, 0.0327]	[1.0202E-6, 0.0644]	[0.6667, 0.7145]	[3.1737E-7, 0.0254]	[6.5953E-7, 0.023]	[3.1258E-7, 0.0262]	[1.0288E-7, 0.0261]	[1.664E-7, 0.0341]	[0.1765, 0.3192]	[2.039E-8, 0.0303]	[3.4768E-6, 0.098]	[2.8701E-6, 0.1753]	[2.9545E-6, 0.1324]	[1.6056E-6, 0.1239]	[2.2434E-6, 0.1487]	[0.6667, 0.7501]	[2.2934E-7, 0.0876]	[6.3935E-7, 0.098]	[1.2944E-6, 0.0804]	[1.2252E-7, 0.1187]	[5.2433E-3, 0.2813]	[1.1494E-6, 0.0751]	[2.974E-6, 0.1479]	[3.8263E-7, 0.1835]	[1.5344E-6, 0.1162]	[2.8415E-6, 0.2115]	[6.4227E-5, 0.2129]	[2.7927E-6, 0.1241]	[0.6667, 0.7914]	[2.3161E-6, 0.1061]	[4.0551E-6, 0.1195]	[1.8835E-6, 0.1467]	[2.5779E-5, 0.2271]	[3.1687E-6, 0.1438]	[9.2619E-7, 0.1297]	[1.432E-5, 0.2213]	[1.8832E-7, 0.0872]	[3.4531E-7, 0.1548]	[6.5963E-7, 0.1373]	[3.2423E-7, 0.0786]	[3.4381E-6, 0.0991]	[0.6667, 0.7521]	[1.2937E-6, 0.0849]	[1.1777E-6, 0.1215]	[3.0446E-4, 0.2706]	[1.3908E-6, 0.0918]	[1.1623E-6, 0.1298]	[1.2054E-6, 0.2075]	[1.0134E-6, 0.0952]	[2.8948E-7, 0.1199]	[3.0594E-6, 0.1321]	[1.7187E-6, 0.1072]	[4.8007E-8, 0.1063]	[1.3167E-6, 0.0885]	[0.6667, 0.7695]	[1.7331E-6, 0.1325]	[1.8345E-4, 0.2645]	[1.2736E-6, 0.0992]	[1.2023E-6, 0.0615]	[2.8977E-6, 0.1424]	[1.4386E-7, 0.0382]	[7.0475E-6, 0.1614]	[2.0037E-6, 0.0736]	[6.3349E-8, 0.0394]	[2.8634E-7, 0.0392]	[1.5157E-7, 0.0439]	[1.8671E-7, 0.0396]	[0.6667, 0.7212]	[0.0556, 0.2954]	[1.5026E-7, 0.0485]	[5.8349E-6, 0.1017]	[8.5661E-4, 0.188]	[5.6093E-6, 0.0257]	[2.0194E-4, 0.0864]	[5.1136E-6, 0.0905]	[1.1174E-5, 0.0221]	[1.1015E-5, 0.0252]	[4.5504E-6, 0.018]	[2.3149E-7, 0.018]	[1.7123E-5, 0.0674]	[0.6952, 0.9579]	[1.9596E-6, 0.0236]	[4.8589E-6, 0.1109]	[1.7102E-5, 0.2136]	[3.0543E-8, 0.0807]	[1.9341E-8, 0.1228]	[4.5747E-5, 0.2037]	[6.4304E-7, 0.0778]	[8.9885E-7, 0.068]	[1.2199E-6, 0.0722]	[3.1038E-6, 0.0711]	[1.3331E-6, 0.101]	[1.296E-4, 0.2657]	[0.6667, 0.7339]
geometric mean	n/a	0.672	0.013	1.2664E-3	6.0238E-3	8.7865E-3	1.2773E-3	1.2734E-3	1.2939E-3	1.2523E-3	2.1556E-3	0.2518	1.3708E-3	3.0004E-3	0.6798	1.1315E-3	0.0195	4.8247E-3	1.1376E-3	1.0907E-3	1.1321E-3	1.0906E-3	9.8937E-3	0.2243	1.2271E-3	0.0128	0.0286	0.6834	0.0133	0.0262	9.6313E-3	9.7731E-3	9.6511E-3	9.3147E-3	0.013	0.0715	9.5172E-3	4.417E-3	0.0132	1.8594E-3	0.6723	5.9722E-3	1.9029E-3	1.8948E-3	1.8909E-3	1.8911E-3	5.3679E-3	0.2556	2.0088E-3	0.0116	5.5599E-3	1.3995E-3	3.8057E-3	0.6724	1.4501E-3	1.4349E-3	1.4077E-3	1.4424E-3	3.1402E-3	0.2679	1.6232E-3	8.3149E-3	0.0268	5.6441E-3	0.0148	0.0183	0.6766	5.5284E-3	5.5211E-3	5.5517E-3	6.0562E-3	0.1524	5.5761E-3	0.01	0.0172	9.105E-3	0.0308	0.0464	8.8897E-3	0.6824	9.1046E-3	8.9358E-3	0.0123	0.0553	9.1626E-3	0.0167	0.0234	6.0507E-3	0.0102	0.0155	6.1162E-3	5.8992E-3	0.6772	5.9465E-3	9.0877E-3	0.1312	5.9365E-3	8.0717E-3	0.0523	6.9359E-3	0.0111	0.0109	7.0847E-3	6.9495E-3	6.848E-3	0.6785	8.3348E-3	0.1114	6.939E-3	8.756E-3	0.0166	2.4879E-3	0.0155	6.9096E-3	2.5173E-3	2.4887E-3	2.5447E-3	2.5041E-3	0.6728	0.2195	3.0132E-3	0.0188	0.0263	1.3727E-3	0.0208	0.0112	1.4796E-3	1.4842E-3	1.3654E-3	1.3947E-3	5.2222E-3	0.8686	1.4972E-3	0.0105	0.0279	5.1093E-3	0.0118	0.0338	5.0007E-3	4.8881E-3	5.0438E-3	5.0052E-3	7.0154E-3	0.1253	0.6756
95% HPD interval	[-29492.1, -29072.9]	[0.6667, 0.6822]	[4.609E-6, 0.086]	[8.7951E-8, 6.7589E-3]	[4.4367E-7, 0.0411]	[7.949E-7, 0.0417]	[8.444E-7, 6.6985E-3]	[4.5396E-8, 6.8352E-3]	[8.9425E-7, 6.9629E-3]	[3.6033E-7, 6.7815E-3]	[2.5727E-7, 0.0111]	[0.1524, 0.308]	[4.0749E-7, 7.3875E-3]	[1.0518E-6, 0.0157]	[0.6667, 0.7532]	[1.5451E-6, 5.9854E-3]	[1.3441E-4, 0.1066]	[3.071E-7, 0.0258]	[2.5944E-8, 6.149E-3]	[2.3805E-7, 5.8311E-3]	[5.5403E-8, 5.8982E-3]	[3.895E-7, 5.9301E-3]	[1.2537E-6, 0.0498]	[0.0767, 0.3098]	[1.4216E-8, 7.2068E-3]	[1.6867E-6, 0.0609]	[4.8478E-6, 0.109]	[0.6667, 0.7154]	[8.2482E-6, 0.0678]	[3.6086E-5, 0.0843]	[1.2618E-5, 0.0477]	[1.5315E-6, 0.0491]	[9.1583E-7, 0.0485]	[5.2143E-7, 0.0496]	[2.6267E-8, 0.0688]	[2.1932E-3, 0.1622]	[2.7809E-6, 0.0485]	[1.5308E-6, 0.0245]	[2.5171E-5, 0.0721]	[7.4348E-8, 9.9655E-3]	[0.6667, 0.6844]	[7.9998E-6, 0.0306]	[4.7464E-7, 0.0101]	[9.9264E-7, 0.01]	[6.6022E-7, 9.6918E-3]	[9.5182E-7, 0.0102]	[7.6465E-6, 0.0269]	[0.1865, 0.3071]	[1.2158E-7, 0.0105]	[1.7338E-6, 0.0646]	[1.4118E-6, 0.0263]	[2.287E-7, 7.5457E-3]	[1.0202E-6, 0.023]	[0.6667, 0.6835]	[3.1737E-7, 7.8806E-3]	[6.5953E-7, 7.6729E-3]	[3.1258E-7, 7.4717E-3]	[1.0288E-7, 7.6525E-3]	[1.664E-7, 0.0162]	[0.1967, 0.3088]	[2.039E-8, 8.5881E-3]	[3.4768E-6, 0.0403]	[2.3622E-5, 0.0958]	[2.9545E-6, 0.0284]	[3.5474E-6, 0.0609]	[6.3796E-5, 0.0678]	[0.6667, 0.6962]	[2.2934E-7, 0.0283]	[6.3935E-7, 0.0284]	[1.2944E-6, 0.0283]	[1.2252E-7, 0.0327]	[0.0719, 0.2425]	[7.8456E-6, 0.0281]	[2.974E-6, 0.0507]	[3.8263E-7, 0.072]	[1.5344E-6, 0.0457]	[5.9142E-5, 0.1035]	[3.498E-4, 0.1132]	[2.7927E-6, 0.0444]	[0.6667, 0.7131]	[2.3161E-6, 0.0455]	[4.0551E-6, 0.0457]	[1.8835E-6, 0.0607]	[2.5779E-5, 0.1495]	[3.1687E-6, 0.047]	[9.2619E-7, 0.0593]	[3.1845E-5, 0.1087]	[1.8832E-7, 0.0315]	[3.4531E-7, 0.0628]	[6.5963E-7, 0.0695]	[3.2423E-7, 0.0308]	[3.4381E-6, 0.0313]	[0.6667, 0.6984]	[1.2937E-6, 0.0304]	[1.1777E-6, 0.0434]	[0.0189, 0.2313]	[1.3908E-6, 0.0307]	[1.1623E-6, 0.0407]	[1.2054E-6, 0.1439]	[1.0134E-6, 0.0346]	[2.8948E-7, 0.0563]	[3.0594E-6, 0.0508]	[1.7187E-6, 0.0357]	[4.8007E-8, 0.035]	[1.3167E-6, 0.0353]	[0.6667, 0.7017]	[1.7331E-6, 0.0443]	[0.0242, 0.2145]	[1.2736E-6, 0.0353]	[1.2023E-6, 0.031]	[2.8977E-6, 0.0765]	[1.4386E-7, 0.0128]	[7.0475E-6, 0.0693]	[2.0037E-6, 0.0325]	[6.3349E-8, 0.0132]	[2.8634E-7, 0.0133]	[1.5157E-7, 0.0132]	[1.8671E-7, 0.0134]	[0.6667, 0.6855]	[0.1304, 0.2826]	[1.2238E-6, 0.0159]	[5.8349E-6, 0.0609]	[1.0309E-3, 0.1073]	[5.9738E-6, 7.6269E-3]	[1.4391E-3, 0.0535]	[5.1136E-6, 0.0403]	[1.1174E-5, 7.6992E-3]	[1.1015E-5, 7.4333E-3]	[9.6203E-6, 7.749E-3]	[7.6642E-6, 7.4329E-3]	[1.7123E-5, 0.0255]	[0.7719, 0.9316]	[4.9793E-6, 7.8538E-3]	[4.8589E-6, 0.0543]	[1.109E-4, 0.1002]	[3.0543E-8, 0.0267]	[1.9341E-8, 0.0584]	[8.9884E-5, 0.1147]	[6.4304E-7, 0.0268]	[8.9885E-7, 0.026]	[1.2199E-6, 0.0258]	[3.1038E-6, 0.0266]	[1.3331E-6, 0.035]	[0.0198, 0.2253]	[0.6667, 0.6929]
auto-correlation time (ACT)	1.4244E6	90935.0771	2.0536E6	2175.5969	1.2786E6	5.1356E5	2056.5017	2196.9972	2700.5145	2177.8536	58378.8713	2.1284E6	7940.3011	1.2111E5	9.9146E5	5867.5609	2.1893E6	3.1634E5	6293.0091	2598.4465	3813.1179	3487.9361	2.173E6	2.2618E6	43222.0195	12375.9481	2.3978E5	1056.6579	1.1454E5	8014.7023	1186.8759	1202.4452	1077.4094	1204.0035	1.6327E5	6.2133E5	1126.3624	1.8648E5	1.1264E6	2754.2082	2.6323E5	88209.5662	3345.1241	2920.0099	3245.8058	3236.6048	6.8325E5	1.2175E6	3793.2192	8.9246E5	4.2343E5	2024.5941	5.2347E5	36567.0807	2678.27	3321.1961	2266.0413	2882.9159	1.5693E5	1.2775E6	4938.7017	24638.7556	8.5343E5	1905.3604	3.3693E5	1.2744E5	1585.4631	1294.2173	1477.0536	1544.8164	29375.3809	8.3565E5	1807.9029	1484.5837	31002.8219	1262.893	4.1726E5	78416.3184	1078.6323	1130.1324	1170.1866	1141.6205	1.3248E5	7.4789E5	1175.2585	2.173E5	7.4019E5	1472.7612	6.0208E5	1.9854E5	1946.3527	1549.7707	1419.1766	1631.7626	1.9785E5	1.0448E6	1311.3789	16187.2911	8.1102E5	1611.0682	3.5043E5	47226.5516	1485.876	1467.6635	1331.9565	1119.4555	80714.2912	1.3295E6	1350.2709	1.3523E5	6.5641E5	1766.253	1.3895E6	84000.2855	3459.4409	2520.1908	2805.7986	2588.7033	47576.1336	1.5446E6	19463.5431	6.3121E5	1.1666E6	17369.5672	4.413E5	2.0157E5	22458.2367	18910.8561	27313.9973	26096.282	7.845E5	1.3149E6	16807.6232	3.3945E5	6.5513E5	1303.5544	4.2296E5	5.1708E5	1716.2131	1817.8378	1435.8831	1726.1592	24660.9786	1.3551E6	2198.9522
effective sample size (ESS)	6.3	99	4.4	4136.8	7	17.5	4376.4	4096.5	3332.7	4132.5	154.2	4.2	1133.5	74.3	9.1	1533.9	4.1	28.5	1430.2	3463.6	2360.3	2580.3	4.1	4	208.2	727.2	37.5	8517.4	78.6	1122.9	7582.9	7484.7	8353.4	7475.1	55.1	14.5	7990.3	48.3	8	3267.7	34.2	102	2690.5	3082.2	2772.8	2780.7	13.2	7.4	2372.7	10.1	21.3	4445.3	17.2	246.1	3360.4	2709.9	3971.7	3121.8	57.3	7	1822.3	365.3	10.5	4723.5	26.7	70.6	5676.6	6954	6093.2	5825.9	306.4	10.8	4978.1	6062.3	290.3	7126.5	21.6	114.8	8343.9	7963.7	7691.1	7883.5	67.9	12	7657.9	41.4	12.2	6111	14.9	45.3	4624	5807.3	6341.7	5515.5	45.5	8.6	6863	556	11.1	5586.4	25.7	190.6	6057	6132.2	6757	8039.6	111.5	6.8	6665.3	66.6	13.7	5095.5	6.5	107.1	2601.6	3571.2	3207.6	3476.6	189.2	5.8	462.4	14.3	7.7	518.1	20.4	44.6	400.7	475.9	329.5	344.9	11.5	6.8	535.5	26.5	13.7	6904.2	21.3	17.4	5244.1	4950.9	6267.9	5213.9	364.9	6.6	4092.9
