"pop_in","pop_out","migration_SE"
"Koskenpää","Koskenpää",0.0183
"Koskenpää","Kummunsuo",0.0061
"Koskenpää","Lauttasuo",0.003
"Koskenpää","Lehtusuo",0.0277
"Koskenpää","Nyrölä",0.0508
"Koskenpää","Palosuo",0.0032
"Koskenpää","Pihtissuo",0.0032
"Koskenpää","Pirttilampi",0.0029
"Koskenpää","Pirttisuo",0.0047
"Koskenpää","Saarisuo",0.0056
"Koskenpää","Teerisuo",0.0412
"Koskenpää","Utusuo",0.003
"Kummunsuo","Koskenpää",0.0065
"Kummunsuo","Kummunsuo",0.0111
"Kummunsuo","Lauttasuo",0.0023
"Kummunsuo","Lehtusuo",0.009
"Kummunsuo","Nyrölä",0.0376
"Kummunsuo","Palosuo",0.0022
"Kummunsuo","Pihtissuo",0.0022
"Kummunsuo","Pirttilampi",0.0022
"Kummunsuo","Pirttisuo",0.0035
"Kummunsuo","Saarisuo",0.0049
"Kummunsuo","Teerisuo",0.0357
"Kummunsuo","Utusuo",0.0022
"Lauttasuo","Koskenpää",0.0087
"Lauttasuo","Kummunsuo",0.0095
"Lauttasuo","Lauttasuo",0.0068
"Lauttasuo","Lehtusuo",0.0486
"Lauttasuo","Nyrölä",0.0474
"Lauttasuo","Palosuo",0.0066
"Lauttasuo","Pihtissuo",0.0072
"Lauttasuo","Pirttilampi",0.0066
"Lauttasuo","Pirttisuo",0.0124
"Lauttasuo","Saarisuo",0.017
"Lauttasuo","Teerisuo",0.024
"Lauttasuo","Utusuo",0.0066
"Lehtusuo","Koskenpää",0.0043
"Lehtusuo","Kummunsuo",0.008
"Lehtusuo","Lauttasuo",0.0029
"Lehtusuo","Lehtusuo",0.0157
"Lehtusuo","Nyrölä",0.0485
"Lehtusuo","Palosuo",0.003
"Lehtusuo","Pihtissuo",0.003
"Lehtusuo","Pirttilampi",0.0028
"Lehtusuo","Pirttisuo",0.0037
"Lehtusuo","Saarisuo",0.0135
"Lehtusuo","Teerisuo",0.0494
"Lehtusuo","Utusuo",0.0029
"Nyrölä","Koskenpää",0.0044
"Nyrölä","Kummunsuo",0.0076
"Nyrölä","Lauttasuo",0.0023
"Nyrölä","Lehtusuo",0.0148
"Nyrölä","Nyrölä",0.027
"Nyrölä","Palosuo",0.0024
"Nyrölä","Pihtissuo",0.0022
"Nyrölä","Pirttilampi",0.0019
"Nyrölä","Pirttisuo",0.0064
"Nyrölä","Saarisuo",0.0055
"Nyrölä","Teerisuo",0.0171
"Nyrölä","Utusuo",0.002
"Palosuo","Koskenpää",0.0109
"Palosuo","Kummunsuo",0.0126
"Palosuo","Lauttasuo",0.0067
"Palosuo","Lehtusuo",0.0206
"Palosuo","Nyrölä",0.0386
"Palosuo","Palosuo",0.0068
"Palosuo","Pihtissuo",0.0067
"Palosuo","Pirttilampi",0.0067
"Palosuo","Pirttisuo",0.0192
"Palosuo","Saarisuo",0.0094
"Palosuo","Teerisuo",0.0247
"Palosuo","Utusuo",0.0068
"Pihtissuo","Koskenpää",0.0082
"Pihtissuo","Kummunsuo",0.0156
"Pihtissuo","Lauttasuo",0.0053
"Pihtissuo","Lehtusuo",0.0492
"Pihtissuo","Nyrölä",0.0508
"Pihtissuo","Palosuo",0.0053
"Pihtissuo","Pihtissuo",0.0054
"Pihtissuo","Pirttilampi",0.0053
"Pihtissuo","Pirttisuo",0.0082
"Pihtissuo","Saarisuo",0.0065
"Pihtissuo","Teerisuo",0.0165
"Pihtissuo","Utusuo",0.0051
"Pirttilampi","Koskenpää",0.0109
"Pirttilampi","Kummunsuo",0.0117
"Pirttilampi","Lauttasuo",0.01
"Pirttilampi","Lehtusuo",0.0322
"Pirttilampi","Nyrölä",0.0404
"Pirttilampi","Palosuo",0.0103
"Pirttilampi","Pihtissuo",0.0102
"Pirttilampi","Pirttilampi",0.0101
"Pirttilampi","Pirttisuo",0.0103
"Pirttilampi","Saarisuo",0.0186
"Pirttilampi","Teerisuo",0.0459
"Pirttilampi","Utusuo",0.0102
"Pirttisuo","Koskenpää",0.0068
"Pirttisuo","Kummunsuo",0.0215
"Pirttisuo","Lauttasuo",0.0044
"Pirttisuo","Lehtusuo",0.0436
"Pirttisuo","Nyrölä",0.0391
"Pirttisuo","Palosuo",0.0043
"Pirttisuo","Pihtissuo",0.0046
"Pirttisuo","Pirttilampi",0.0039
"Pirttisuo","Pirttisuo",0.0107
"Pirttisuo","Saarisuo",0.0093
"Pirttisuo","Teerisuo",0.0198
"Pirttisuo","Utusuo",0.0038
"Saarisuo","Koskenpää",0.0056
"Saarisuo","Kummunsuo",0.0125
"Saarisuo","Lauttasuo",0.0032
"Saarisuo","Lehtusuo",0.0317
"Saarisuo","Nyrölä",0.0791
"Saarisuo","Palosuo",0.0033
"Saarisuo","Pihtissuo",0.0033
"Saarisuo","Pirttilampi",0.0031
"Saarisuo","Pirttisuo",0.0044
"Saarisuo","Saarisuo",0.0089
"Saarisuo","Teerisuo",0.0467
"Saarisuo","Utusuo",0.0033
"Teerisuo","Koskenpää",0.008
"Teerisuo","Kummunsuo",0.0043
"Teerisuo","Lauttasuo",0.002
"Teerisuo","Lehtusuo",0.025
"Teerisuo","Nyrölä",0.0727
"Teerisuo","Palosuo",0.0019
"Teerisuo","Pihtissuo",0.0021
"Teerisuo","Pirttilampi",0.0018
"Teerisuo","Pirttisuo",0.0036
"Teerisuo","Saarisuo",0.0045
"Teerisuo","Teerisuo",0.0683
"Teerisuo","Utusuo",0.0019
"Utusuo","Koskenpää",0.0068
"Utusuo","Kummunsuo",0.0098
"Utusuo","Lauttasuo",0.0058
"Utusuo","Lehtusuo",0.0296
"Utusuo","Nyrölä",0.0349
"Utusuo","Palosuo",0.0058
"Utusuo","Pihtissuo",0.0059
"Utusuo","Pirttilampi",0.0058
"Utusuo","Pirttisuo",0.0059
"Utusuo","Saarisuo",0.0104
"Utusuo","Teerisuo",0.0236
"Utusuo","Utusuo",0.0058
