m_in,m_out,migration,migration_SE,ESS,migration_ESSc,pop_in,hunt_in,pop_out,hunt_out,Distance
1,1,0.672,0.0051,99,NA,Koskenpää,hunted,Koskenpää,hunted,NA
1,2,0.0262,0.0274,4.4,NA,Koskenpää,hunted,Kummunsuo,unhunted,41.0105018615723
1,3,0.0023,0.0022,4136.8,0.0023,Koskenpää,hunted,Lauttasuo,hunted,54.9102668762207
1,4,0.0126,0.0138,7,NA,Koskenpää,hunted,Lehtusuo,unhunted,27.1909313201904
1,5,0.0148,0.0145,17.5,NA,Koskenpää,hunted,Nyrölä,unhunted,34.7589874267578
1,6,0.0022,0.0022,4376.4,0.0022,Koskenpää,hunted,Palosuo,hunted,38.3959732055664
1,7,0.0023,0.0023,4096.5,0.0023,Koskenpää,hunted,Pihtissuo,hunted,52.0167579650879
1,8,0.0023,0.0023,3332.7,0.0023,Koskenpää,hunted,Pirttilampi,unhunted,28.9738750457764
1,9,0.0023,0.0023,4132.5,0.0023,Koskenpää,hunted,Pirttisuo,hunted,57.7305564880371
1,10,0.0037,0.0037,154.2,NA,Koskenpää,hunted,Saarisuo,unhunted,34.4990081787109
1,11,0.257,0.0461,4.2,NA,Koskenpää,hunted,Teerisuo,unhunted,18.7078971862793
1,12,0.0025,0.0025,1133.5,0.0025,Koskenpää,hunted,Utusuo,hunted,59.7538261413574
2,1,0.0054,0.0062,74.3,NA,Kummunsuo,unhunted,Koskenpää,hunted,41.0105018615723
2,2,0.6803,0.0253,9.1,NA,Kummunsuo,unhunted,Kummunsuo,unhunted,NA
2,3,0.002,0.002,1533.9,0.002,Kummunsuo,unhunted,Lauttasuo,hunted,19.0048809051514
2,4,0.0332,0.0345,4.1,NA,Kummunsuo,unhunted,Lehtusuo,unhunted,14.4146413803101
2,5,0.0087,0.0083,28.5,NA,Kummunsuo,unhunted,Nyrölä,unhunted,36.3836402893066
2,6,0.002,0.0021,1430.2,0.002,Kummunsuo,unhunted,Palosuo,hunted,26.8186130523682
2,7,0.0019,0.0019,3463.6,0.0019,Kummunsuo,unhunted,Pihtissuo,hunted,16.1417999267578
2,8,0.002,0.002,2360.3,0.002,Kummunsuo,unhunted,Pirttilampi,unhunted,13.9595212936401
2,9,0.002,0.002,2580.3,0.002,Kummunsuo,unhunted,Pirttisuo,hunted,25.9702796936035
2,10,0.0187,0.0168,4.1,NA,Kummunsuo,unhunted,Saarisuo,unhunted,11.0145921707153
2,11,0.2414,0.0698,4,NA,Kummunsuo,unhunted,Teerisuo,unhunted,22.9526977539062
2,12,0.0023,0.0025,208.2,0.0023,Kummunsuo,unhunted,Utusuo,hunted,22.1911010742188
3,1,0.0215,0.0196,727.2,0.0215,Lauttasuo,hunted,Koskenpää,hunted,54.9102668762207
3,2,0.0435,0.0338,37.5,NA,Lauttasuo,hunted,Kummunsuo,unhunted,19.0048809051514
