m_in,m_out,migration,migration_SE,ESS,migration_ESSc,pop_in,hunt_in,pop_out,hunt_out,Distance
1,1,0.698,0.0183,22,NA,Koskenpää,hunted,Koskenpää,hunted,NA
1,2,0.0059,0.0061,191.1,NA,Koskenpää,hunted,Kummunsuo,unhunted,41.0105018615723
1,3,0.0031,0.003,2583.8,0.0031,Koskenpää,hunted,Lauttasuo,hunted,54.9102668762207
1,4,0.0372,0.0277,9,NA,Koskenpää,hunted,Lehtusuo,unhunted,27.1909313201904
1,5,0.2007,0.0508,11.7,NA,Koskenpää,hunted,Nyrölä,unhunted,34.7589874267578
1,6,0.0032,0.0032,2041.7,0.0032,Koskenpää,hunted,Palosuo,hunted,38.3959732055664
1,7,0.0031,0.0032,2354.9,0.0031,Koskenpää,hunted,Pihtissuo,hunted,52.0167579650879
1,8,0.003,0.0029,3581.3,0.003,Koskenpää,hunted,Pirttilampi,unhunted,28.9738750457764
1,9,0.0056,0.0047,223,0.0056,Koskenpää,hunted,Pirttisuo,hunted,57.7305564880371
1,10,0.0058,0.0056,256,0.0058,Koskenpää,hunted,Saarisuo,unhunted,34.4990081787109
1,11,0.0314,0.0412,6.5,NA,Koskenpää,hunted,Teerisuo,unhunted,18.7078971862793
1,12,0.003,0.003,2494.5,0.003,Koskenpää,hunted,Utusuo,hunted,59.7538261413574
2,1,0.007,0.0065,78.7,NA,Kummunsuo,unhunted,Koskenpää,hunted,41.0105018615723
2,2,0.6809,0.0111,78.3,NA,Kummunsuo,unhunted,Kummunsuo,unhunted,NA
2,3,0.0023,0.0023,2915.6,0.0023,Kummunsuo,unhunted,Lauttasuo,hunted,19.0048809051514
2,4,0.011,0.009,47.7,NA,Kummunsuo,unhunted,Lehtusuo,unhunted,14.4146413803101
2,5,0.2573,0.0376,8,NA,Kummunsuo,unhunted,Nyrölä,unhunted,36.3836402893066
2,6,0.0022,0.0022,3878.7,0.0022,Kummunsuo,unhunted,Palosuo,hunted,26.8186130523682
2,7,0.0023,0.0022,3122.5,0.0023,Kummunsuo,unhunted,Pihtissuo,hunted,16.1417999267578
2,8,0.0022,0.0022,4536.6,0.0022,Kummunsuo,unhunted,Pirttilampi,unhunted,13.9595212936401
2,9,0.0036,0.0035,724.5,0.0036,Kummunsuo,unhunted,Pirttisuo,hunted,25.9702796936035
2,10,0.0049,0.0049,133.4,NA,Kummunsuo,unhunted,Saarisuo,unhunted,11.0145921707153
2,11,0.0241,0.0357,6.4,NA,Kummunsuo,unhunted,Teerisuo,unhunted,22.9526977539062
