m_in,m_out,migration,migration_SE,migrationSE,pop_in,hunt_in,pop_out,hunt_out,Distance,ESS,migration_ESSc
1,2,0.0149,0.0123,NA,Koskenpää,hunted,Kummunsuo,unhunted,41.01050186,L,NA
1,3,0.0021,0.0021,NA,Koskenpää,hunted,Lauttasuo,hunted,54.91026688,NA,0.0021
1,4,0.0047,0.005,NA,Koskenpää,hunted,Lehtusuo,unhunted,27.19093132,NA,0.0047
1,5,0.0219,0.0213,NA,Koskenpää,hunted,Nyrölä,unhunted,34.75898743,M,NA
1,6,0.0021,0.0021,NA,Koskenpää,hunted,Palosuo,hunted,38.39597321,NA,0.0021
1,7,0.0021,0.0021,NA,Koskenpää,hunted,Pihtissuo,hunted,52.01675797,NA,0.0021
1,8,0.0021,0.0021,NA,Koskenpää,hunted,Pirttilampi,unhunted,28.97387505,NA,0.0021
1,9,0.0021,0.002,NA,Koskenpää,hunted,Pirttisuo,hunted,57.73055649,NA,0.0021
1,10,0.0038,0.0039,NA,Koskenpää,hunted,Saarisuo,unhunted,34.49900818,NA,0.0038
1,11,0.2693,0.0278,NA,Koskenpää,hunted,Teerisuo,unhunted,18.70789719,L,NA
1,12,0.0024,0.0024,NA,Koskenpää,hunted,Utusuo,hunted,59.75382614,NA,0.0024
2,1,0.0073,0.0056,NA,Kummunsuo,unhunted,Koskenpää,hunted,41.01050186,M,NA
2,3,0.0019,0.0019,NA,Kummunsuo,unhunted,Lauttasuo,hunted,19.00488091,NA,0.0019
2,4,0.0138,0.0088,NA,Kummunsuo,unhunted,Lehtusuo,unhunted,14.41464138,L,NA
2,5,0.024,0.0464,NA,Kummunsuo,unhunted,Nyrölä,unhunted,36.38364029,NA,0.024
2,6,0.0019,0.0019,NA,Kummunsuo,unhunted,Palosuo,hunted,26.81861305,NA,0.0019
2,7,0.0019,0.0019,NA,Kummunsuo,unhunted,Pihtissuo,hunted,16.14179993,NA,0.0019
2,8,0.0019,0.0019,NA,Kummunsuo,unhunted,Pirttilampi,unhunted,13.95952129,NA,0.0019
2,9,0.0019,0.0019,NA,Kummunsuo,unhunted,Pirttisuo,hunted,25.97027969,NA,0.0019
2,10,0.0149,0.0132,NA,Kummunsuo,unhunted,Saarisuo,unhunted,11.01459217,L,NA
2,11,0.2511,0.0603,NA,Kummunsuo,unhunted,Teerisuo,unhunted,22.95269775,L,NA
2,12,0.0022,0.0022,NA,Kummunsuo,unhunted,Utusuo,hunted,22.19110107,NA,0.0022
3,1,0.0242,0.0208,NA,Lauttasuo,hunted,Koskenpää,hunted,54.91026688,NA,0.0242
3,2,0.0389,0.0315,NA,Lauttasuo,hunted,Kummunsuo,unhunted,19.00488091,NA,0.0389
3,4,0.0187,0.0177,NA,Lauttasuo,hunted,Lehtusuo,unhunted,28.32683563,NA,0.0187
3,5,0.0333,0.0249,NA,Lauttasuo,hunted,Nyrölä,unhunted,36.62529755,NA,0.0333
3,6,0.0167,0.0159,NA,Lauttasuo,hunted,Palosuo,hunted,25.01182556,NA,0.0167
3,7,0.0166,0.0159,NA,Lauttasuo,hunted,Pihtissuo,hunted,3.043021917,NA,0.0166
3,8,0.0167,0.0158,NA,Lauttasuo,hunted,Pirttilampi,unhunted,26.07989502,NA,0.0167
3,9,0.0167,0.0158,NA,Lauttasuo,hunted,Pirttisuo,hunted,8.224047661,NA,0.0167
