"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","run_id","burnin","iterations","k","ln_prob_data","mean_llh","var_llh","mean_alpha"
"2","T1_1","10000","10000","1","-50453.5","-50429.0","49.1","0.0116"
"3","T1_2","10000","10000","1","-50453.9","-50429.1","49.5","0.0097"
"4","T1_3","10000","10000","1","-50454.0","-50429.1","49.8","0.0193"
"5","T1_4","10000","10000","1","-50453.5","-50428.9","49.1","0.0165"
"6","T1_5","10000","10000","1","-50453.6","-50428.9","49.4","0.0121"
"7","T1_6","10000","10000","1","-50453.1","-50429.0","48.1","0.0112"
"8","T1_7","10000","10000","1","-50453.4","-50428.9","49.1","0.0138"
"9","T1_8","10000","10000","1","-50453.4","-50429.0","48.9","0.0179"
"10","T1_9","10000","10000","1","-50453.3","-50428.9","48.8","0.0196"
"11","T1_10","10000","10000","1","-50453.5","-50429.0","49.0","0.0097"
"12","T2_1","10000","10000","2","-49880.2","-49523.4","713.5","0.1009"
"13","T2_2","10000","10000","2","-49891.7","-49529.0","725.4","0.0652"
"14","T2_3","10000","10000","2","-49893.9","-49524.1","739.5","0.1134"
"15","T2_4","10000","10000","2","-49894.4","-49519.9","748.9","0.1665"
"16","T2_5","10000","10000","2","-49872.7","-49526.3","692.7","0.1145"
"17","T2_6","10000","10000","2","-49884.8","-49526.2","717.2","0.0933"
"18","T2_7","10000","10000","2","-49897.9","-49522.4","751.0","0.1140"
"19","T2_8","10000","10000","2","-49843.3","-49521.8","643.0","0.0667"
"20","T2_9","10000","10000","2","-49875.7","-49525.8","699.7","0.0933"
"21","T2_10","10000","10000","2","-49879.3","-49527.7","703.1","0.0760"
"22","T3_1","10000","10000","3","-49390.6","-48821.4","1138.3","0.0611"
"23","T3_2","10000","10000","3","-49415.1","-48829.9","1170.4","0.0761"
"24","T3_3","10000","10000","3","-49347.8","-48785.4","1124.8","0.0536"
"25","T3_4","10000","10000","3","-49346.7","-48783.4","1126.6","0.0803"
"26","T3_5","10000","10000","3","-49379.4","-48790.0","1178.8","0.0600"
"27","T3_6","10000","10000","3","-49447.5","-48820.5","1253.9","0.0629"
"28","T3_7","10000","10000","3","-49339.9","-48788.4","1103.1","0.0618"
"29","T3_8","10000","10000","3","-49396.7","-48790.4","1212.6","0.0722"
"30","T3_9","10000","10000","3","-49413.4","-48789.8","1247.3","0.0593"
"31","T3_10","10000","10000","3","-49376.1","-48834.7","1082.9","0.0851"
"32","T4_1","10000","10000","4","-48903.5","-48211.3","1384.3","0.0581"
"33","T4_2","10000","10000","4","-49011.9","-48213.6","1596.6","0.0613"
"34","T4_3","10000","10000","4","-48854.4","-48155.4","1398.0","0.0536"
"35","T4_4","10000","10000","4","-49071.2","-48212.6","1717.2","0.0603"
"36","T4_5","10000","10000","4","-48782.2","-48122.7","1318.9","0.0500"
"37","T4_6","10000","10000","4","-48858.4","-48193.8","1329.2","0.0648"
"38","T4_7","10000","10000","4","-48839.4","-48121.6","1435.5","0.0531"
"39","T4_8","10000","10000","4","-48855.6","-48175.9","1359.5","0.0538"
"40","T4_9","10000","10000","4","-48820.7","-48119.4","1402.6","0.0518"
"41","T4_10","10000","10000","4","-48840.3","-48121.5","1437.5","0.0594"
"42","T5_1","10000","10000","5","-48471.5","-47608.5","1725.9","0.0593"
"43","T5_2","10000","10000","5","-48445.0","-47614.9","1660.3","0.0576"
"44","T5_3","10000","10000","5","-48557.0","-47572.8","1968.3","0.0651"
"45","T5_4","10000","10000","5","-48501.7","-47643.4","1716.6","0.0540"
"46","T5_5","10000","10000","5","-48886.2","-47629.7","2513.0","0.0572"
"47","T5_6","10000","10000","5","-48506.8","-47608.7","1796.1","0.0605"
"48","T5_7","10000","10000","5","-48589.8","-47664.3","1851.0","0.0563"
"49","T5_8","10000","10000","5","-48580.3","-47652.2","1856.1","0.0622"
"50","T5_9","10000","10000","5","-48533.7","-47621.3","1824.8","0.0603"
"51","T5_10","10000","10000","5","-48488.8","-47608.4","1760.8","0.0562"
"52","T6_1","10000","10000","6","-48202.4","-47078.9","2247.0","0.0513"
"53","T6_2","10000","10000","6","-48071.1","-47075.6","1991.1","0.0523"
"54","T6_3","10000","10000","6","-48154.2","-47089.5","2129.4","0.0533"
"55","T6_4","10000","10000","6","-48085.1","-47082.4","2005.4","0.0523"
"56","T6_5","10000","10000","6","-48071.1","-47080.1","1982.1","0.0523"
"57","T6_6","10000","10000","6","-48006.5","-47070.3","1872.4","0.0582"
"58","T6_7","10000","10000","6","-48018.1","-47090.8","1854.7","0.0476"
"59","T6_8","10000","10000","6","-48165.0","-47142.7","2044.6","0.0555"
"60","T6_9","10000","10000","6","-47993.5","-47081.5","1823.9","0.0483"
"61","T6_10","10000","10000","6","-47956.0","-47082.9","1746.2","0.0509"
"62","T7_1","10000","10000","7","-47732.9","-46601.6","2262.7","0.0476"
"63","T7_2","10000","10000","7","-47891.9","-46674.9","2433.9","0.0504"
"64","T7_3","10000","10000","7","-47813.1","-46611.1","2403.9","0.0531"
