loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK	drv1	drv1max	drv1min	drv2	drv2max	drv2min	drv3
12	587	1	10	-21688.53	0.457165178026159	-21688.987165178	-21688.072834822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	587	2	10	-21773.47	56.8596332109953	-21830.329633211	-21716.610366789	-84.9400000000023	-28.5375319670332	-141.342468032971	370.379999999997	506.615556059664	234.144443940331	6.51393579388013	-84.9400000000023	-28.5375319670332	-141.342468032971	370.379999999997	506.615556059664	234.144443940331	6.51393579388013
12	587	3	10	-22228.79	249.497657303631	-22478.2876573036	-21979.2923426964	-455.32	-262.681975907364	-647.958024092636	96.880000000001	203.832123867053	-10.0721238670508	0.388300239156558	-455.32	-262.681975907364	-647.958024092636	96.880000000001	203.832123867053	-10.0721238670508	0.388300239156558
12	587	4	10	-22587.23	549.087805263319	-23136.3178052633	-22038.1421947367	-358.439999999999	-58.849852040311	-658.030147959686	214.839999999997	358.355379093096	71.3246209068968	0.391267112364604	-358.439999999999	-58.849852040311	-658.030147959686	214.839999999997	358.355379093096	71.3246209068968	0.391267112364604
12	587	5	10	-22730.83	393.013036396731	-23123.8430363967	-22337.8169636033	-143.600000000002	12.4747688665858	-299.67476886659	46.0299999999952	160.386159045478	-68.3261590454874	0.117120796862142	-143.600000000002	12.4747688665858	-299.67476886659	46.0299999999952	160.386159045478	-68.3261590454874	0.117120796862142
12	587	6	10	-22920.46	663.443964308801	-23583.9039643088	-22257.0160356912	-189.629999999997	80.8009279120732	-460.060927912068	546.780000000002	647.231018215488	446.328981784517	0.824154004580713	-189.629999999997	80.8009279120732	-460.060927912068	546.780000000002	647.231018215488	446.328981784517	0.824154004580713
12	587	7	10	-23656.87	1034.32591043636	-24691.1959104364	-22622.5440895636	-736.41	-365.528053872444	-1107.29194612756	599.699999999997	822.141396287176	377.258603712819	0.579797908907646	-736.41	-365.528053872444	-1107.29194612756	599.699999999997	822.141396287176	377.258603712819	0.579797908907646
12	587	8	10	-23793.58	1182.76646027674	-24976.3464602767	-22610.8135397233	-136.710000000003	11.7305498403748	-285.15054984038	449.170000000006	468.872129684678	429.467870315333	0.379762205883748	-136.710000000003	11.7305498403748	-285.15054984038	449.170000000006	468.872129684678	429.467870315333	0.379762205883748
12	587	9	10	-23481.12	1350.90913980179	-24832.0291398018	-22130.2108601982	312.460000000003	480.602679525053	144.317320474952	1224.91	2291.2158791358	158.604120864207	0.906730115231681	312.460000000003	480.602679525053	144.317320474952	1224.91	2291.2158791358	158.604120864207	0.906730115231681
12	587	10	10	-24393.57	2585.35769846263	-26978.9276984626	-21808.2123015374	-912.450000000001	321.998558660847	-2146.89855866085	3297.17	15619.9166190792	-9025.57661907922	1.27532449454118	-912.450000000001	321.998558660847	-2146.89855866085	3297.17	15619.9166190792	-9025.57661907922	1.27532449454118
12	587	11	10	-28603.19	16142.5528762027	-44745.7428762027	-12460.6371237973	-4209.62	9347.57517774007	-17766.8151777401	8326.83	8948.68026939596	7704.97973060403	0.515831050011636	-4209.62	9347.57517774007	-17766.8151777401	8326.83	8948.68026939596	7704.97973060403	0.515831050011636
12	587	12	10	-24485.98	1963.50742906667	-26449.4874290667	-22522.4725709333	4117.21	18296.255447136	-10061.835447136	NA	NA	NA	NA	4117.21	18296.255447136	-10061.835447136	NA	NA	NA	NA
