1:    0.928 0.072 1    
2:    0.957 0.043 1    
3:    0.754 0.246 1    
4:    0.864 0.136 1    
5:    0.839 0.161 1    
6:    0.929 0.071 1    
7:    0.583 0.417 1    
8:    0.814 0.186 1    
9:    0.895 0.105 1    
10:   0.223 0.777 1    
11:   0.901 0.099 1    
12:   0.701 0.299 1    
13:   0.163 0.837 1    
14:   0.799 0.201 1    
15:   0.143 0.857 1    
16:   0.297 0.703 1    
17:   0.913 0.087 1    
18:   0.098 0.902 1    
19:   0.221 0.779 1    
20:   0.251 0.749 1    
21:   0.268 0.732 1    
22:   0.460 0.540 1    
23:   0.483 0.517 1    
24:   0.338 0.662 1    
25:   0.185 0.815 1    
26:   0.100 0.900 1    
27:   0.932 0.068 1    
28:   0.611 0.389 1    
29:   0.490 0.510 1    
30:   0.388 0.612 1    
31:   0.266 0.734 1    
32:   0.552 0.448 1    
33:   0.914 0.086 1    
34:   0.413 0.587 1    
35:   0.495 0.505 1    
36:   0.416 0.584 1    
37:   0.119 0.881 1    
38:   0.871 0.129 1    
39:   0.893 0.107 1    
40:   0.263 0.737 1    
41:   0.230 0.770 1    
42:   0.802 0.198 1    
43:   0.277 0.723 1    
44:   0.146 0.854 1    
45:   0.962 0.038 1    
46:   0.942 0.058 1    
47:   0.724 0.276 1    
48:   0.376 0.624 1    
49:   0.962 0.038 1    
50:   0.601 0.399 1    
51:   0.965 0.035 1    
52:   0.941 0.059 1    
53:   0.797 0.203 1    
54:   0.979 0.021 1    
55:   0.818 0.182 1    
56:   0.477 0.523 1    
57:   0.221 0.779 1    
58:   0.578 0.422 1    
59:   0.570 0.430 1    
60:   0.852 0.148 1    
61:   0.482 0.518 1    
62:   0.511 0.489 1    
63:   0.411 0.589 1    
64:   0.601 0.399 1    
65:   0.971 0.029 1    
66:   0.268 0.732 1    
67:   0.099 0.901 1    
68:   0.794 0.206 1    
69:   0.135 0.865 1    
70:   0.537 0.463 1    
71:   0.898 0.102 1    
72:   0.734 0.266 1    
73:   0.589 0.411 1    
74:   0.965 0.035 1    
75:   0.840 0.160 1    
76:   0.971 0.029 1    
77:   0.889 0.111 1    
78:   0.648 0.352 1    
79:   0.491 0.509 1    
80:   0.922 0.078 1    
81:   0.262 0.738 1    
82:   0.940 0.060 1    
83:   0.904 0.096 1    
84:   0.945 0.055 1    
85:   0.891 0.109 1    
86:   0.823 0.177 1    
87:   0.969 0.031 1    
88:   0.840 0.160 1    
89:   0.943 0.057 1    
90:   0.262 0.738 1    
91:   0.768 0.232 1    
92:   0.969 0.031 1    
93:   0.661 0.339 1    
94:   0.819 0.181 1    
95:   0.945 0.055 1    
96:   0.139 0.861 1    
97:   0.254 0.746 1    
98:   0.963 0.037 1    
99:   0.321 0.679 1    
100:  0.472 0.528 1    
101:  0.734 0.266 1    
102:  0.265 0.735 1    
103:  0.098 0.902 1    
104:  0.853 0.147 1    
105:  0.571 0.429 1    
106:  0.120 0.880 1    
107:  0.791 0.209 1    
108:  0.571 0.429 1    
109:  0.906 0.094 1    
110:  0.706 0.294 1    
111:  0.931 0.069 1    
112:  0.730 0.270 1    
113:  0.764 0.236 1    
114:  0.667 0.333 1    
115:  0.762 0.238 1    
116:  0.719 0.281 1    
117:  0.552 0.448 1    
118:  0.408 0.592 1    
119:  0.630 0.370 1    
120:  0.947 0.053 1    
121:  0.201 0.799 1    
122:  0.507 0.493 1    
123:  0.699 0.301 1    
124:  0.165 0.835 1    
125:  0.506 0.494 1    
126:  0.251 0.749 1    
127:  0.621 0.379 1    
128:  0.570 0.430 1    
129:  0.839 0.161 1    
130:  0.355 0.645 1    
131:  0.918 0.082 1    
132:  0.705 0.295 1    
133:  0.214 0.786 1    
134:  0.794 0.206 1    
135:  0.136 0.864 1    
136:  0.602 0.398 1    
137:  0.828 0.172 1    
138:  0.927 0.073 1    
139:  0.777 0.223 1    
140:  0.489 0.511 1    
141:  0.564 0.436 1    
142:  0.950 0.050 1    
143:  0.275 0.725 1    
144:  0.942 0.058 1    
145:  0.432 0.568 1    
146:  0.687 0.313 1    
147:  0.909 0.091 1    
148:  0.275 0.725 1    
149:  0.840 0.160 1    
150:  0.826 0.174 1    
151:  0.386 0.614 1    
152:  0.796 0.204 1    
153:  0.615 0.385 1    
154:  0.051 0.949 1    
155:  0.512 0.488 1    
156:  0.301 0.699 1    
157:  0.787 0.213 1    
158:  0.826 0.174 1    
159:  0.513 0.487 1    
160:  0.073 0.927 1    
161:  0.542 0.458 1    
162:  0.653 0.347 1    
163:  0.062 0.938 1    
164:  0.473 0.527 1    
165:  0.278 0.722 1    
166:  0.284 0.716 1    
167:  0.932 0.068 1    
168:  0.486 0.514 1    
169:  0.296 0.704 1    
170:  0.454 0.546 1    
171:  0.571 0.429 1    
172:  0.744 0.256 1    
173:  0.853 0.147 1    
174:  0.143 0.857 1    
175:  0.129 0.871 1    
176:  0.876 0.124 1    
177:  0.360 0.640 1    
178:  0.727 0.273 1    
179:  0.654 0.346 1    
180:  0.350 0.650 1    
181:  0.445 0.555 1    
182:  0.931 0.069 1    
183:  0.152 0.848 1    
184:  0.418 0.582 1    
185:  0.208 0.792 1    
186:  0.874 0.126 1    
187:  0.229 0.771 1    
188:  0.094 0.906 1    
189:  0.060 0.940 1    
190:  0.900 0.100 1    
