"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","run_id","burnin","iterations","k","ln_prob_data","mean_llh","var_llh","mean_alpha"
"2","T1_1","10000","10000","1","-7470.7","-7447.7","46.1","0.0004"
"3","T1_2","10000","10000","1","-7471.0","-7447.9","46.1","0.0008"
"4","T1_3","10000","10000","1","-7470.6","-7447.7","45.8","0.0026"
"5","T1_4","10000","10000","1","-7470.8","-7447.8","46.1","0.0024"
"6","T1_5","10000","10000","1","-7470.6","-7447.7","45.9","0.0008"
"7","T1_6","10000","10000","1","-7470.4","-7447.8","45.4","0.0028"
"8","T1_7","10000","10000","1","-7471.8","-7447.9","47.8","0.0024"
"9","T1_8","10000","10000","1","-7471.2","-7447.8","46.8","0.0004"
"10","T1_9","10000","10000","1","-7471.3","-7448.0","46.6","0.0041"
"11","T1_10","10000","10000","1","-7472.6","-7448.3","48.5","0.0005"
"12","T2_1","10000","10000","2","-7525.0","-7347.1","355.9","0.9453"
"13","T2_2","10000","10000","2","-7559.3","-7352.2","414.1","1.0485"
"14","T2_3","10000","10000","2","-7524.7","-7324.7","399.9","0.2968"
"15","T2_4","10000","10000","2","-7512.7","-7320.1","385.1","0.3661"
"16","T2_5","10000","10000","2","-7498.8","-7317.5","362.5","0.1732"
"17","T2_6","10000","10000","2","-7504.9","-7330.9","348.1","0.4761"
"18","T2_7","10000","10000","2","-7559.3","-7322.7","473.2","0.4345"
"19","T2_8","10000","10000","2","-7557.3","-7332.6","449.5","0.7542"
"20","T2_9","10000","10000","2","-7521.2","-7320.4","401.6","0.1723"
"21","T2_10","10000","10000","2","-7502.7","-7321.3","362.8","0.3539"
"22","T3_1","10000","10000","3","-7906.8","-7248.1","1317.5","0.4456"
"23","T3_2","10000","10000","3","-7491.5","-7203.7","575.5","0.1513"
"24","T3_3","10000","10000","3","-7641.6","-7223.2","836.7","0.3213"
"25","T3_4","10000","10000","3","-7819.5","-7247.8","1143.4","0.2428"
"26","T3_5","10000","10000","3","-7626.8","-7209.7","834.4","0.1268"
"27","T3_6","10000","10000","3","-7503.0","-7201.0","604.1","0.1424"
"28","T3_7","10000","10000","3","-7587.8","-7259.9","655.9","0.4687"
"29","T3_8","10000","10000","3","-7765.1","-7231.7","1066.6","0.1636"
"30","T3_9","10000","10000","3","-7503.7","-7220.0","567.4","0.1573"
"31","T3_10","10000","10000","3","-7660.8","-7214.5","892.7","0.2197"
"32","T4_1","10000","10000","4","-7438.3","-7095.7","685.3","0.0492"
"33","T4_2","10000","10000","4","-7512.5","-7124.2","776.5","0.0518"
"34","T4_3","10000","10000","4","-7504.5","-7143.6","721.9","0.0456"
"35","T4_4","10000","10000","4","-7625.1","-7100.4","1049.5","0.0549"
"36","T4_5","10000","10000","4","-7511.9","-7091.1","841.7","0.0868"
"37","T4_6","10000","10000","4","-7570.4","-7117.5","905.9","0.0475"
"38","T4_7","10000","10000","4","-8019.6","-7128.8","1781.6","0.0459"
"39","T4_8","10000","10000","4","-7651.8","-7120.8","1062.0","0.0500"
"40","T4_9","10000","10000","4","-7590.5","-7143.2","894.5","0.0561"
"41","T4_10","10000","10000","4","-7545.5","-7101.9","887.2","0.0490"
"42","T5_1","10000","10000","5","-8198.1","-7068.5","2259.4","0.0529"
"43","T5_2","10000","10000","5","-7618.3","-7038.9","1158.8","0.0549"
"44","T5_3","10000","10000","5","-7741.4","-7068.9","1345.0","0.0553"
"45","T5_4","10000","10000","5","-7638.0","-7043.6","1188.8","0.0511"
"46","T5_5","10000","10000","5","-7593.4","-7066.0","1054.8","0.0529"
"47","T5_6","10000","10000","5","-8759.6","-7084.2","3350.8","0.0474"
"48","T5_7","10000","10000","5","-7868.8","-7059.0","1619.6","0.0534"
"49","T5_8","10000","10000","5","-7733.4","-7048.3","1370.3","0.0616"
"50","T5_9","10000","10000","5","-7733.2","-7054.0","1358.4","0.0481"
"51","T5_10","10000","10000","5","-7582.5","-7058.4","1048.2","0.0501"
"52","T6_1","10000","10000","6","-7762.4","-7012.5","1499.9","0.0532"
"53","T6_2","10000","10000","6","-7572.0","-7014.3","1115.4","0.0482"
"54","T6_3","10000","10000","6","-7623.2","-7025.1","1196.2","0.0510"
"55","T6_4","10000","10000","6","-8000.9","-6996.3","2009.3","0.0650"
"56","T6_5","10000","10000","6","-7761.6","-7069.3","1384.7","0.0460"
"57","T6_6","10000","10000","6","-8735.2","-7060.2","3350.0","0.0503"
"58","T6_7","10000","10000","6","-7766.8","-6998.3","1536.9","0.0495"
"59","T6_8","10000","10000","6","-7735.9","-7026.6","1418.6","0.0515"
"60","T6_9","10000","10000","6","-8565.9","-7084.6","2962.7","0.0445"
"61","T6_10","10000","10000","6","-7795.0","-7003.9","1582.2","0.0511"
"62","T7_1","10000","10000","7","-8038.0","-6968.4","2139.3","0.0605"
"63","T7_2","10000","10000","7","-7851.9","-7013.2","1677.4","0.0519"
"64","T7_3","10000","10000","7","-7507.7","-7422.0","171.3","4.3655"
"65","T7_4","10000","10000","7","-7746.9","-6968.8","1556.3","0.0476"
"66","T7_5","10000","10000","7","-7594.1","-7043.0","1102.1","0.0515"
"67","T7_6","10000","10000","7","-7718.7","-7005.0","1427.3","0.0536"
"68","T7_7","10000","10000","7","-10886.8","-7063.9","7645.8","0.2466"
"69","T7_8","10000","10000","7","-7751.9","-7006.6","1490.6","0.0545"
"70","T7_9","10000","10000","7","-7949.2","-6979.7","1938.9","0.0484"
"71","T7_10","10000","10000","7","-7767.1","-6986.5","1561.1","0.0500"
