"site.x","site.y","Fst","LL","UL","Significance","pop.x","abb.x","pop.y","abb.y","Sig"
1,2,0.0043,0.00223697039133429,0.00622155913599841,"significant","Koskenpää","KOS","Kummunsuo","KUM",""
1,3,0,-0.0203912782460108,0.01284922630702,"insignificant","Koskenpää","KOS","Lauttasuo","LAU","NS"
2,3,0,-0.0331804537439742,0.00277871584740332,"insignificant","Kummunsuo","KUM","Lauttasuo","LAU","NS"
1,4,0.003,0.000482597522895105,0.00589810689502076,"significant","Koskenpää","KOS","Lehtusuo","LEH",""
2,4,0.0033,0.00021616412004991,0.00582994201820509,"significant","Kummunsuo","KUM","Lehtusuo","LEH",""
3,4,0,-0.0287045165963852,0.00909286579869305,"insignificant","Lauttasuo","LAU","Lehtusuo","LEH","NS"
1,5,0.0022,0.000346266640761676,0.00425642217360893,"significant","Koskenpää","KOS","Nyrölä","NYR",""
2,5,0.0059,0.00326122722060286,0.00833941630310961,"significant","Kummunsuo","KUM","Nyrölä","NYR",""
3,5,0,-0.0208867429038681,0.0154467884252949,"insignificant","Lauttasuo","LAU","Nyrölä","NYR","NS"
4,5,0.0032,0.000515162501470185,0.00672876739206004,"significant","Lehtusuo","LEH","Nyrölä","NYR",""
1,6,0,-0.00431580372879069,0.00318312874813192,"insignificant","Koskenpää","KOS","Palosuo","PAL","NS"
2,6,0,-0.00583489813772091,0.00326684345271721,"insignificant","Kummunsuo","KUM","Palosuo","PAL","NS"
3,6,0,-0.0281313593216046,0.0107254990964269,"insignificant","Lauttasuo","LAU","Palosuo","PAL","NS"
4,6,0,-0.00747614738929615,0.000756950838130201,"insignificant","Lehtusuo","LEH","Palosuo","PAL","NS"
5,6,0,-0.0058120206263811,-0.00020647947682836,"significant","Nyrölä","NYR","Palosuo","PAL",""
1,7,0.0123,-0.000297647889125527,0.0245869243661684,"insignificant","Koskenpää","KOS","Pihtissuo","PIH","NS"
2,7,0.0086,-0.00230783336641558,0.0192041206318814,"insignificant","Kummunsuo","KUM","Pihtissuo","PIH","NS"
3,7,0,-0.0174775105562695,0.0183737699995519,"insignificant","Lauttasuo","LAU","Pihtissuo","PIH","NS"
4,7,0.0068,-0.00386128792589078,0.0173250427953727,"insignificant","Lehtusuo","LEH","Pihtissuo","PIH","NS"
5,7,0.0077,-0.00211366221761729,0.0184758899564062,"insignificant","Nyrölä","NYR","Pihtissuo","PIH","NS"
6,7,0.0095,-0.00466194089869205,0.0254781262923307,"insignificant","Palosuo","PAL","Pihtissuo","PIH","NS"
1,8,0,-0.00430321614164479,0.00387752494675072,"insignificant","Koskenpää","KOS","Pirttilampi","PIL","NS"
2,8,0,-0.00989025776285486,0.0018151802619062,"insignificant","Kummunsuo","KUM","Pirttilampi","PIL","NS"
3,8,0,-0.0458348712227125,0.00831593458489525,"insignificant","Lauttasuo","LAU","Pirttilampi","PIL","NS"
4,8,0,-0.0101699458871836,0.00476855967627378,"insignificant","Lehtusuo","LEH","Pirttilampi","PIL","NS"
5,8,0.0022,-0.00167490956099811,0.00811170194199361,"insignificant","Nyrölä","NYR","Pirttilampi","PIL","NS"
6,8,0,-0.0104089486816444,0.00919686347168865,"insignificant","Palosuo","PAL","Pirttilampi","PIL","NS"
7,8,0.0137,0.0023240352251496,0.0244160611097162,"significant","Pihtissuo","PIH","Pirttilampi","PIL",""
1,9,0.0034,-0.00112333091089309,0.00697593652659684,"insignificant","Koskenpää","KOS","Pirttisuo","PIS","NS"
2,9,0,-0.00588369141328853,0.000925951407166247,"insignificant","Kummunsuo","KUM","Pirttisuo","PIS","NS"
3,9,0,-0.025260570721812,0.00368150042398553,"insignificant","Lauttasuo","LAU","Pirttisuo","PIS","NS"
4,9,0,-0.00601871898967518,0.0035376560673151,"insignificant","Lehtusuo","LEH","Pirttisuo","PIS","NS"
5,9,0.0048,-0.000755586008576244,0.00880013801802731,"insignificant","Nyrölä","NYR","Pirttisuo","PIS","NS"
6,9,0,-0.00926576267924877,0.000687154344756909,"insignificant","Palosuo","PAL","Pirttisuo","PIS","NS"
7,9,0.0079,-0.00788485160888145,0.0265840104127268,"insignificant","Pihtissuo","PIH","Pirttisuo","PIS","NS"
8,9,0.0056,-0.00318851556484227,0.0135977727670585,"insignificant","Pirttilampi","PIL","Pirttisuo","PIS","NS"
1,10,0.004,1.40820888071544e-05,0.00847595201207211,"significant","Koskenpää","KOS","Saarisuo","SAA",""
2,10,0.0032,-0.000831972679033419,0.00899529557331219,"insignificant","Kummunsuo","KUM","Saarisuo","SAA","NS"
3,10,0,-0.0201760310231595,0.00548202796251754,"insignificant","Lauttasuo","LAU","Saarisuo","SAA","NS"
4,10,0.0028,-0.000892926821972579,0.00822066783607706,"insignificant","Lehtusuo","LEH","Saarisuo","SAA","NS"
5,10,0.003,0.000778379036387035,0.0055423743290456,"significant","Nyrölä","NYR","Saarisuo","SAA",""
6,10,2e-04,-0.00290440497626788,0.0046401456571973,"insignificant","Palosuo","PAL","Saarisuo","SAA","NS"
7,10,0.0061,-0.00224814743976913,0.0152974227408549,"insignificant","Pihtissuo","PIH","Saarisuo","SAA","NS"
8,10,0,-0.00510929334366918,0.0094337621563586,"insignificant","Pirttilampi","PIL","Saarisuo","SAA","NS"
9,10,0.0019,-0.00461937566139568,0.00690968685102372,"insignificant","Pirttisuo","PIS","Saarisuo","SAA","NS"
1,11,0.0032,0.00124929077473536,0.00507515615279798,"significant","Koskenpää","KOS","Teerisuo","TEE",""
2,11,0.0061,0.00295219986363343,0.00986456348317758,"significant","Kummunsuo","KUM","Teerisuo","TEE",""
3,11,0,-0.0190534418462696,0.0117682404656919,"insignificant","Lauttasuo","LAU","Teerisuo","TEE","NS"
4,11,0.001,-0.000508380680124654,0.00349288814383315,"insignificant","Lehtusuo","LEH","Teerisuo","TEE","NS"
5,11,0.0024,0.000106472673340434,0.00481286352571002,"significant","Nyrölä","NYR","Teerisuo","TEE",""
6,11,0,-0.00501632513432819,0.00205377270093277,"insignificant","Palosuo","PAL","Teerisuo","TEE","NS"
7,11,0.0141,0.00196132703237542,0.0269209613523828,"significant","Pihtissuo","PIH","Teerisuo","TEE",""
8,11,2e-04,-0.00209808441637927,0.00497838423726103,"insignificant","Pirttilampi","PIL","Teerisuo","TEE","NS"
9,11,0.0028,-0.00171430242194396,0.00690858458036992,"insignificant","Pirttisuo","PIS","Teerisuo","TEE","NS"
10,11,0.0016,-0.000714925785530942,0.00423418019854647,"insignificant","Saarisuo","SAA","Teerisuo","TEE","NS"
1,12,0.0098,0.00306282823102846,0.022052122659354,"significant","Koskenpää","KOS","Utusuo","UTU",""
2,12,0.0061,0.00197328503401453,0.0114381246859208,"significant","Kummunsuo","KUM","Utusuo","UTU",""
3,12,0,-0.050409092281161,0.014927431761051,"insignificant","Lauttasuo","LAU","Utusuo","UTU","NS"
4,12,0.0096,0.00187928501150505,0.0187105147582166,"significant","Lehtusuo","LEH","Utusuo","UTU",""
5,12,0.0113,0.00240104861205268,0.0261037124812207,"significant","Nyrölä","NYR","Utusuo","UTU",""
6,12,0.0025,-0.00672352266874574,0.0112194164965893,"insignificant","Palosuo","PAL","Utusuo","UTU","NS"
7,12,0,-0.0104929522362433,0.00343072371854358,"insignificant","Pihtissuo","PIH","Utusuo","UTU","NS"
8,12,0.0032,-0.0130217769313197,0.0142751855697835,"insignificant","Pirttilampi","PIL","Utusuo","UTU","NS"
9,12,0.0041,-0.00400518220968098,0.0113108318110025,"insignificant","Pirttisuo","PIS","Utusuo","UTU","NS"
10,12,0.0113,0.000705326128490009,0.0334383309802037,"significant","Saarisuo","SAA","Utusuo","UTU",""
11,12,0.0152,0.00463822607507051,0.0340907899898634,"significant","Teerisuo","TEE","Utusuo","UTU",""
