"pop_in","pop_out","migration_ESSc"
"Koskenpää","Koskenpää",NA
"Koskenpää","Kummunsuo",NA
"Koskenpää","Lauttasuo",0.0031
"Koskenpää","Lehtusuo",NA
"Koskenpää","Nyrölä",NA
"Koskenpää","Palosuo",0.0032
"Koskenpää","Pihtissuo",0.0031
"Koskenpää","Pirttilampi",0.003
"Koskenpää","Pirttisuo",0.0056
"Koskenpää","Saarisuo",0.0058
"Koskenpää","Teerisuo",NA
"Koskenpää","Utusuo",0.003
"Kummunsuo","Koskenpää",NA
"Kummunsuo","Kummunsuo",NA
"Kummunsuo","Lauttasuo",0.0023
"Kummunsuo","Lehtusuo",NA
"Kummunsuo","Nyrölä",NA
"Kummunsuo","Palosuo",0.0022
"Kummunsuo","Pihtissuo",0.0023
"Kummunsuo","Pirttilampi",0.0022
"Kummunsuo","Pirttisuo",0.0036
"Kummunsuo","Saarisuo",NA
"Kummunsuo","Teerisuo",NA
"Kummunsuo","Utusuo",0.0022
"Lauttasuo","Koskenpää",0.0093
"Lauttasuo","Kummunsuo",0.0096
"Lauttasuo","Lauttasuo",0.6735
"Lauttasuo","Lehtusuo",NA
"Lauttasuo","Nyrölä",NA
"Lauttasuo","Palosuo",0.0067
"Lauttasuo","Pihtissuo",0.0072
"Lauttasuo","Pirttilampi",0.0067
"Lauttasuo","Pirttisuo",NA
"Lauttasuo","Saarisuo",NA
"Lauttasuo","Teerisuo",NA
"Lauttasuo","Utusuo",0.0068
"Lehtusuo","Koskenpää",0.0043
"Lehtusuo","Kummunsuo",NA
"Lehtusuo","Lauttasuo",0.0029
"Lehtusuo","Lehtusuo",NA
"Lehtusuo","Nyrölä",NA
"Lehtusuo","Palosuo",0.003
"Lehtusuo","Pihtissuo",0.003
"Lehtusuo","Pirttilampi",0.0028
"Lehtusuo","Pirttisuo",0.0038
"Lehtusuo","Saarisuo",NA
"Lehtusuo","Teerisuo",NA
"Lehtusuo","Utusuo",0.0029
"Nyrölä","Koskenpää",NA
"Nyrölä","Kummunsuo",NA
"Nyrölä","Lauttasuo",0.0024
"Nyrölä","Lehtusuo",NA
"Nyrölä","Nyrölä",NA
"Nyrölä","Palosuo",0.0023
"Nyrölä","Pihtissuo",0.0022
"Nyrölä","Pirttilampi",0.002
"Nyrölä","Pirttisuo",NA
"Nyrölä","Saarisuo",NA
"Nyrölä","Teerisuo",NA
"Nyrölä","Utusuo",0.002
"Palosuo","Koskenpää",0.0127
"Palosuo","Kummunsuo",NA
"Palosuo","Lauttasuo",0.007
"Palosuo","Lehtusuo",NA
"Palosuo","Nyrölä",NA
"Palosuo","Palosuo",0.6736
"Palosuo","Pihtissuo",0.0069
"Palosuo","Pirttilampi",0.007
"Palosuo","Pirttisuo",NA
"Palosuo","Saarisuo",0.0098
"Palosuo","Teerisuo",NA
"Palosuo","Utusuo",0.0068
"Pihtissuo","Koskenpää",0.009
"Pihtissuo","Kummunsuo",NA
"Pihtissuo","Lauttasuo",0.0054
"Pihtissuo","Lehtusuo",NA
"Pihtissuo","Nyrölä",NA
"Pihtissuo","Palosuo",0.0055
"Pihtissuo","Pihtissuo",0.6721
"Pihtissuo","Pirttilampi",0.0053
"Pihtissuo","Pirttisuo",NA
"Pihtissuo","Saarisuo",0.0065
"Pihtissuo","Teerisuo",NA
"Pihtissuo","Utusuo",0.0053
"Pirttilampi","Koskenpää",0.0111
"Pirttilampi","Kummunsuo",0.0121
"Pirttilampi","Lauttasuo",0.0103
"Pirttilampi","Lehtusuo",NA
"Pirttilampi","Nyrölä",NA
"Pirttilampi","Palosuo",0.0105
"Pirttilampi","Pihtissuo",0.0105
"Pirttilampi","Pirttilampi",0.6771
"Pirttilampi","Pirttisuo",0.0106
"Pirttilampi","Saarisuo",NA
"Pirttilampi","Teerisuo",NA
"Pirttilampi","Utusuo",0.0104
"Pirttisuo","Koskenpää",0.0066
"Pirttisuo","Kummunsuo",NA
"Pirttisuo","Lauttasuo",0.0045
"Pirttisuo","Lehtusuo",NA
"Pirttisuo","Nyrölä",NA
"Pirttisuo","Palosuo",0.0044
"Pirttisuo","Pihtissuo",0.0046
