"pop_in","pop_out","migration"
"Koskenpää","Koskenpää",0.698
"Koskenpää","Kummunsuo",0.0059
"Koskenpää","Lauttasuo",0.0031
"Koskenpää","Lehtusuo",0.0372
"Koskenpää","Nyrölä",0.2007
"Koskenpää","Palosuo",0.0032
"Koskenpää","Pihtissuo",0.0031
"Koskenpää","Pirttilampi",0.003
"Koskenpää","Pirttisuo",0.0056
"Koskenpää","Saarisuo",0.0058
"Koskenpää","Teerisuo",0.0314
"Koskenpää","Utusuo",0.003
"Kummunsuo","Koskenpää",0.007
"Kummunsuo","Kummunsuo",0.6809
"Kummunsuo","Lauttasuo",0.0023
"Kummunsuo","Lehtusuo",0.011
"Kummunsuo","Nyrölä",0.2573
"Kummunsuo","Palosuo",0.0022
"Kummunsuo","Pihtissuo",0.0023
"Kummunsuo","Pirttilampi",0.0022
"Kummunsuo","Pirttisuo",0.0036
"Kummunsuo","Saarisuo",0.0049
"Kummunsuo","Teerisuo",0.0241
"Kummunsuo","Utusuo",0.0022
"Lauttasuo","Koskenpää",0.0093
"Lauttasuo","Kummunsuo",0.0096
"Lauttasuo","Lauttasuo",0.6735
"Lauttasuo","Lehtusuo",0.1136
"Lauttasuo","Nyrölä",0.1063
"Lauttasuo","Palosuo",0.0067
"Lauttasuo","Pihtissuo",0.0072
"Lauttasuo","Pirttilampi",0.0067
"Lauttasuo","Pirttisuo",0.0142
"Lauttasuo","Saarisuo",0.0215
"Lauttasuo","Teerisuo",0.0246
"Lauttasuo","Utusuo",0.0068
"Lehtusuo","Koskenpää",0.0043
"Lehtusuo","Kummunsuo",0.0093
"Lehtusuo","Lauttasuo",0.0029
"Lehtusuo","Lehtusuo",0.6818
"Lehtusuo","Nyrölä",0.1048
"Lehtusuo","Palosuo",0.003
"Lehtusuo","Pihtissuo",0.003
"Lehtusuo","Pirttilampi",0.0028
"Lehtusuo","Pirttisuo",0.0038
"Lehtusuo","Saarisuo",0.017
"Lehtusuo","Teerisuo",0.1643
"Lehtusuo","Utusuo",0.0029
"Nyrölä","Koskenpää",0.0042
"Nyrölä","Kummunsuo",0.0098
"Nyrölä","Lauttasuo",0.0024
"Nyrölä","Lehtusuo",0.0242
"Nyrölä","Nyrölä",0.9242
"Nyrölä","Palosuo",0.0023
"Nyrölä","Pihtissuo",0.0022
"Nyrölä","Pirttilampi",0.002
"Nyrölä","Pirttisuo",0.0085
"Nyrölä","Saarisuo",0.0051
"Nyrölä","Teerisuo",0.0131
"Nyrölä","Utusuo",0.002
"Palosuo","Koskenpää",0.0127
"Palosuo","Kummunsuo",0.0136
"Palosuo","Lauttasuo",0.007
"Palosuo","Lehtusuo",0.0243
"Palosuo","Nyrölä",0.1742
"Palosuo","Palosuo",0.6736
"Palosuo","Pihtissuo",0.0069
"Palosuo","Pirttilampi",0.007
"Palosuo","Pirttisuo",0.0387
"Palosuo","Saarisuo",0.0098
"Palosuo","Teerisuo",0.0255
"Palosuo","Utusuo",0.0068
"Pihtissuo","Koskenpää",0.009
"Pihtissuo","Kummunsuo",0.0189
"Pihtissuo","Lauttasuo",0.0054
"Pihtissuo","Lehtusuo",0.1196
"Pihtissuo","Nyrölä",0.1249
"Pihtissuo","Palosuo",0.0055
"Pihtissuo","Pihtissuo",0.6721
"Pihtissuo","Pirttilampi",0.0053
"Pihtissuo","Pirttisuo",0.0085
"Pihtissuo","Saarisuo",0.0065
"Pihtissuo","Teerisuo",0.019
"Pihtissuo","Utusuo",0.0053
"Pirttilampi","Koskenpää",0.0111
"Pirttilampi","Kummunsuo",0.0121
"Pirttilampi","Lauttasuo",0.0103
"Pirttilampi","Lehtusuo",0.0631
"Pirttilampi","Nyrölä",0.0598
"Pirttilampi","Palosuo",0.0105
"Pirttilampi","Pihtissuo",0.0105
"Pirttilampi","Pirttilampi",0.6771
"Pirttilampi","Pirttisuo",0.0106
"Pirttilampi","Saarisuo",0.0229
"Pirttilampi","Teerisuo",0.1016
"Pirttilampi","Utusuo",0.0104
"Pirttisuo","Koskenpää",0.0066
"Pirttisuo","Kummunsuo",0.0376
"Pirttisuo","Lauttasuo",0.0045
"Pirttisuo","Lehtusuo",0.0834
"Pirttisuo","Nyrölä",0.1372
"Pirttisuo","Palosuo",0.0044
"Pirttisuo","Pihtissuo",0.0046
"Pirttisuo","Pirttilampi",0.004
"Pirttisuo","Pirttisuo",0.6793
"Pirttisuo","Saarisuo",0.0099
"Pirttisuo","Teerisuo",0.0247
"Pirttisuo","Utusuo",0.0039
"Saarisuo","Koskenpää",0.0056
"Saarisuo","Kummunsuo",0.0158
"Saarisuo","Lauttasuo",0.0033
"Saarisuo","Lehtusuo",0.0467
"Saarisuo","Nyrölä",0.1932
"Saarisuo","Palosuo",0.0034
"Saarisuo","Pihtissuo",0.0034
"Saarisuo","Pirttilampi",0.0031
"Saarisuo","Pirttisuo",0.0045
"Saarisuo","Saarisuo",0.6759
"Saarisuo","Teerisuo",0.0418
"Saarisuo","Utusuo",0.0033
"Teerisuo","Koskenpää",0.0102
"Teerisuo","Kummunsuo",0.005
"Teerisuo","Lauttasuo",0.002
"Teerisuo","Lehtusuo",0.0389
"Teerisuo","Nyrölä",0.1855
"Teerisuo","Palosuo",0.0019
"Teerisuo","Pihtissuo",0.0021
"Teerisuo","Pirttilampi",0.0018
"Teerisuo","Pirttisuo",0.0039
"Teerisuo","Saarisuo",0.0058
"Teerisuo","Teerisuo",0.7408
"Teerisuo","Utusuo",0.002
"Utusuo","Koskenpää",0.0071
"Utusuo","Kummunsuo",0.012
"Utusuo","Lauttasuo",0.0059
"Utusuo","Lehtusuo",0.069
"Utusuo","Nyrölä",0.1704
"Utusuo","Palosuo",0.0059
"Utusuo","Pihtissuo",0.006
"Utusuo","Pirttilampi",0.0059
"Utusuo","Pirttisuo",0.0059
"Utusuo","Saarisuo",0.0118
"Utusuo","Teerisuo",0.0276
"Utusuo","Utusuo",0.6726
