"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","run_id","burnin","iterations","k","ln_prob_data","mean_llh","var_llh","mean_alpha"
"2","T1_1","10000","10000","1","-8491.4","-8473.6","35.7","0.0018"
"3","T1_2","10000","10000","1","-8491.5","-8473.4","36.2","0.0015"
"4","T1_3","10000","10000","1","-8492.6","-8473.5","38.2","0.0009"
"5","T1_4","10000","10000","1","-8491.9","-8473.6","36.6","0.0028"
"6","T1_5","10000","10000","1","-8492.0","-8473.6","36.8","0.0023"
"7","T1_6","10000","10000","1","-8492.0","-8473.6","36.9","0.0066"
"8","T1_7","10000","10000","1","-8493.8","-8473.9","39.9","0.0010"
"9","T1_8","10000","10000","1","-8492.2","-8473.7","36.9","0.0014"
"10","T1_9","10000","10000","1","-8493.7","-8473.6","40.2","0.0004"
"11","T1_10","10000","10000","1","-8492.3","-8473.5","37.5","0.0007"
"12","T2_1","10000","10000","2","-8141.5","-8068.7","145.5","0.0720"
"13","T2_2","10000","10000","2","-8149.6","-8067.8","163.6","0.1099"
"14","T2_3","10000","10000","2","-8104.8","-8040.6","128.4","0.0604"
"15","T2_4","10000","10000","2","-8112.9","-8041.4","143.1","0.0649"
"16","T2_5","10000","10000","2","-8110.4","-8041.2","138.4","0.0587"
"17","T2_6","10000","10000","2","-8107.4","-8041.0","132.8","0.0624"
"18","T2_7","10000","10000","2","-8111.7","-8042.3","138.7","0.0672"
"19","T2_8","10000","10000","2","-8103.9","-8040.8","126.2","0.0579"
"20","T2_9","10000","10000","2","-8145.7","-8067.7","156.1","0.0882"
"21","T2_10","10000","10000","2","-8146.0","-8066.6","158.8","0.0928"
"22","T3_1","10000","10000","3","-7843.0","-7722.2","241.6","0.0507"
"23","T3_2","10000","10000","3","-7831.1","-7718.8","224.6","0.0533"
"24","T3_3","10000","10000","3","-7826.1","-7722.5","207.2","0.0469"
"25","T3_4","10000","10000","3","-7841.1","-7733.7","214.8","0.0449"
"26","T3_5","10000","10000","3","-7837.9","-7722.7","230.5","0.0490"
"27","T3_6","10000","10000","3","-7857.0","-7733.5","246.9","0.0470"
"28","T3_7","10000","10000","3","-7843.6","-7738.7","209.9","0.0436"
"29","T3_8","10000","10000","3","-7835.6","-7722.0","227.3","0.0475"
"30","T3_9","10000","10000","3","-7837.4","-7719.7","235.4","0.0525"
"31","T3_10","10000","10000","3","-7833.1","-7731.1","203.9","0.0469"
"32","T4_1","10000","10000","4","-7575.9","-7452.0","247.8","0.0401"
"33","T4_2","10000","10000","4","-7688.9","-7548.2","281.4","0.0414"
"34","T4_3","10000","10000","4","-7582.7","-7451.9","261.6","0.0390"
"35","T4_4","10000","10000","4","-7578.1","-7448.2","259.8","0.0405"
"36","T4_5","10000","10000","4","-7575.2","-7449.1","252.2","0.0393"
"37","T4_6","10000","10000","4","-7571.9","-7450.9","242.0","0.0375"
"38","T4_7","10000","10000","4","-7594.5","-7473.5","242.0","0.0390"
"39","T4_8","10000","10000","4","-7589.6","-7449.9","279.3","0.0418"
"40","T4_9","10000","10000","4","-7581.2","-7452.7","257.1","0.0400"
"41","T4_10","10000","10000","4","-7703.9","-7559.6","288.4","0.0403"
"42","T5_1","10000","10000","5","-7470.7","-7310.8","319.8","0.0376"
"43","T5_2","10000","10000","5","-7409.6","-7265.7","287.9","0.0350"
"44","T5_3","10000","10000","5","-7554.5","-7388.9","331.1","0.0396"
"45","T5_4","10000","10000","5","-7453.4","-7302.1","302.6","0.0366"
"46","T5_5","10000","10000","5","-7457.0","-7298.2","317.6","0.0390"
"47","T5_6","10000","10000","5","-7418.7","-7277.9","281.5","0.0363"
"48","T5_7","10000","10000","5","-7393.1","-7254.1","277.9","0.0352"
"49","T5_8","10000","10000","5","-7402.3","-7261.5","281.6","0.0358"
"50","T5_9","10000","10000","5","-7409.5","-7253.4","312.1","0.0362"
"51","T5_10","10000","10000","5","-7397.9","-7252.4","291.0","0.0354"
"52","T6_1","10000","10000","6","-7250.9","-7085.2","331.3","0.0342"
"53","T6_2","10000","10000","6","-7342.9","-7155.2","375.5","0.0346"
"54","T6_3","10000","10000","6","-7238.9","-7076.2","325.5","0.0350"
"55","T6_4","10000","10000","6","-7253.9","-7087.8","332.3","0.0341"
"56","T6_5","10000","10000","6","-7254.4","-7085.3","338.3","0.0356"
"57","T6_6","10000","10000","6","-7301.2","-7125.0","352.4","0.0339"
"58","T6_7","10000","10000","6","-7620.2","-7100.6","1039.2","0.0336"
"59","T6_8","10000","10000","6","-7354.1","-7148.6","411.0","0.0359"
"60","T6_9","10000","10000","6","-7265.1","-7112.8","304.6","0.0341"
"61","T6_10","10000","10000","6","-7244.3","-7072.0","344.5","0.0353"
"62","T7_1","10000","10000","7","-7200.5","-7011.2","378.5","0.0331"
"63","T7_2","10000","10000","7","-7168.8","-6927.3","483.1","0.0332"
"64","T7_3","10000","10000","7","-7129.9","-6945.6","368.6","0.0325"
"65","T7_4","10000","10000","7","-7214.9","-7005.8","418.2","0.0319"
"66","T7_5","10000","10000","7","-7110.1","-6923.8","372.4","0.0334"
"67","T7_6","10000","10000","7","-7144.3","-6952.1","384.4","0.0333"
"68","T7_7","10000","10000","7","-7136.9","-6941.2","391.3","0.0344"
"69","T7_8","10000","10000","7","-7135.4","-6951.5","367.8","0.0332"
"70","T7_9","10000","10000","7","-7150.0","-6911.9","476.0","0.0326"
"71","T7_10","10000","10000","7","-7107.9","-6913.9","388.0","0.0343"
"72","T8_1","10000","10000","8","-6984.8","-6775.4","418.6","0.0326"
"73","T8_2","10000","10000","8","-7087.2","-6877.0","420.4","0.0325"
"74","T8_3","10000","10000","8","-6975.1","-6776.3","397.6","0.0330"
"75","T8_4","10000","10000","8","-6978.8","-6786.4","384.7","0.0320"
"76","T8_5","10000","10000","8","-7152.3","-6781.2","742.2","0.0323"
"77","T8_6","10000","10000","8","-6998.7","-6791.7","414.0","0.0338"
"78","T8_7","10000","10000","8","-7016.8","-6819.7","394.2","0.0320"
"79","T8_8","10000","10000","8","-7008.6","-6800.0","417.2","0.0328"
"80","T8_9","10000","10000","8","-7021.7","-6820.8","401.8","0.0315"
"81","T8_10","10000","10000","8","-7044.6","-6833.6","421.8","0.0331"
"82","T9_1","10000","10000","9","-6911.6","-6688.8","445.5","0.0322"
"83","T9_2","10000","10000","9","-6931.1","-6669.7","522.8","0.0319"
"84","T9_3","10000","10000","9","-6903.4","-6666.7","473.4","0.0308"
"85","T9_4","10000","10000","9","-6897.7","-6668.9","457.6","0.0319"
"86","T9_5","10000","10000","9","-6885.2","-6652.8","464.7","0.0315"
"87","T9_6","10000","10000","9","-6944.7","-6719.9","449.6","0.0322"
"88","T9_7","10000","10000","9","-6933.1","-6718.7","428.6","0.0325"
"89","T9_8","10000","10000","9","-6852.8","-6634.0","437.6","0.0318"
"90","T9_9","10000","10000","9","-6901.0","-6686.4","429.2","0.0317"
"91","T9_10","10000","10000","9","-6851.2","-6651.1","400.2","0.0313"
"92","T10_1","10000","10000","10","-6820.6","-6574.0","493.1","0.0316"
"93","T10_2","10000","10000","10","-6772.4","-6543.5","457.8","0.0313"
"94","T10_3","10000","10000","10","-6741.4","-6527.2","428.4","0.0319"
"95","T10_4","10000","10000","10","-6802.1","-6565.4","473.4","0.0306"
"96","T10_5","10000","10000","10","-6773.9","-6543.4","460.9","0.0313"
