Site L01 L02 L03 L04 L05 L06 L07 L08 L09 L10 L11 L12 L13 L14
Hobs 1 0.34 0.83 0.82 0.73 0.79 0.84 0.84 0.21 0.83 0.67 0.81 0.75 0.78 0.19
Hexp 1 0.8 0.82 0.81 0.76 0.79 0.81 0.81 0.21 0.89 0.7 0.81 0.77 0.83 0.19
pexact 1 0 0.07 0.6 0.58 0.98 0.18 0.54 0.49 0.46 0.1 0.42 0.42 0.01 0.58
qval.FDR 1 0 0.31 0.64 0.64 0.98 0.5 0.64 0.64 0.64 0.36 0.64 0.64 0.04 0.64
qval.bon 1 0 0.94 1 1 1 1 1 1 1 1 1 1 0.08 1
Hobs.1 2 0.36 0.82 0.84 0.7 0.74 0.79 0.8 0.27 0.88 0.69 0.81 0.74 0.71 0.28
Hexp.1 2 0.81 0.81 0.82 0.72 0.79 0.8 0.81 0.27 0.88 0.69 0.8 0.76 0.82 0.27
pexact.1 2 0 0.73 0.61 0.09 0.36 0.91 0.12 0.23 0.08 0.41 0 0.1 0 0.72
qval.FDR.1 2 0 0.79 0.77 0.23 0.56 0.91 0.23 0.4 0.23 0.57 0.01 0.23 0 0.79
qval.bon.1 2 0 1 1 1 1 1 1 1 1 1 0.04 1 0 1
Hobs.2 3 0.7 0.74 0.83 0.72 0.72 0.83 0.7 0 0.89 0.83 0.85 0.85 0.5 0.11
Hexp.2 3 0.78 0.79 0.8 0.72 0.78 0.77 0.82 0 0.87 0.74 0.8 0.78 0.81 0.14
pexact.2 3 0.1 0.38 0.46 0.2 0.59 0.79 0 1 0.78 0.17 0 0.62 0.03 0.07
qval.FDR.2 3 0.29 0.66 0.72 0.39 0.79 0.86 0 1 0.86 0.39 0 0.79 0.13 0.23
qval.bon.2 3 1 1 1 1 1 1 0 1 1 1 0 1 0.38 0.94
Hobs.3 4 0.41 0.83 0.81 0.71 0.83 0.82 0.82 0.19 0.82 0.7 0.78 0.8 0.73 0.18
Hexp.3 4 0.78 0.77 0.83 0.73 0.8 0.8 0.79 0.19 0.84 0.73 0.8 0.8 0.82 0.18
pexact.3 4 0 0.27 0.45 0.53 0.88 0.09 0.67 0.09 0.5 0.86 0.13 0 0 0.49
qval.FDR.3 4 0 0.54 0.68 0.68 0.88 0.26 0.78 0.26 0.68 0.88 0.29 0 0 0.68
qval.bon.3 4 0 1 1 1 1 1 1 1 1 1 1 0.01 0 1
Hobs.4 5 0.44 0.8 0.8 0.78 0.77 0.79 0.83 0.12 0.87 0.67 0.82 0.78 0.73 0.18
Hexp.4 5 0.78 0.79 0.82 0.76 0.8 0.79 0.82 0.12 0.85 0.71 0.8 0.78 0.81 0.18
pexact.4 5 0 0.27 0.36 0.29 0.24 0.45 0.23 0.41 0.93 0.48 0.11 0.44 0 0.94
qval.FDR.4 5 0 0.56 0.56 0.56 0.56 0.56 0.56 0.56 0.94 0.56 0.51 0.56 0 0.94
qval.bon.4 5 0 1 1 1 1 1 1 1 1 1 1 1 0 1
Hobs.5 6 0.54 0.81 0.86 0.8 0.83 0.78 0.85 0.14 0.91 0.68 0.75 0.83 1 0.17
Hexp.5 6 0.79 0.8 0.83 0.76 0.77 0.81 0.83 0.13 0.88 0.72 0.77 0.79 0.5 0.16
pexact.5 6 0 0.29 1 0.69 0.36 0.14 0.1 1 0.75 0.92 0.54 0.92 1 1
qval.FDR.5 6 0.01 1 1 1 1 0.66 0.66 1 1 1 1 1 1 1
qval.bon.5 6 0.01 1 1 1 1 1 1 1 1 1 1 1 1 1
Hobs.6 7 0.74 0.81 0.9 0.73 0.77 0.87 0.77 NA 0.92 0.81 0.81 0.84 NA 0.19
Hexp.6 7 0.77 0.78 0.83 0.77 0.79 0.84 0.83 1 0.85 0.72 0.79 0.8 1 0.18
pexact.6 7 0.02 0.66 0.14 0.67 0.17 0.49 0.23 NA 0.57 0.34 0.72 0.66 NA 1
qval.FDR.6 7 0.29 0.79 0.68 0.79 0.68 0.79 0.7 NA 0.79 0.79 0.79 0.79 NA 1
qval.bon.6 7 0.29 1 1 1 1 1 1 NA 1 1 1 1 NA 1
Hobs.7 8 0.38 0.8 0.88 0.7 0.8 0.88 0.77 0.18 0.85 0.75 0.78 0.72 0.81 0.15
Hexp.7 8 0.77 0.77 0.83 0.69 0.8 0.8 0.79 0.17 0.85 0.75 0.8 0.79 0.82 0.14
pexact.7 8 0 0.53 0.56 0.38 0.11 0.34 0.87 1 0.36 0.95 0.87 0.13 0.01 1
qval.FDR.7 8 0 0.87 0.87 0.76 0.46 0.76 1 1 0.76 1 1 0.46 0.07 1
qval.bon.7 8 0 1 1 1 1 1 1 1 1 1 1 1 0.14 1
Hobs.8 9 0.65 0.87 0.9 0.7 0.79 0.75 0.81 0 0.9 0.73 0.76 0.77 NA 0.21
Hexp.8 9 0.76 0.8 0.83 0.74 0.81 0.76 0.84 0 0.87 0.67 0.75 0.79 1 0.2
pexact.8 9 0.01 0.18 0.75 0.04 0.39 0.04 0.83 1 0.12 0.24 0.24 0.91 NA 0.52
qval.FDR.8 9 0.1 0.45 0.98 0.2 0.63 0.2 0.98 1 0.4 0.45 0.45 0.98 NA 0.75
qval.bon.8 9 0.1 1 1 0.57 1 0.58 1 1 1 1 1 1 NA 1
Hobs.9 10 0.41 0.79 0.88 0.67 0.71 0.82 0.83 0.19 0.92 0.73 0.76 0.84 0.63 0.22
Hexp.9 10 0.8 0.77 0.84 0.74 0.8 0.8 0.83 0.17 0.85 0.72 0.78 0.8 0.77 0.22
pexact.9 10 0 0.51 0.11 0.04 0 0.03 0 1 0.11 0.47 0.09 0.56 0 0.35
qval.FDR.9 10 0 0.59 0.18 0.08 0 0.08 0.01 1 0.18 0.59 0.18 0.61 0 0.49
qval.bon.9 10 0 1 1 0.49 0 0.48 0.03 1 1 1 1 1 0 1
Hobs.10 11 0.45 0.82 0.82 0.75 0.79 0.73 0.79 0.09 0.83 0.77 0.85 0.79 0.67 0.1
Hexp.10 11 0.77 0.8 0.83 0.74 0.79 0.77 0.81 0.1 0.86 0.73 0.8 0.81 0.79 0.1
pexact.10 11 0 0.1 0.24 0.7 0.45 0.24 0.14 0 0.07 0.69 0.16 0.86 0 0.28
